RAW Data export file (comma separated)


Client:	John,Sample
Session:	
Date:	
Time:	
Duration:	429	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-46.376,545.004,,
-45.818,545.004,,
-46.104,545.004,,
-47.107,545.004,,
-47.984,547.890,,
-48.768,547.890,,
-49.423,547.890,,
-49.497,547.890,,
-49.237,547.869,,
-49.014,547.869,,
-48.969,547.869,,
-48.966,547.869,,
-48.845,547.962,,
-48.725,547.962,,
-48.578,547.962,,
-48.373,547.962,,
-48.546,547.905,,
-48.983,547.905,,
-49.257,547.905,,
-49.475,547.905,,
-49.931,547.957,,
-50.458,547.957,,
-50.647,547.957,,
-50.887,547.957,,
-50.887,547.981,,
-50.606,547.981,,
-50.511,547.981,,
-50.580,547.981,,
-50.738,547.914,,
-50.618,547.914,,
-50.431,547.914,,
-50.215,547.914,,
-49.875,547.995,,
-49.685,547.995,,
-49.448,547.995,,
-49.034,547.995,,
-48.684,547.988,,
-48.525,547.988,,
-48.332,547.988,,
-47.945,547.988,,
-47.453,548.020,,
-46.819,548.020,,
-46.499,548.020,,
-46.764,548.020,,
-47.330,548.028,,
-47.860,548.028,,
-48.403,548.028,,
-48.637,548.028,,
-48.435,547.880,,
-48.151,547.880,,
-47.905,547.880,,
-47.629,547.880,,
-47.791,547.918,,
-48.212,547.918,,
-48.349,547.918,,
-48.092,547.918,,
-47.517,547.854,,
-46.733,547.854,,
-45.654,547.854,,
-44.109,547.854,,
-42.517,547.796,,
-41.104,547.796,,
-39.820,547.796,,
-38.550,547.796,,
-37.712,547.854,,
-37.237,547.854,,
-36.999,547.854,,
-37.091,547.854,,
-37.270,547.760,,
-37.652,547.760,,
-38.135,547.760,,
-38.647,547.760,,
-39.220,547.799,,
-39.981,547.799,,
-40.911,547.799,,
-41.501,547.799,,
-41.774,547.832,,
-42.342,547.832,,
-43.421,547.832,,
-44.897,547.832,,
-46.246,547.766,,
-46.759,547.766,,
-46.786,547.766,,
-46.598,547.766,,
-46.064,547.844,,
-45.433,547.844,,
-44.515,547.844,,
-43.650,547.844,,
-43.459,547.818,,
-43.879,547.818,,
-44.402,547.818,,
-44.786,547.818,,
-45.152,547.850,,
-45.592,547.850,,
-46.067,547.850,,
-46.625,547.850,,
-46.741,547.902,,
-46.277,547.902,,
-45.869,547.902,,
-45.579,547.902,,
-45.869,547.817,,
-46.656,547.817,,
-47.493,547.817,,
-48.162,547.817,,
-48.517,547.883,,
-48.352,547.883,,
-47.853,547.883,,
-47.025,547.883,,
-46.407,547.852,,
-46.093,547.852,,
-46.124,547.852,,
-46.430,547.852,,
-47.006,547.847,,
-47.375,547.847,,
-47.492,547.847,,
-47.769,547.847,,
-48.696,547.933,,
-49.939,547.933,,
-50.868,547.933,,
-51.610,547.933,,
-52.476,547.867,,
-52.812,547.867,,
-52.091,547.867,,
-50.797,547.867,,
-49.531,547.924,,
-48.556,547.924,,
-48.065,547.924,,
-48.184,547.924,,
-48.487,547.936,,
-48.734,547.936,,
-48.584,547.936,,
-48.365,547.936,,
-48.127,547.880,,
-47.803,547.880,,
-47.462,547.880,,
-47.031,547.880,,
-46.907,547.940,,
-47.080,547.940,,
-47.225,547.940,,
-47.200,547.940,,
-47.106,547.882,,
-46.828,547.882,,
-46.420,547.882,,
-46.024,547.882,,
-45.908,547.902,,
-45.991,547.902,,
-46.227,547.902,,
-46.731,547.902,,
-47.297,547.937,,
-47.926,547.937,,
-48.348,547.937,,
-48.501,547.937,,
-48.447,547.826,,
-48.237,547.826,,
-48.158,547.826,,
-48.060,547.826,,
-47.764,547.867,,
-47.666,547.867,,
-47.840,547.867,,
-48.294,547.867,,
-48.592,547.825,,
-48.623,547.825,,
-48.804,547.825,,
-48.836,547.825,,
-48.738,547.800,,
-48.154,547.800,,
-46.793,547.800,,
-44.970,547.800,,
-42.820,547.858,,
-40.829,547.858,,
-39.446,547.858,,
-38.713,547.858,,
-38.615,547.778,,
-38.935,547.778,,
-39.358,547.778,,
-40.086,547.778,,
-40.890,547.841,,
-41.672,547.841,,
-42.206,547.841,,
-42.702,547.841,,
-43.564,547.853,,
-44.196,547.853,,
-44.592,547.853,,
-44.983,547.853,,
-44.897,547.821,,
-44.889,547.821,,
-44.745,547.821,,
-44.346,547.821,,
-43.961,547.877,,
-43.504,547.877,,
-43.336,547.877,,
-43.559,547.877,,
-43.951,547.788,,
-44.625,547.788,,
-45.406,547.788,,
-46.023,547.788,,
-47.129,547.849,,
-48.377,547.849,,
-49.270,547.849,,
-49.714,547.849,,
-49.824,547.881,,
-49.920,547.881,,
-50.043,547.881,,
-50.071,547.881,,
-49.991,547.790,,
-49.515,547.790,,
-48.984,547.790,,
-48.524,547.790,,
-48.159,547.864,,
-48.073,547.864,,
-48.169,547.864,,
-48.594,547.864,,
-48.429,547.822,,
-47.772,547.822,,
-47.000,547.822,,
-46.249,547.822,,
-45.645,547.828,,
-44.977,547.828,,
-44.442,547.828,,
-44.274,547.828,,
-44.218,547.881,,
-44.438,547.881,,
-45.007,547.881,,
-45.510,547.881,,
-46.143,547.806,,
-47.179,547.806,,
-48.323,547.806,,
-48.824,547.806,,
-48.621,547.876,,
-48.509,547.876,,
-48.407,547.876,,
-48.302,547.876,,
-48.251,547.842,,
-48.275,547.842,,
-48.245,547.842,,
-47.940,547.842,,
-47.451,547.823,,
-47.396,547.823,,
-48.082,547.823,,
-48.920,547.823,,
-49.891,547.898,,
-50.709,547.898,,
-51.326,547.898,,
-51.901,547.898,,
-52.439,547.814,,
-52.815,547.814,,
-52.914,547.814,,
-53.197,547.814,,
-53.129,547.856,,
-52.558,547.856,,
-51.985,547.856,,
-51.194,547.856,,
-50.657,547.878,,
-50.237,547.878,,
-49.893,547.878,,
-49.455,547.878,,
-49.230,547.869,,
-49.337,547.869,,
-49.431,547.869,,
-49.816,547.869,,
-50.496,547.933,,
-51.359,547.933,,
-52.501,547.933,,
-53.373,547.933,,
-53.788,547.831,,
-53.770,547.831,,
-53.233,547.831,,
-52.137,547.831,,
-51.066,547.864,,
-50.340,547.864,,
-49.960,547.864,,
-49.629,547.864,,
-48.658,547.872,,
-47.667,547.872,,
-46.437,547.872,,
-45.065,547.872,,
-43.597,547.787,,
-41.980,547.787,,
-40.606,547.787,,
-39.582,547.787,,
-38.711,547.837,,
-37.990,547.837,,
-37.013,547.837,,
-35.968,547.837,,
-35.561,547.757,,
-35.709,547.757,,
-35.766,547.757,,
-35.826,547.757,,
-35.872,547.771,,
-36.149,547.771,,
-36.697,547.771,,
-37.674,547.771,,
-38.782,547.811,,
-39.431,547.811,,
-39.608,547.811,,
-39.682,547.811,,
-39.963,547.723,,
-40.657,547.723,,
-41.725,547.723,,
-43.113,547.723,,
-44.691,547.794,,
-46.242,547.794,,
-47.659,547.794,,
-49.008,547.794,,
-50.094,547.745,,
-50.434,547.745,,
-50.499,547.745,,
-50.671,547.745,,
-50.723,547.726,,
-50.498,547.726,,
-49.951,547.726,,
-49.446,547.726,,
-48.889,547.776,,
-48.472,547.776,,
-48.645,547.776,,
-49.130,547.776,,
-49.588,547.674,,
-49.732,547.674,,
-49.918,547.674,,
-49.630,547.674,,
-48.650,547.703,,
-47.547,547.703,,
-46.755,547.703,,
-46.619,547.703,,
-46.924,547.652,,
-47.267,547.652,,
-47.632,547.652,,
-47.615,547.652,,
-47.109,547.589,,
-46.470,547.589,,
-45.961,547.589,,
-45.609,547.589,,
