Data recorded on Tue Jul 25 09-58-29 CAT 2017
Time: 9:59:7
Time		Millis		objTemp		dieTemp		sensorVoltage
59,16	,	114102	,	34.96	,	32.84	,	-66.0
59,17	,	118133	,	35.02	,	32.88	,	-64.0
59,21	,	122147	,	35.05	,	32.91	,	-64.0
59,25	,	126161	,	35.1	,	32.97	,	-65.0
59,29	,	130176	,	34.86	,	33.0	,	-84.0
59,33	,	134190	,	35.02	,	33.03	,	-75.0
59,37	,	138204	,	35.08	,	33.06	,	-73.0
59,41	,	142218	,	35.13	,	33.09	,	-72.0
59,45	,	146233	,	35.21	,	33.13	,	-68.0
59,49	,	150247	,	35.23	,	33.16	,	-69.0
59,53	,	154261	,	35.29	,	33.19	,	-67.0
59,57	,	158276	,	35.34	,	33.22	,	-66.0
0,1	,	162290	,	35.44	,	33.25	,	-61.0
0,5	,	166304	,	35.44	,	33.25	,	-61.0
0,9	,	170319	,	35.47	,	33.28	,	-61.0
0,13	,	174333	,	35.52	,	33.31	,	-60.0
