RAW Data export file (comma separated)


Client:	John,Sample
Session:	Gerard3 
Date:	25-07-2017
Time:	10:04:00
Duration:	160	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-45.365,636.429,,
-46.028,636.429,,
-46.634,636.429,,
-46.890,636.429,,
-46.717,636.300,,
-46.106,636.300,,
-45.343,636.300,,
-44.703,636.300,,
-43.972,636.070,,
-43.366,636.070,,
-42.959,636.070,,
-42.585,636.070,,
-42.478,635.835,,
-42.343,635.835,,
-42.058,635.835,,
-41.807,635.835,,
-41.581,635.698,,
-41.773,635.698,,
-42.424,635.698,,
-43.039,635.698,,
-43.385,635.559,,
-43.473,635.559,,
-43.629,635.559,,
-43.857,635.559,,
-43.969,635.361,,
-43.967,635.361,,
-43.857,635.361,,
-43.815,635.361,,
-43.995,635.212,,
-44.335,635.212,,
-44.752,635.212,,
-44.907,635.212,,
-44.856,635.046,,
-44.831,635.046,,
-44.744,635.046,,
-44.879,635.046,,
-45.008,634.726,,
-45.077,634.726,,
-45.164,634.726,,
-45.093,634.726,,
-45.223,634.577,,
-45.589,634.577,,
-45.822,634.577,,
-45.854,634.577,,
-45.582,634.565,,
-45.330,634.565,,
-45.275,634.565,,
-45.284,634.565,,
-45.244,634.371,,
-45.188,634.371,,
-45.091,634.371,,
-45.059,634.371,,
-44.865,633.927,,
-44.568,633.927,,
-44.151,633.927,,
-43.569,633.927,,
-43.233,633.561,,
-43.182,633.561,,
-43.349,633.561,,
-43.562,633.561,,
-43.557,633.346,,
-43.370,633.346,,
-42.989,633.346,,
-42.336,633.346,,
-41.451,633.124,,
-40.269,633.124,,
-38.853,633.124,,
-37.273,633.124,,
-35.882,632.875,,
-34.825,632.875,,
-33.782,632.875,,
-32.970,632.875,,
-32.413,632.738,,
-32.267,632.738,,
-32.645,632.738,,
-33.094,632.738,,
-33.571,632.694,,
-34.001,632.694,,
-34.402,632.694,,
-34.972,632.694,,
-35.619,632.635,,
-36.163,632.635,,
-36.611,632.635,,
-36.849,632.635,,
-37.249,632.566,,
-37.820,632.566,,
-38.380,632.566,,
-38.974,632.566,,
-39.464,632.495,,
-39.947,632.495,,
-40.575,632.495,,
-41.226,632.495,,
-41.990,632.434,,
-42.517,632.434,,
-42.791,632.434,,
-43.079,632.434,,
-43.425,632.374,,
-43.785,632.374,,
-43.868,632.374,,
-43.731,632.374,,
-43.580,632.398,,
-43.352,632.398,,
-43.216,632.398,,
-43.020,632.398,,
-42.701,632.331,,
-42.336,632.331,,
-41.949,632.331,,
-41.789,632.331,,
-41.809,632.221,,
-41.785,632.221,,
-41.884,632.221,,
-42.104,632.221,,
-42.606,632.165,,
-43.291,632.165,,
-43.759,632.165,,
-44.132,632.165,,
-44.299,632.200,,
-44.212,632.200,,
-44.235,632.200,,
-44.340,632.200,,
-44.543,632.195,,
-44.762,632.195,,
-44.820,632.195,,
-45.110,632.195,,
-45.393,632.144,,
-45.491,632.144,,
-45.416,632.144,,
-45.213,632.144,,
-45.076,632.159,,
-44.992,632.159,,
-44.959,632.159,,
-44.878,632.159,,
-44.719,632.164,,
-44.758,632.164,,
-45.004,632.164,,
-45.355,632.164,,
-45.686,632.098,,
-45.730,632.098,,
-45.600,632.098,,
-45.347,632.098,,
-44.915,632.123,,
-44.710,632.123,,
-44.618,632.123,,
-44.523,632.123,,
-44.469,632.212,,
-44.377,632.212,,
-44.562,632.212,,
-44.883,632.212,,
-44.870,632.194,,
-44.640,632.194,,
-44.321,632.194,,
-44.070,632.194,,
-44.024,631.998,,
-43.916,631.998,,
-43.824,631.998,,
-43.728,631.998,,
-43.839,631.849,,
-44.315,631.849,,
-44.810,631.849,,
-45.221,631.849,,
-45.339,631.697,,
-45.137,631.697,,
-45.063,631.697,,
-45.098,631.697,,
-44.881,631.517,,
-44.042,631.517,,
-42.600,631.517,,
-40.846,631.517,,
-39.065,631.317,,
-37.495,631.317,,
-36.103,631.317,,
-34.618,631.317,,
-33.289,631.237,,
-32.250,631.237,,
-31.917,631.237,,
-32.051,631.237,,
-32.207,631.192,,
-32.398,631.192,,
-32.612,631.192,,
-33.002,631.192,,
-33.690,631.220,,
-34.311,631.220,,
-35.069,631.220,,
-35.868,631.220,,
-36.636,631.265,,
-37.523,631.265,,
-38.361,631.265,,
-39.091,631.265,,
-39.696,631.302,,
-40.186,631.302,,
-40.742,631.302,,
-41.332,631.302,,
-41.875,631.302,,
-42.457,631.302,,
-42.909,631.302,,
-43.252,631.302,,
-43.737,631.352,,
-44.344,631.352,,
-44.887,631.352,,
-45.001,631.352,,
-44.754,631.515,,
-44.441,631.515,,
-44.160,631.515,,
-43.907,631.515,,
-43.533,631.601,,
-43.045,631.601,,
-42.615,631.601,,
-42.309,631.601,,
-42.324,631.652,,
-42.396,631.652,,
-42.372,631.652,,
-42.403,631.652,,
-42.389,631.839,,
-42.536,631.839,,
-42.758,631.839,,
-42.861,631.839,,
-42.948,632.125,,
-43.039,632.125,,
-43.240,632.125,,
-43.612,632.125,,
-43.989,632.360,,
-44.401,632.360,,
-44.597,632.360,,
-44.625,632.360,,
-44.783,632.614,,
-45.013,632.614,,
-45.283,632.614,,
-45.496,632.614,,
-45.694,632.999,,
-45.977,632.999,,
-46.143,632.999,,
-46.154,632.999,,
-46.121,633.353,,
-46.110,633.353,,
-46.224,633.353,,
-46.340,633.353,,
-46.417,633.650,,
-46.431,633.650,,
-46.202,633.650,,
-45.859,633.650,,
-45.419,633.977,,
-45.082,633.977,,
-44.941,633.977,,
-44.691,633.977,,
-44.624,634.427,,
-44.684,634.427,,
-44.807,634.427,,
-45.017,634.427,,
-45.222,634.840,,
-45.475,634.840,,
-45.714,634.840,,
-45.910,634.840,,
-46.250,635.107,,
-46.557,635.107,,
-46.710,635.107,,
-46.634,635.107,,
-46.161,635.344,,
-45.918,635.344,,
-45.811,635.344,,
-45.653,635.344,,
-45.619,635.630,,
-45.413,635.630,,
-45.261,635.630,,
-45.416,635.630,,
-45.599,635.877,,
-45.540,635.877,,
-45.135,635.877,,
-44.583,635.877,,
-44.128,636.151,,
-43.585,636.151,,
-42.937,636.151,,
-41.992,636.151,,
-40.633,636.513,,
-39.108,636.513,,
-37.673,636.513,,
-36.518,636.513,,
-35.522,636.841,,
-34.481,636.841,,
-33.617,636.841,,
-32.968,636.841,,
-32.645,637.186,,
-32.794,637.186,,
-32.947,637.186,,
-33.248,637.186,,
-33.624,637.698,,
-34.246,637.698,,
-35.181,637.698,,
-36.155,637.698,,
-36.965,638.106,,
-37.417,638.106,,
-37.667,638.106,,
-38.132,638.106,,
-38.709,638.387,,
-39.281,638.387,,
-39.942,638.387,,
-40.480,638.387,,
-41.027,638.727,,
-41.551,638.727,,
-41.920,638.727,,
-42.262,638.727,,
-42.514,639.167,,
-42.831,639.167,,
-43.216,639.167,,
-43.529,639.167,,
-43.753,639.579,,
-43.761,639.579,,
-43.743,639.579,,
-43.794,639.579,,
-43.866,639.875,,
-43.758,639.875,,
-43.433,639.875,,
-42.979,639.875,,
-42.584,640.259,,
-42.194,640.259,,
-42.068,640.259,,
-41.921,640.259,,
-41.892,640.673,,
-42.155,640.673,,
-42.465,640.673,,
-42.985,640.673,,
-43.550,640.995,,
-43.954,640.995,,
-44.324,640.995,,
-44.466,640.995,,
-44.734,641.294,,
-45.055,641.294,,
-45.258,641.294,,
-45.406,641.294,,
-45.224,641.657,,
-44.957,641.657,,
