RAW Data export file (comma separated)


Client:	John,Sample
Session:	Jarryd2 
Date:	24-07-2017
Time:	09:12:37
Duration:	163	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-46.958,893.342,,
-48.245,893.342,,
-46.702,893.342,,
-45.812,893.342,,
-45.341,890.924,,
-42.826,890.924,,
-43.000,890.924,,
-41.951,890.924,,
-41.276,890.740,,
-42.151,890.740,,
-41.098,890.740,,
-42.373,890.740,,
-42.437,890.490,,
-41.363,890.490,,
-42.527,890.490,,
-41.663,890.490,,
-42.345,890.367,,
-42.864,890.367,,
-42.316,890.367,,
-44.112,890.367,,
-43.943,890.285,,
-44.432,890.285,,
-45.503,890.285,,
-44.229,890.285,,
-45.212,890.187,,
-44.762,890.187,,
-44.664,890.187,,
-46.146,890.187,,
-45.310,890.097,,
-46.559,890.097,,
-46.875,890.097,,
-46.033,890.097,,
-46.522,889.996,,
-44.519,889.996,,
-44.509,889.996,,
-44.688,889.996,,
-43.497,889.935,,
-44.916,889.935,,
-44.350,889.935,,
-44.592,889.935,,
-45.826,890.019,,
-45.064,890.019,,
-46.324,890.019,,
-45.860,890.019,,
-45.265,890.050,,
-46.462,890.050,,
-45.059,890.050,,
-45.457,890.050,,
-45.505,889.988,,
-44.659,889.988,,
-46.053,889.988,,
-45.239,889.988,,
-45.338,889.591,,
-45.073,889.591,,
-42.835,889.591,,
-42.417,889.591,,
-39.698,889.214,,
-37.326,889.214,,
-35.805,889.214,,
-32.455,889.214,,
-31.983,889.168,,
-30.728,889.168,,
-29.520,889.168,,
-30.360,889.168,,
-29.716,889.274,,
-31.757,889.274,,
-33.355,889.274,,
-33.768,889.274,,
-35.920,889.544,,
-36.118,889.544,,
-37.696,889.544,,
-39.588,889.544,,
-39.741,889.878,,
-41.570,889.878,,
-40.907,889.878,,
-40.772,889.878,,
-41.795,890.111,,
-40.610,890.111,,
-41.788,890.111,,
-42.051,890.111,,
-42.185,890.429,,
-43.855,890.429,,
-42.857,890.429,,
-43.857,890.429,,
-44.384,890.994,,
-43.556,890.994,,
-44.948,890.994,,
-43.986,890.994,,
-43.979,891.374,,
-44.366,891.374,,
-43.208,891.374,,
-44.471,891.374,,
-44.134,891.802,,
-44.297,891.802,,
-45.466,891.802,,
-44.319,891.802,,
-45.558,892.406,,
-45.433,892.406,,
-44.811,892.406,,
-45.991,892.406,,
-44.639,892.960,,
-44.551,892.960,,
-43.773,892.960,,
-42.172,892.960,,
-43.408,893.676,,
-43.503,893.676,,
-44.986,893.676,,
-46.152,893.676,,
-44.685,894.449,,
-45.408,894.449,,
-44.703,894.449,,
-44.703,894.449,,
-46.059,895.233,,
-45.460,895.233,,
-47.732,895.233,,
-49.228,895.233,,
-49.869,896.041,,
-51.953,896.041,,
-51.101,896.041,,
-51.437,896.041,,
-51.600,896.892,,
-50.651,896.892,,
-52.047,896.892,,
-51.056,896.892,,
-50.898,897.694,,
-50.901,897.694,,
-48.743,897.694,,
-49.480,897.694,,
-49.391,898.645,,
-49.673,898.645,,
-51.139,898.645,,
-50.080,898.645,,
-51.145,899.528,,
-50.733,899.528,,
-49.347,899.528,,
-49.845,899.528,,
-48.018,900.385,,
-47.741,900.385,,
-47.186,900.385,,
-45.658,900.385,,
-47.091,901.438,,
-46.773,901.438,,
-47.353,901.438,,
-48.406,901.438,,
-46.969,902.331,,
-47.792,902.331,,
-47.201,902.331,,
-46.393,902.331,,
-46.817,903.333,,
-45.020,903.333,,
-45.392,903.333,,
-44.968,903.333,,
-43.718,904.337,,
-44.565,904.337,,
-43.622,904.337,,
-44.386,904.337,,
-45.459,905.213,,
-45.315,905.213,,
-47.869,905.213,,
-48.588,905.213,,
-49.346,906.185,,
-50.487,906.185,,
-49.441,906.185,,
-50.465,906.185,,
-49.609,907.461,,
-48.584,907.461,,
-49.316,907.461,,
-47.992,907.461,,
-48.871,908.641,,
-48.793,908.641,,
-47.297,908.641,,
-48.437,908.641,,
-47.939,909.854,,
-48.780,909.854,,
-49.535,909.854,,
-48.512,909.854,,
-49.772,910.763,,
-49.115,910.763,,
-49.304,910.763,,
-50.371,910.763,,
-49.073,911.148,,
-49.803,911.148,,
-49.098,911.148,,
-48.048,911.148,,
-48.625,911.818,,
-46.911,911.818,,
-46.758,911.818,,
-45.534,911.818,,
-43.374,912.845,,
-43.689,912.845,,
-41.984,912.845,,
-41.707,912.845,,
-41.643,913.939,,
-40.081,913.939,,
-41.228,913.939,,
-41.087,913.939,,
-41.602,915.191,,
-43.120,915.191,,
-42.650,915.191,,
-44.585,915.191,,
-44.957,916.346,,
-44.909,916.346,,
-46.702,916.346,,
-46.066,916.346,,
-47.192,917.352,,
-47.564,917.352,,
-46.480,917.352,,
-47.997,917.352,,
-47.486,918.490,,
-48.125,918.490,,
-48.802,918.490,,
-47.285,918.490,,
-47.663,919.439,,
-46.149,919.439,,
-45.480,919.439,,
-46.510,919.439,,
-45.672,920.220,,
-46.767,920.220,,
-46.193,920.220,,
-44.855,920.220,,
-45.538,921.158,,
-44.496,921.158,,
-45.337,921.158,,
-45.935,921.158,,
-45.084,922.216,,
-46.211,922.216,,
-45.056,922.216,,
-45.181,922.216,,
-45.580,923.083,,
-44.498,923.083,,
-46.813,923.083,,
-47.896,923.083,,
-49.418,924.114,,
-52.346,924.114,,
-52.186,924.114,,
-53.267,924.114,,
-52.566,925.457,,
-50.815,925.457,,
-50.999,925.457,,
-48.826,925.457,,
-48.752,926.877,,
-48.743,926.877,,
-47.612,926.877,,
-49.238,926.877,,
-49.267,927.930,,
-50.237,927.930,,
-51.627,927.930,,
-51.137,927.930,,
-52.574,928.632,,
-51.791,928.632,,
-50.528,928.632,,
-50.652,928.632,,
-48.911,928.979,,
-49.628,928.979,,
-49.442,928.979,,
-48.418,928.979,,
-49.309,929.038,,
-47.925,929.038,,
-48.553,929.038,,
-48.799,929.038,,
-47.127,928.909,,
-47.767,928.909,,
-46.368,928.909,,
-45.851,928.909,,
-46.124,928.764,,
-44.762,928.764,,
-45.765,928.764,,
-45.114,928.764,,
-44.698,928.590,,
-46.392,928.590,,
-46.080,928.590,,
-48.065,928.590,,
-49.181,928.523,,
-49.471,928.523,,
-51.468,928.523,,
-50.615,928.523,,
-51.205,928.387,,
-52.014,928.387,,
-51.559,928.387,,
-53.080,928.387,,
-52.135,928.160,,
-51.709,928.160,,
-52.010,928.160,,
-49.925,928.160,,
-50.209,927.824,,
-48.957,927.824,,
-48.244,927.824,,
-49.739,927.824,,
-49.107,927.449,,
-50.458,927.449,,
-50.928,927.449,,
-50.426,927.449,,
-52.006,926.768,,
-51.103,926.768,,
-51.650,926.768,,
-52.492,926.768,,
-51.848,925.860,,
-53.691,925.860,,
-53.525,925.860,,
-53.789,925.860,,
-54.929,925.087,,
-53.283,925.087,,
-53.570,925.087,,
-52.007,925.087,,
-49.699,924.588,,
-48.461,924.588,,
-45.068,924.588,,
-44.365,924.588,,
-43.507,924.074,,
-41.588,924.074,,
-41.691,924.074,,
-39.803,924.074,,
-39.685,923.453,,
-40.249,923.453,,
-39.488,923.453,,
-41.872,923.453,,
-42.895,922.618,,
-44.355,922.618,,
-46.481,922.618,,
-45.988,922.618,,
-46.983,921.630,,
-46.055,921.630,,
-44.616,921.630,,
-44.686,921.630,,
-42.610,920.770,,
-43.098,920.770,,
-43.929,920.770,,
-44.176,920.770,,
-45.996,920.025,,
-45.224,920.025,,
