Data recorded on Mon Jul 24 09-12-50 CAT 2017
Time: 9:13:5
Time		Millis		bpm		Period		SpO2
13,14	,	23704	,	63	,	1151	,	89.37127
13,25	,	37891	,	57	,	1500	,	89.89958
13,26	,	38883	,	57	,	992	,	89.95171
13,27	,	39715	,	55	,	832	,	89.85699
13,28	,	41330	,	55	,	1500	,	90.26974
13,29	,	42274	,	54	,	944	,	91.40296
13,30	,	43265	,	54	,	991	,	92.67514
13,31	,	44225	,	52	,	960	,	93.91649
13,32	,	45232	,	55	,	1007	,	95.55374
13,33	,	46224	,	55	,	992	,	96.89267
13,34	,	47231	,	55	,	1007	,	98.04522
13,35	,	48127	,	59	,	896	,	99.03622
13,36	,	49087	,	59	,	960	,	100.16318
13,37	,	50159	,	58	,	1072	,	101.97221
13,38	,	51230	,	60	,	1071	,	103.19426
13,40	,	52350	,	59	,	1120	,	103.03268
13,41	,	53358	,	59	,	1008	,	102.72365
13,41	,	54317	,	59	,	959	,	102.94179
13,42	,	55245	,	59	,	928	,	102.81143
13,43	,	56284	,	59	,	1039	,	103.14631
13,44	,	57340	,	59	,	1056	,	104.00179
13,46	,	58476	,	58	,	1136	,	103.55978
13,48	,	60475	,	55	,	1500	,	103.30452
13,49	,	61499	,	55	,	1024	,	103.24843
13,50	,	62570	,	55	,	1071	,	103.08106
13,51	,	63626	,	55	,	1056	,	103.87037
13,52	,	64649	,	55	,	1023	,	104.76627
13,53	,	65657	,	55	,	1008	,	104.42938
13,54	,	66696	,	54	,	1039	,	104.11153
13,55	,	67736	,	54	,	1040	,	103.48177
13,56	,	68775	,	54	,	1039	,	102.46856
13,57	,	69815	,	55	,	1040	,	102.953674
13,58	,	70807	,	58	,	992	,	103.37731
13,59	,	71862	,	57	,	1055	,	103.582184
14,0	,	72934	,	57	,	1072	,	103.622444
14,1	,	74021	,	57	,	1087	,	102.62635
14,2	,	75013	,	57	,	992	,	102.32033
14,3	,	76053	,	57	,	1040	,	102.03819
14,4	,	77205	,	57	,	1152	,	100.79945
14,5	,	78100	,	57	,	895	,	99.85577
14,6	,	79044	,	58	,	944	,	100.01749
14,7	,	80051	,	58	,	1007	,	99.48399
14,8	,	81139	,	58	,	1088	,	99.54776
14,9	,	82338	,	57	,	1199	,	97.8382
14,11	,	83346	,	57	,	1008	,	97.369965
14,11	,	84305	,	58	,	959	,	97.95359
14,13	,	85361	,	58	,	1056	,	97.365524
