RAW Data export file (comma separated)


Client:	John,Sample
Session:	Josh1 
Date:	24-07-2017
Time:	09:41:26
Duration:	421	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-53.945,783.309,,
-53.824,783.309,,
-53.540,783.309,,
-54.030,783.309,,
-53.851,746.183,,
-53.800,746.183,,
-53.428,746.183,,
-52.481,746.183,,
-52.239,747.383,,
-51.522,747.383,,
-50.987,747.383,,
-51.241,747.383,,
-51.283,748.464,,
-51.957,748.464,,
-52.322,748.464,,
-52.757,748.464,,
-53.674,749.776,,
-53.574,749.776,,
-53.786,749.776,,
-53.942,749.776,,
-53.539,751.211,,
-53.254,751.211,,
-52.259,751.211,,
-51.817,751.211,,
-51.778,752.384,,
-51.511,752.384,,
-51.977,752.384,,
-52.151,752.384,,
-52.507,752.991,,
-52.862,752.991,,
-52.416,752.991,,
-52.591,752.991,,
-52.760,753.410,,
-53.037,753.410,,
-53.702,753.410,,
-53.360,753.410,,
-53.230,753.448,,
-53.128,753.448,,
-52.755,753.448,,
-52.972,753.448,,
-52.223,753.625,,
-51.120,753.625,,
-49.277,753.625,,
-46.335,753.625,,
-43.268,753.868,,
-39.235,753.868,,
-35.769,753.868,,
-33.375,753.868,,
-30.980,754.112,,
-29.820,754.112,,
-28.906,754.112,,
-28.422,754.112,,
-28.955,754.168,,
-29.500,754.168,,
-31.080,754.168,,
-32.764,754.168,,
-34.143,754.153,,
-36.292,754.153,,
-38.172,754.153,,
-40.681,754.153,,
-43.093,753.908,,
-44.737,753.908,,
-46.694,753.908,,
-48.080,753.908,,
-49.740,753.592,,
-51.162,753.592,,
-51.460,753.592,,
-51.917,753.592,,
-51.651,753.139,,
-51.016,753.139,,
-50.942,753.139,,
-50.789,753.139,,
-51.428,752.555,,
-51.777,752.555,,
-51.881,752.555,,
-52.529,752.555,,
-52.357,752.013,,
-52.476,752.013,,
-52.700,752.013,,
-52.270,752.013,,
-52.424,751.602,,
-51.987,751.602,,
-51.674,751.602,,
-51.319,751.602,,
-50.494,751.187,,
-50.388,751.187,,
-49.913,751.187,,
-49.484,751.187,,
-49.579,750.783,,
-49.312,750.783,,
-49.839,750.783,,
-50.004,750.783,,
-49.803,750.349,,
-49.962,750.349,,
-49.245,750.349,,
-48.831,750.349,,
-48.526,749.841,,
-48.196,749.841,,
-48.682,749.841,,
-49.029,749.841,,
-50.002,749.260,,
-51.081,749.260,,
-51.244,749.260,,
-51.621,749.260,,
-51.304,748.514,,
-50.872,748.514,,
-50.554,748.514,,
-49.669,748.514,,
-49.638,747.625,,
-49.925,747.625,,
-50.063,747.625,,
-50.722,747.625,,
-50.933,746.670,,
-51.637,746.670,,
-52.502,746.670,,
-53.023,746.670,,
-53.758,745.768,,
-53.456,745.768,,
-53.142,745.768,,
-52.835,745.768,,
-51.845,744.940,,
-51.599,744.940,,
-51.224,744.940,,
-51.019,744.940,,
-51.363,744.169,,
-51.303,744.169,,
-52.250,744.169,,
-53.029,744.169,,
-53.367,743.294,,
-53.646,743.294,,
-53.209,743.294,,
-53.288,743.294,,
-53.141,742.474,,
-52.978,742.474,,
-53.660,742.474,,
-53.630,742.474,,
-53.481,741.818,,
-53.243,741.818,,
-52.160,741.818,,
-51.489,741.818,,
-50.606,741.260,,
-50.245,741.260,,
-50.271,741.260,,
-49.959,741.260,,
-50.461,740.527,,
-50.657,740.527,,
-50.734,740.527,,
-51.284,740.527,,
-51.373,739.840,,
-51.933,739.840,,
-52.248,739.840,,
-51.971,739.840,,
-52.080,738.740,,
-51.534,738.740,,
-51.227,738.740,,
-51.446,738.740,,
-51.670,737.389,,
-52.499,737.389,,
-52.107,737.389,,
-50.829,737.389,,
-49.127,736.206,,
-46.202,736.206,,
-43.121,736.206,,
-39.592,736.206,,
-36.334,735.411,,
-33.980,735.411,,
-31.562,735.411,,
-30.141,735.411,,
-28.978,734.612,,
-28.013,734.612,,
-28.637,734.612,,
-29.431,734.612,,
-30.905,734.090,,
-32.727,734.090,,
-34.555,734.090,,
-36.995,734.090,,
-38.619,733.433,,
-40.461,733.433,,
-42.762,733.433,,
-44.192,733.433,,
-46.064,732.821,,
-47.253,732.821,,
-48.060,732.821,,
-48.866,732.821,,
-48.780,732.278,,
-49.092,732.278,,
-49.038,732.278,,
-49.027,732.278,,
-49.411,731.939,,
-49.004,731.939,,
-49.056,731.939,,
-49.281,731.939,,
-49.356,731.524,,
-50.319,731.524,,
-50.874,731.524,,
-51.486,731.524,,
-51.838,731.345,,
-51.389,731.345,,
-51.603,731.345,,
-51.295,731.345,,
-51.109,731.117,,
-51.362,731.117,,
-50.778,731.117,,
-50.494,731.117,,
-50.122,730.966,,
-49.503,730.966,,
-49.305,730.966,,
-48.575,730.966,,
-48.411,730.700,,
-48.284,730.700,,
-47.721,730.700,,
-48.127,730.700,,
-48.222,730.590,,
-48.345,730.590,,
-48.770,730.590,,
-48.895,730.590,,
-49.387,730.384,,
-49.386,730.384,,
-49.315,730.384,,
-49.486,730.384,,
-49.223,730.330,,
-49.636,730.330,,
-49.665,730.330,,
-49.513,730.330,,
-50.102,730.144,,
-50.211,730.144,,
-50.443,730.144,,
-50.086,730.144,,
-49.009,730.113,,
-48.933,730.113,,
-48.828,730.113,,
-49.413,730.113,,
-50.318,729.956,,
-50.687,729.956,,
-51.839,729.956,,
-52.434,729.956,,
-52.847,729.989,,
-53.440,729.989,,
-53.321,729.989,,
-54.041,729.989,,
-54.611,729.874,,
-54.650,729.874,,
-54.502,729.874,,
-53.477,729.874,,
-53.097,729.891,,
-53.034,729.891,,
-52.808,729.891,,
-52.937,729.891,,
-52.481,729.774,,
-52.313,729.774,,
-52.432,729.774,,
-51.980,729.774,,
-52.242,729.803,,
-52.375,729.803,,
-52.404,729.803,,
-52.522,729.803,,
-51.955,729.718,,
-51.856,729.718,,
-51.295,729.718,,
-50.580,729.718,,
-50.486,729.768,,
-50.135,729.768,,
-50.584,729.768,,
-51.116,729.768,,
-51.236,729.674,,
-51.936,729.674,,
-51.720,729.674,,
-51.548,729.674,,
-51.598,729.757,,
-51.361,729.757,,
-51.773,729.757,,
-51.425,729.757,,
-51.180,729.817,,
-51.270,729.817,,
-50.672,729.817,,
-50.669,729.817,,
-50.307,729.976,,
-50.113,729.976,,
-50.862,729.976,,
-51.255,729.976,,
-52.415,729.960,,
-53.054,729.960,,
-52.780,729.960,,
-52.962,729.960,,
-52.359,729.945,,
-52.382,729.945,,
-52.685,729.945,,
-52.748,729.945,,
-53.664,729.504,,
-53.633,729.504,,
-53.055,729.504,,
-51.932,729.504,,
-49.676,729.231,,
-47.781,729.231,,
-45.052,729.231,,
-41.918,729.231,,
-39.131,728.851,,
-35.860,728.851,,
-33.439,728.851,,
-31.344,728.851,,
-29.271,728.711,,
-28.233,728.711,,
-27.354,728.711,,
-27.773,728.711,,
-29.024,728.528,,
-30.262,728.528,,
-32.370,728.528,,
-33.918,728.528,,
-35.575,728.533,,
-37.649,728.533,,
-39.366,728.533,,
-41.595,728.533,,
-43.147,728.354,,
-44.130,728.354,,
-45.287,728.354,,
-45.473,728.354,,
-45.991,728.371,,
-46.357,728.371,,
-46.702,728.371,,
-47.549,728.371,,
-47.477,728.297,,
-47.234,728.297,,
-46.696,728.297,,
-45.838,728.297,,
-45.884,728.354,,
-45.700,728.354,,
-45.779,728.354,,
-46.309,728.354,,
-46.306,728.271,,
-46.890,728.271,,
