RAW Data export file (comma separated)


Client:	John,Sample
Session:	
Date:	
Time:	
Duration:	162	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-50.371,734.300,,
-49.046,734.300,,
-47.608,734.300,,
-48.142,734.300,,
-47.024,727.144,,
-49.947,727.144,,
-50.305,727.144,,
-48.827,727.144,,
-48.474,727.077,,
-45.100,727.077,,
-45.073,727.077,,
-44.265,727.077,,
-42.529,726.892,,
-43.911,726.892,,
-42.688,726.892,,
-44.299,726.892,,
-45.208,726.607,,
-43.316,726.607,,
-44.981,726.607,,
-45.206,726.607,,
-47.479,726.383,,
-50.255,726.383,,
-49.688,726.383,,
-52.723,726.383,,
-52.874,726.263,,
-52.651,726.263,,
-53.361,726.263,,
-50.481,726.263,,
-50.837,726.184,,
-49.458,726.184,,
-47.521,726.184,,
-48.825,726.184,,
-47.029,726.097,,
-47.586,726.097,,
-47.432,726.097,,
-46.082,726.097,,
-48.845,726.039,,
-48.757,726.039,,
-50.054,726.039,,
-51.532,726.039,,
-50.438,726.079,,
-52.651,726.079,,
-52.174,726.079,,
-52.014,726.079,,
-53.118,726.075,,
-51.037,726.075,,
-52.356,726.075,,
-51.947,726.075,,
-50.744,726.056,,
-51.611,726.056,,
-49.426,726.056,,
-50.285,726.056,,
-49.999,726.026,,
-48.593,726.026,,
-50.798,726.026,,
-49.976,726.026,,
-51.005,725.847,,
-51.960,725.847,,
-49.986,725.847,,
-50.701,725.847,,
-47.820,725.511,,
-45.290,725.511,,
-43.684,725.511,,
-39.159,725.511,,
-37.350,725.166,,
-33.969,725.166,,
-32.667,725.166,,
-33.965,725.166,,
-30.469,724.962,,
-29.217,724.962,,
-27.386,724.962,,
-26.062,724.962,,
-28.833,724.847,,
-29.034,724.847,,
-31.614,724.847,,
-33.307,724.847,,
-33.075,724.703,,
-35.975,724.703,,
-35.750,724.703,,
-36.944,724.703,,
-38.583,724.546,,
-38.401,724.546,,
-41.746,724.546,,
-42.415,724.546,,
-43.594,724.465,,
-46.020,724.465,,
-44.611,724.465,,
-45.454,724.465,,
-43.994,724.467,,
-41.807,724.467,,
-42.762,724.467,,
-41.253,724.467,,
-42.387,724.397,,
-42.547,724.397,,
-41.927,724.397,,
-44.767,724.397,,
-44.372,724.355,,
-46.065,724.355,,
-47.567,724.355,,
-46.796,724.355,,
-49.919,724.294,,
-50.205,724.294,,
-51.231,724.294,,
-51.876,724.294,,
-48.977,724.269,,
-49.008,724.269,,
-47.050,724.269,,
-46.029,724.269,,
-47.391,724.272,,
-44.862,724.272,,
-45.274,724.272,,
-44.423,724.272,,
-42.678,724.217,,
-44.059,724.217,,
-43.128,724.217,,
-45.605,724.217,,
-47.577,724.126,,
-46.888,724.126,,
-49.802,724.126,,
-49.452,724.126,,
-50.641,724.079,,
-51.932,724.079,,
-50.079,724.079,,
-51.103,724.079,,
-49.301,724.074,,
-48.886,724.074,,
-50.369,724.074,,
-48.029,724.074,,
-47.325,724.039,,
-45.044,724.039,,
-43.830,724.039,,
-46.208,724.039,,
-45.789,723.998,,
-48.088,723.998,,
-48.864,723.998,,
-48.328,723.998,,
-51.561,723.995,,
-51.175,723.995,,
-51.553,723.995,,
-50.788,723.995,,
-47.335,724.012,,
-47.553,724.012,,
-45.295,724.012,,
-44.319,724.012,,
-45.227,724.098,,
-44.749,724.098,,
-48.697,724.098,,
-50.027,724.098,,
-50.607,724.097,,
-52.415,724.097,,
-50.075,724.097,,
-50.529,724.097,,
-50.169,724.159,,
-49.130,724.159,,
-50.951,724.159,,
-49.616,724.159,,
-50.276,724.149,,
-49.834,724.149,,
-46.860,724.149,,
-46.804,724.149,,
-44.131,723.958,,
-43.674,723.958,,
-43.707,723.958,,
-41.826,723.958,,
-43.615,723.648,,
-42.455,723.648,,
-41.145,723.648,,
-40.822,723.648,,
-36.985,723.421,,
-36.259,723.421,,
-33.793,723.421,,
-31.075,723.421,,
-31.263,723.307,,
-28.639,723.307,,
-28.766,723.307,,
-27.679,723.307,,
-25.028,723.223,,
-25.644,723.223,,
-24.172,723.223,,
-25.740,723.223,,
-28.170,723.111,,
-28.566,723.111,,
-32.437,723.111,,
-33.670,723.111,,
-35.592,723.037,,
-37.666,723.037,,
-36.643,723.037,,
-39.334,723.037,,
-40.253,723.096,,
-41.520,723.096,,
-44.695,723.096,,
-44.299,723.096,,
-46.386,723.134,,
-46.649,723.134,,
-46.081,723.134,,
-48.044,723.134,,
-46.293,723.134,,
-46.402,723.134,,
-46.455,723.134,,
-45.421,723.134,,
-48.514,723.133,,
-48.588,723.133,,
-49.238,723.133,,
-49.609,723.133,,
-47.004,723.181,,
-48.334,723.181,,
-47.219,723.181,,
-46.072,723.181,,
-46.237,723.216,,
-42.594,723.216,,
-41.372,723.216,,
-39.121,723.216,,
-37.710,723.236,,
-38.789,723.236,,
-36.401,723.236,,
-37.204,723.236,,
-37.651,723.244,,
-36.606,723.244,,
-38.757,723.244,,
-38.803,723.244,,
-41.105,723.266,,
-43.739,723.266,,
-44.152,723.266,,
-47.396,723.266,,
-47.126,723.297,,
-47.513,723.297,,
-48.746,723.297,,
-46.915,723.297,,
-48.831,723.298,,
-48.671,723.298,,
-48.451,723.298,,
-49.996,723.298,,
-48.115,723.265,,
-49.239,723.265,,
-49.894,723.265,,
-50.077,723.265,,
-52.675,723.261,,
-51.365,723.261,,
-51.873,723.261,,
-51.776,723.261,,
-48.992,723.303,,
-49.083,723.303,,
-46.509,723.303,,
-45.577,723.303,,
-46.198,723.329,,
-44.081,723.329,,
-45.113,723.329,,
-44.105,723.329,,
-43.278,723.311,,
-44.182,723.311,,
-42.371,723.311,,
-44.086,723.311,,
-44.710,723.326,,
-45.072,723.326,,
-47.614,723.326,,
-46.776,723.326,,
-48.835,723.386,,
-49.483,723.386,,
-48.836,723.386,,
-51.543,723.386,,
-51.066,723.501,,
-52.032,723.501,,
-52.671,723.501,,
-50.662,723.501,,
-51.447,723.518,,
-49.470,723.518,,
-48.423,723.518,,
-48.173,723.518,,
-44.460,723.513,,
-44.534,723.513,,
-43.601,723.513,,
-42.888,723.513,,
-44.687,723.432,,
-43.873,723.432,,
-45.969,723.432,,
-46.402,723.432,,
-45.456,723.188,,
-47.494,723.188,,
-46.491,723.188,,
-47.068,723.188,,
-46.314,722.972,,
-43.407,722.972,,
-43.506,722.972,,
-40.724,722.972,,
-39.102,722.810,,
-36.885,722.810,,
-31.707,722.810,,
-29.784,722.810,,
-26.507,722.780,,
-24.788,722.780,,
-25.656,722.780,,
-24.544,722.780,,
-26.874,722.756,,
-27.786,722.756,,
-28.665,722.756,,
-31.956,722.756,,
-31.941,722.692,,
-34.784,722.692,,
-37.039,722.692,,
-37.951,722.692,,
-41.801,722.650,,
-42.000,722.650,,
-43.368,722.650,,
-43.965,722.650,,
-41.968,722.727,,
-43.704,722.727,,
-42.222,722.727,,
-41.539,722.727,,
-42.938,722.779,,
-42.050,722.779,,
-43.931,722.779,,
-43.248,722.779,,
-42.462,722.792,,
-43.616,722.792,,
-41.309,722.792,,
-41.934,722.792,,
-41.624,722.785,,
-41.116,722.785,,
-43.474,722.785,,
-42.203,722.785,,
-43.901,722.801,,
-45.391,722.801,,
-44.070,722.801,,
-44.964,722.801,,
-42.116,722.853,,
-40.919,722.853,,
-40.918,722.853,,
-38.567,722.853,,
-40.018,722.872,,
-39.722,722.872,,
-40.089,722.872,,
-42.085,722.872,,
