Data recorded on Mon Jul 24 09-49-21 CAT 2017
Time: 9:49:28
Time		Millis		bpm		Period		SpO2
49,37	,	51275	,	71	,	912	,	99.51983
49,37	,	52123	,	71	,	848	,	99.166336
49,38	,	53002	,	71	,	879	,	98.82022
49,39	,	53978	,	70	,	976	,	98.78357
49,39	,	54874	,	69	,	896	,	98.71925
49,40	,	55817	,	68	,	943	,	98.72813
49,41	,	56792	,	67	,	975	,	98.578674
49,42	,	57720	,	66	,	928	,	98.76435
49,43	,	58696	,	65	,	976	,	98.89598
49,44	,	59527	,	65	,	831	,	99.21728
49,45	,	60423	,	65	,	896	,	99.23541
49,46	,	61335	,	65	,	912	,	99.44707
49,47	,	62198	,	65	,	863	,	99.481
49,48	,	63030	,	66	,	832	,	99.5489
49,48	,	63830	,	67	,	800	,	100.00072
49,49	,	64581	,	68	,	751	,	99.6462
49,50	,	65301	,	70	,	720	,	99.65031
49,51	,	66117	,	71	,	816	,	98.87265
49,52	,	66901	,	73	,	784	,	98.70128
49,52	,	67684	,	73	,	783	,	98.12269
49,53	,	68500	,	74	,	816	,	97.69712
49,54	,	69283	,	75	,	783	,	96.54744
49,55	,	70147	,	75	,	864	,	96.36854
49,56	,	71043	,	74	,	896	,	96.34254
49,57	,	71954	,	73	,	911	,	96.02032
49,57	,	72850	,	72	,	896	,	96.40735
49,58	,	73666	,	71	,	816	,	96.5683
49,59	,	74434	,	72	,	768	,	97.04353
50,0	,	75217	,	72	,	783	,	97.174736
50,1	,	76081	,	71	,	864	,	97.18666
50,2	,	76913	,	71	,	832	,	97.252594
50,2	,	77777	,	70	,	864	,	97.506645
50,3	,	78688	,	70	,	911	,	97.50018
50,4	,	79536	,	70	,	848	,	97.60852
50,5	,	80431	,	70	,	895	,	97.29166
50,6	,	81359	,	70	,	928	,	97.33948
50,7	,	82207	,	70	,	848	,	97.17627
50,8	,	83150	,	68	,	943	,	97.1953
50,9	,	84062	,	67	,	912	,	97.4295
50,10	,	85037	,	67	,	975	,	97.64911
50,11	,	85949	,	66	,	912	,	98.14962
50,11	,	86893	,	65	,	944	,	99.20668
50,12	,	87836	,	65	,	943	,	99.90278
50,13	,	88796	,	64	,	960	,	99.97139
50,14	,	89756	,	64	,	960	,	99.923164
50,15	,	90731	,	64	,	975	,	99.89623
50,16	,	91691	,	63	,	960	,	99.8259
50,17	,	92650	,	63	,	959	,	99.92474
50,18	,	93594	,	62	,	944	,	99.841286
50,19	,	94537	,	63	,	943	,	99.8688
50,20	,	95353	,	63	,	816	,	99.953384
50,21	,	96185	,	64	,	832	,	99.82043
50,22	,	96937	,	65	,	752	,	99.29678
50,22	,	97736	,	67	,	799	,	99.139305
50,23	,	98648	,	67	,	912	,	99.153046
50,24	,	99607	,	67	,	959	,	99.238045
50,25	,	100583	,	67	,	976	,	99.096344
50,26	,	101542	,	67	,	959	,	98.99638
50,27	,	102454	,	67	,	912	,	98.8414
50,28	,	103254	,	68	,	800	,	98.576965
50,29	,	104022	,	69	,	768	,	98.33849
50,29	,	104821	,	69	,	799	,	98.002716
50,30	,	105701	,	68	,	880	,	97.93224
50,31	,	106645	,	67	,	944	,	98.082535
50,32	,	107524	,	67	,	879	,	98.20364
50,33	,	108388	,	68	,	864	,	98.01552
50,34	,	109332	,	68	,	944	,	98.21026
50,35	,	110275	,	68	,	943	,	98.43087
50,36	,	111107	,	69	,	832	,	97.824974
