Data recorded on Mon Jul 24 09-49-21 CAT 2017
Time: 9:49:28
Time		Millis		IR PPG		Red PPG		Filtered		SSF
49,37	,	51899	,	-28457	,	-27896	,	-16.210354	,	0
49,37	,	51931	,	-28451	,	-27903	,	-14.284845	,	0
49,37	,	51947	,	-28438	,	-27894	,	-10.879235	,	1
49,37	,	51963	,	-28438	,	-27901	,	-6.0832734	,	4
49,37	,	51995	,	-28423	,	-27895	,	-0.36197853	,	8
49,37	,	52010	,	-28428	,	-27889	,	5.6539273	,	13
49,37	,	52027	,	-28420	,	-27879	,	11.301383	,	19
49,37	,	52059	,	-28421	,	-27871	,	15.993068	,	24
49,37	,	52075	,	-28411	,	-27879	,	19.371384	,	28
49,37	,	52106	,	-28423	,	-27867	,	21.305162	,	31
49,37	,	52123	,	-28428	,	-27890	,	21.700197	,	32
49,37	,	52138	,	-28430	,	-27881	,	20.484041	,	31
49,37	,	52171	,	-28416	,	-27888	,	17.87342	,	28
49,37	,	52187	,	-28422	,	-27870	,	14.458117	,	24
49,37	,	52203	,	-28423	,	-27890	,	10.86531	,	19
49,37	,	52235	,	-28422	,	-27879	,	7.4862194	,	13
49,37	,	52251	,	-28421	,	-27893	,	4.541248	,	8
49,37	,	52282	,	-28432	,	-27890	,	2.1287904	,	4
49,37	,	52298	,	-28430	,	-27889	,	0.18594003	,	1
49,37	,	52314	,	-28431	,	-27898	,	-1.3942573	,	0
49,37	,	52347	,	-28436	,	-27903	,	-2.662891	,	0
49,37	,	52363	,	-28428	,	-27903	,	-3.6370215	,	0
49,37	,	52379	,	-28442	,	-27912	,	-4.32209	,	0
49,37	,	52411	,	-28468	,	-27904	,	-4.928702	,	0
49,37	,	52427	,	-28470	,	-27915	,	-5.97497	,	0
49,37	,	52443	,	-28474	,	-27906	,	-7.832742	,	0
49,37	,	52474	,	-28473	,	-27922	,	-10.354926	,	0
49,37	,	52490	,	-28477	,	-27921	,	-13.047069	,	0
49,37	,	52522	,	-28484	,	-27925	,	-15.420691	,	0
49,37	,	52538	,	-28485	,	-27909	,	-17.185234	,	0
49,37	,	52554	,	-28494	,	-27926	,	-18.24754	,	0
49,37	,	52587	,	-28512	,	-27948	,	-18.745953	,	0
49,37	,	52602	,	-28503	,	-27944	,	-18.979738	,	0
49,37	,	52618	,	-28520	,	-27948	,	-19.133236	,	0
49,37	,	52650	,	-28529	,	-27940	,	-19.292309	,	0
49,37	,	52666	,	-28541	,	-27951	,	-19.62312	,	0
49,37	,	52698	,	-28544	,	-27967	,	-20.265064	,	0
49,37	,	52715	,	-28548	,	-27954	,	-21.16476	,	0
49,37	,	52731	,	-28554	,	-27968	,	-22.102272	,	0
49,37	,	52762	,	-28545	,	-27962	,	-22.77416	,	0
49,37	,	52778	,	-28538	,	-27944	,	-22.779064	,	0
49,37	,	52794	,	-28518	,	-27943	,	-21.62413	,	0
49,37	,	52826	,	-28496	,	-27923	,	-18.801342	,	1
49,37	,	52842	,	-28488	,	-27941	,	-13.97041	,	3
49,37	,	52858	,	-28487	,	-27926	,	-7.302621	,	7
49,37	,	52890	,	-28473	,	-27925	,	0.45713234	,	13
49,38	,	52906	,	-28477	,	-27930	,	8.348674	,	20
49,38	,	52938	,	-28476	,	-27919	,	15.440926	,	27
49,38	,	52954	,	-28472	,	-27922	,	20.94859	,	34
49,38	,	52970	,	-28455	,	-27914	,	24.50866	,	39
49,38	,	53002	,	-28465	,	-27931	,	26.242315	,	42
49,38	,	53018	,	-28475	,	-27901	,	26.340448	,	42
49,38	,	53034	,	-28476	,	-27931	,	24.82164	,	40
49,38	,	53066	,	-28470	,	-27927	,	21.828785	,	36
49,38	,	53082	,	-28480	,	-27930	,	17.80265	,	30
49,38	,	53114	,	-28476	,	-27913	,	13.265241	,	23
49,38	,	53130	,	-28481	,	-27911	,	8.67796	,	16
49,38	,	53146	,	-28469	,	-27913	,	4.4783907	,	9
49,38	,	53178	,	-28479	,	-27926	,	1.051569	,	4
49,38	,	53194	,	-28471	,	-27933	,	-1.3977208	,	1
49,38	,	53210	,	-28472	,	-27920	,	-2.8515568	,	0
49,38	,	53242	,	-28463	,	-27929	,	-3.3542807	,	0
49,38	,	53258	,	-28485	,	-27916	,	-3.069945	,	0
49,38	,	53274	,	-28487	,	-27928	,	-2.4568088	,	0
49,38	,	53306	,	-28487	,	-27919	,	-2.0690231	,	0
49,38	,	53322	,	-28486	,	-27935	,	-2.150425	,	0
49,38	,	53354	,	-28502	,	-27941	,	-2.6755624	,	0
49,38	,	53370	,	-28501	,	-27943	,	-3.6371	,	0
49,38	,	53386	,	-28505	,	-27941	,	-5.0116243	,	0
49,38	,	53418	,	-28522	,	-27950	,	-6.6958184	,	0
49,38	,	53434	,	-28511	,	-27952	,	-8.587398	,	0
49,38	,	53450	,	-28512	,	-27964	,	-10.452911	,	0
49,38	,	53482	,	-28531	,	-27970	,	-11.9891405	,	0
49,38	,	53498	,	-28533	,	-27936	,	-13.17345	,	0
49,38	,	53530	,	-28538	,	-27959	,	-14.175651	,	0
49,38	,	53546	,	-28539	,	-27965	,	-15.046598	,	0
49,38	,	53562	,	-28543	,	-27972	,	-15.705164	,	0
49,38	,	53594	,	-28556	,	-27990	,	-16.1078	,	0
49,38	,	53610	,	-28565	,	-27997	,	-16.384033	,	0
49,38	,	53626	,	-28575	,	-27989	,	-16.778502	,	0
49,38	,	53658	,	-28574	,	-27996	,	-17.44097	,	0
49,38	,	53674	,	-28596	,	-27985	,	-18.36871	,	0
49,38	,	53690	,	-28592	,	-27998	,	-19.524687	,	0
49,38	,	53722	,	-28589	,	-28011	,	-20.7487	,	0
49,38	,	53738	,	-28579	,	-27961	,	-21.592453	,	0
49,38	,	53770	,	-28546	,	-27975	,	-21.347069	,	0
49,38	,	53786	,	-28531	,	-27963	,	-19.17547	,	0
49,38	,	53802	,	-28521	,	-27964	,	-14.5333805	,	2
49,38	,	53834	,	-28511	,	-27949	,	-7.5957956	,	6
49,38	,	53850	,	-28516	,	-27959	,	0.78235817	,	12
49,38	,	53866	,	-28512	,	-27955	,	9.360456	,	20
49,39	,	53898	,	-28503	,	-27960	,	16.947716	,	28
49,39	,	53914	,	-28503	,	-27957	,	22.785425	,	35
49,39	,	53946	,	-28502	,	-27954	,	26.540016	,	40
49,39	,	53962	,	-28511	,	-27980	,	28.106583	,	43
49,39	,	53978	,	-28517	,	-27943	,	27.49865	,	44
49,39	,	54010	,	-28509	,	-27948	,	24.918398	,	42
49,39	,	54026	,	-28521	,	-27954	,	20.846468	,	38
49,39	,	54042	,	-28502	,	-27963	,	15.96058	,	32
49,39	,	54074	,	-28507	,	-27950	,	11.039151	,	24
49,39	,	54090	,	-28512	,	-27966	,	6.730131	,	16
49,39	,	54122	,	-28509	,	-27960	,	3.3053412	,	9
49,39	,	54138	,	-28518	,	-27960	,	0.74788	,	4
49,39	,	54154	,	-28511	,	-27963	,	-1.0758762	,	1
49,39	,	54186	,	-28514	,	-27964	,	-2.291414	,	0
49,39	,	54202	,	-28516	,	-27967	,	-2.9831095	,	0
49,39	,	54218	,	-28511	,	-27938	,	-3.2485871	,	0
49,39	,	54250	,	-28537	,	-27962	,	-3.2822814	,	0
49,39	,	54266	,	-28520	,	-27979	,	-3.405633	,	0
49,39	,	54281	,	-28541	,	-27973	,	-3.8489287	,	0
49,39	,	54314	,	-28532	,	-27958	,	-4.6411133	,	0
49,39	,	54330	,	-28557	,	-27979	,	-5.7694683	,	0
49,39	,	54361	,	-28551	,	-27968	,	-7.2677827	,	0
49,39	,	54378	,	-28557	,	-27981	,	-9.089776	,	0
