RAW Data export file (comma separated)


Client:	John,Sample
Session:	Julian1 
Date:	24-07-2017
Time:	10:55:45
Duration:	367	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-49.036,866.044,,
-48.919,866.044,,
-48.831,866.044,,
-48.660,866.044,,
-48.624,910.023,,
-48.898,910.023,,
-49.033,910.023,,
-49.053,910.023,,
-49.075,909.846,,
-48.717,909.846,,
-48.493,909.846,,
-48.280,909.846,,
-48.123,909.618,,
-48.173,909.618,,
-47.921,909.618,,
-47.375,909.618,,
-46.239,909.384,,
-44.394,909.384,,
-42.458,909.384,,
-40.361,909.384,,
-38.183,909.356,,
-36.106,909.356,,
-33.873,909.356,,
-31.788,909.356,,
-29.741,909.235,,
-28.149,909.235,,
-27.516,909.235,,
-27.643,909.235,,
-28.744,909.189,,
-30.385,909.189,,
-32.393,909.189,,
-34.698,909.189,,
-36.933,909.193,,
-39.049,909.193,,
-40.947,909.193,,
-42.483,909.193,,
-44.069,909.226,,
-45.424,909.226,,
-46.409,909.226,,
-46.937,909.226,,
-47.112,909.392,,
-47.478,909.392,,
-47.686,909.392,,
-47.745,909.392,,
-47.607,909.323,,
-46.968,909.323,,
-46.378,909.323,,
-45.835,909.323,,
-45.603,909.359,,
-45.667,909.359,,
-45.444,909.359,,
-45.357,909.359,,
-45.584,909.356,,
-45.966,909.356,,
-46.384,909.356,,
-46.672,909.356,,
-46.853,909.264,,
-47.052,909.264,,
-47.087,909.264,,
-47.178,909.264,,
-46.819,909.290,,
-46.333,909.290,,
-46.069,909.290,,
-45.925,909.290,,
-46.267,909.302,,
-46.519,909.302,,
-46.499,909.302,,
-46.552,909.302,,
-46.325,909.358,,
-46.096,909.358,,
-45.691,909.358,,
-45.244,909.358,,
-45.196,909.447,,
-45.236,909.447,,
-45.705,909.447,,
-46.126,909.447,,
-46.113,909.458,,
-46.227,909.458,,
-46.415,909.458,,
-46.729,909.458,,
-47.148,909.585,,
-47.398,909.585,,
-47.820,909.585,,
-48.201,909.585,,
-48.473,909.695,,
-48.604,909.695,,
-48.449,909.695,,
-48.321,909.695,,
-48.410,909.814,,
-48.397,909.814,,
-48.526,909.814,,
-48.423,909.814,,
-48.409,910.048,,
-48.636,910.048,,
-48.847,910.048,,
-48.983,910.048,,
-48.715,910.197,,
-48.379,910.197,,
-48.162,910.197,,
-48.131,910.197,,
-48.535,910.447,,
-48.581,910.447,,
-48.217,910.447,,
-47.808,910.447,,
-47.189,910.658,,
-46.719,910.658,,
-46.326,910.658,,
-45.861,910.658,,
-45.624,910.863,,
-45.571,910.863,,
-45.992,910.863,,
-46.587,910.863,,
-47.046,911.147,,
-47.310,911.147,,
-47.245,911.147,,
-47.259,911.147,,
-47.245,911.329,,
-47.099,911.329,,
-47.083,911.329,,
-47.092,911.329,,
-47.187,911.582,,
-47.269,911.582,,
-47.258,911.582,,
-47.385,911.582,,
-47.555,911.829,,
-47.746,911.829,,
-47.929,911.829,,
-47.778,911.829,,
-47.752,912.055,,
-47.796,912.055,,
-47.892,912.055,,
-48.141,912.055,,
-48.063,912.366,,
-47.787,912.366,,
-47.520,912.366,,
-47.131,912.366,,
-46.904,912.516,,
-46.713,912.516,,
-46.633,912.516,,
-46.687,912.516,,
-46.738,912.727,,
-47.123,912.727,,
-47.540,912.727,,
-47.749,912.727,,
-47.859,912.785,,
-47.785,912.785,,
-47.930,912.785,,
-48.304,912.785,,
-48.723,912.791,,
-49.180,912.791,,
-49.399,912.791,,
-49.459,912.791,,
-49.313,912.968,,
-48.988,912.968,,
-48.665,912.968,,
-47.913,912.968,,
-46.777,913.093,,
-45.414,913.093,,
-43.627,913.093,,
-41.627,913.093,,
-39.240,913.264,,
-36.937,913.264,,
-35.033,913.264,,
-33.126,913.264,,
-31.737,913.486,,
-30.869,913.486,,
-30.319,913.486,,
-30.148,913.486,,
-30.065,913.632,,
-30.355,913.632,,
-31.075,913.632,,
-32.069,913.632,,
-33.616,913.931,,
-35.554,913.931,,
-37.638,913.931,,
-39.751,913.931,,
-41.617,914.250,,
-43.304,914.250,,
-44.694,914.250,,
-45.941,914.250,,
-47.114,914.727,,
-47.757,914.727,,
-48.369,914.727,,
-48.813,914.727,,
-48.926,915.131,,
-48.676,915.131,,
-48.050,915.131,,
-47.765,915.131,,
-47.461,915.417,,
-47.108,915.417,,
-47.273,915.417,,
-47.326,915.417,,
-47.410,915.741,,
-47.814,915.741,,
-47.923,915.741,,
-48.067,915.741,,
-47.794,915.901,,
-47.238,915.901,,
-47.176,915.901,,
-46.951,915.901,,
-46.622,916.103,,
-46.407,916.103,,
-45.947,916.103,,
-45.470,916.103,,
-45.040,916.378,,
-45.050,916.378,,
-45.234,916.378,,
-45.310,916.378,,
-45.516,916.614,,
-45.650,916.614,,
-45.705,916.614,,
-45.855,916.614,,
-46.101,916.945,,
-46.525,916.945,,
-46.828,916.945,,
-47.232,916.945,,
-47.578,917.218,,
-47.658,917.218,,
-47.781,917.218,,
-47.824,917.218,,
-47.747,917.533,,
-47.626,917.533,,
-47.441,917.533,,
-47.508,917.533,,
-47.668,917.866,,
-47.781,917.866,,
-47.737,917.866,,
-47.218,917.866,,
-46.904,918.096,,
-46.911,918.096,,
-46.868,918.096,,
-47.072,918.096,,
-47.275,918.321,,
-47.715,918.321,,
-48.151,918.321,,
-48.589,918.321,,
-49.339,918.371,,
-49.752,918.371,,
-49.659,918.371,,
-49.434,918.371,,
-49.073,918.297,,
-48.862,918.297,,
-48.390,918.297,,
-47.781,918.297,,
-47.325,918.241,,
-46.841,918.241,,
-46.621,918.241,,
-46.431,918.241,,
-46.258,918.066,,
-46.471,918.066,,
-46.618,918.066,,
-46.776,918.066,,
-47.149,917.962,,
-47.540,917.962,,
-47.990,917.962,,
-48.209,917.962,,
-48.252,917.818,,
-48.244,917.818,,
-48.113,917.818,,
-48.235,917.818,,
-48.368,917.614,,
-48.350,917.614,,
-48.343,917.614,,
-48.172,917.614,,
-48.093,917.497,,
-47.950,917.497,,
-47.683,917.497,,
-47.591,917.497,,
-47.413,917.254,,
-47.409,917.254,,
-47.493,917.254,,
-47.453,917.254,,
-47.439,917.179,,
-47.406,917.179,,
-47.385,917.179,,
-47.243,917.179,,
-47.011,916.970,,
-46.922,916.970,,
-46.861,916.970,,
-46.785,916.970,,
-46.943,916.696,,
-47.117,916.696,,
-47.358,916.696,,
-47.469,916.696,,
-47.290,916.402,,
-47.135,916.402,,
-46.995,916.402,,
-46.984,916.402,,
-47.091,915.982,,
-47.157,915.982,,
-47.286,915.982,,
-47.219,915.982,,
-47.163,915.712,,
-47.243,915.712,,
-47.318,915.712,,
-47.524,915.712,,
-47.686,915.379,,
-47.406,915.379,,
-46.491,915.379,,
-44.869,915.379,,
-42.687,915.065,,
-39.934,915.065,,
-37.005,915.065,,
-34.224,915.065,,
-31.921,914.849,,
-30.439,914.849,,
-29.666,914.849,,
-29.608,914.849,,
-29.980,914.497,,
-30.398,914.497,,
-31.373,914.497,,
-32.544,914.497,,
-33.804,914.287,,
-35.556,914.287,,
-37.334,914.287,,
-39.014,914.287,,
-40.769,914.175,,
-42.288,914.175,,
-43.871,914.175,,
-45.467,914.175,,
-46.984,914.132,,
-48.091,914.132,,
-48.525,914.132,,
-48.772,914.132,,
-48.727,914.020,,
-48.253,914.020,,
-47.832,914.020,,
-47.199,914.020,,
-46.793,913.817,,
-46.850,913.817,,
