Data recorded on Mon Jul 24 10-59-28 CAT 2017
Time: 10:59:36
Time		Millis		objTemp		dieTemp		sensorVoltage
59,45	,	162287	,	37.05	,	32.81	,	87.0
59,48	,	166301	,	37.11	,	32.84	,	89.0
59,52	,	170315	,	37.17	,	32.91	,	89.0
59,56	,	174329	,	37.19	,	32.94	,	88.0
0,0	,	178344	,	37.25	,	32.97	,	90.0
0,4	,	182358	,	37.27	,	33.0	,	89.0
0,8	,	186373	,	37.32	,	33.03	,	91.0
0,12	,	190387	,	37.36	,	33.06	,	91.0
0,16	,	194402	,	37.4	,	33.09	,	92.0
0,20	,	198416	,	37.42	,	33.13	,	91.0
0,24	,	202430	,	37.45	,	33.16	,	91.0
0,28	,	206445	,	37.48	,	33.19	,	91.0
0,32	,	210459	,	37.51	,	33.22	,	91.0
0,36	,	214473	,	37.57	,	33.25	,	93.0
0,40	,	218488	,	37.59	,	33.28	,	92.0
0,44	,	222502	,	37.6	,	33.28	,	93.0
0,58	,	234546	,	37.68	,	33.38	,	92.0
