Data recorded on Mon Jul 24 11-02-27 CAT 2017
Time: 11:2:38
Time		Millis		IR PPG		Red PPG		Filtered		SSF
2,47	,	38578	,	-19633	,	-17225	,	-14.596173	,	2
2,47	,	38594	,	-19650	,	-17228	,	-15.123656	,	2
2,47	,	38626	,	-19648	,	-17229	,	-16.206024	,	2
2,47	,	38642	,	-19642	,	-17216	,	-17.62497	,	2
2,47	,	38658	,	-19617	,	-17208	,	-18.738892	,	2
2,47	,	38690	,	-19596	,	-17193	,	-18.572666	,	2
2,47	,	38706	,	-19559	,	-17196	,	-16.11884	,	1
2,47	,	38738	,	-19540	,	-17162	,	-10.680891	,	2
2,47	,	38754	,	-19530	,	-17167	,	-2.2573233	,	7
2,47	,	38770	,	-19537	,	-17167	,	8.199261	,	15
2,47	,	38802	,	-19522	,	-17171	,	19.064556	,	25
2,47	,	38818	,	-19516	,	-17159	,	28.785872	,	35
2,47	,	38834	,	-19516	,	-17164	,	36.32872	,	44
2,47	,	38866	,	-19500	,	-17155	,	41.176876	,	51
2,47	,	38882	,	-19496	,	-17148	,	43.337143	,	55
2,47	,	38898	,	-19496	,	-17142	,	43.190575	,	57
2,47	,	38930	,	-19493	,	-17152	,	41.184586	,	55
2,47	,	38946	,	-19500	,	-17167	,	37.710594	,	50
2,47	,	38978	,	-19490	,	-17124	,	33.143543	,	42
2,47	,	38994	,	-19484	,	-17108	,	27.98184	,	32
2,47	,	39010	,	-19493	,	-17143	,	22.79949	,	22
2,47	,	39042	,	-19485	,	-17113	,	17.990246	,	13
2,47	,	39058	,	-19477	,	-17107	,	13.816123	,	6
2,47	,	39074	,	-19480	,	-17104	,	10.53389	,	2
2,47	,	39106	,	-19484	,	-17143	,	8.2039995	,	0
2,47	,	39122	,	-19488	,	-17126	,	6.5810847	,	0
2,47	,	39154	,	-19493	,	-17139	,	5.2887135	,	0
2,47	,	39170	,	-19491	,	-17144	,	4.025649	,	0
2,47	,	39186	,	-19492	,	-17120	,	2.6791387	,	0
2,47	,	39218	,	-19501	,	-17117	,	1.2621841	,	0
2,47	,	39234	,	-19505	,	-17150	,	-0.247787	,	0
2,47	,	39250	,	-19513	,	-17144	,	-1.9256049	,	0
2,47	,	39282	,	-19519	,	-17102	,	-3.8270094	,	0
2,47	,	39298	,	-19512	,	-17118	,	-5.89376	,	0
2,47	,	39330	,	-19525	,	-17135	,	-7.90975	,	0
2,47	,	39346	,	-19526	,	-17144	,	-9.677617	,	0
2,47	,	39362	,	-19530	,	-17146	,	-11.124968	,	0
2,47	,	39394	,	-19530	,	-17140	,	-12.197058	,	0
2,47	,	39410	,	-19536	,	-17142	,	-12.8379345	,	0
2,47	,	39426	,	-19538	,	-17159	,	-13.065145	,	0
2,47	,	39458	,	-19529	,	-17125	,	-12.909414	,	0
2,47	,	39474	,	-19550	,	-17149	,	-12.389357	,	0
2,47	,	39490	,	-19552	,	-17111	,	-11.699002	,	0
2,47	,	39522	,	-19547	,	-17154	,	-11.118937	,	0
2,47	,	39538	,	-19576	,	-17160	,	-10.822426	,	0
2,47	,	39570	,	-19577	,	-17155	,	-11.045782	,	0
2,48	,	39586	,	-19587	,	-17137	,	-12.026102	,	0
2,48	,	39602	,	-19590	,	-17168	,	-13.715761	,	0
2,48	,	39634	,	-19585	,	-17163	,	-15.761527	,	0
2,48	,	39650	,	-19584	,	-17171	,	-17.608173	,	0
2,48	,	39666	,	-19579	,	-17179	,	-18.689293	,	0
2,48	,	39698	,	-19579	,	-17160	,	-18.640705	,	0
2,48	,	39714	,	-19517	,	-17132	,	-17.09468	,	0
2,48	,	39746	,	-19482	,	-17126	,	-13.2154	,	1
2,48	,	39762	,	-19486	,	-17135	,	-6.193516	,	4
2,48	,	39778	,	-19484	,	-17129	,	3.589961	,	11
2,48	,	39810	,	-19470	,	-17094	,	14.592089	,	20
2,48	,	39826	,	-19462	,	-17128	,	25.146524	,	31
2,48	,	39842	,	-19447	,	-17120	,	34.09023	,	41
2,48	,	39874	,	-19447	,	-17120	,	40.785744	,	49
2,48	,	39890	,	-19439	,	-17125	,	44.94684	,	55
2,48	,	39906	,	-19438	,	-17122	,	46.537758	,	59
2,48	,	39938	,	-19439	,	-17112	,	45.738842	,	59
2,48	,	39954	,	-19438	,	-17121	,	42.876152	,	56
2,48	,	39986	,	-19429	,	-17117	,	38.435257	,	49
2,48	,	40002	,	-19426	,	-17119	,	33.096405	,	40
2,48	,	40018	,	-19427	,	-17112	,	27.561638	,	29
2,48	,	40050	,	-19415	,	-17114	,	22.377245	,	19
2,48	,	40066	,	-19414	,	-17119	,	17.956524	,	11
2,48	,	40081	,	-19409	,	-17118	,	14.561393	,	5
2,48	,	40113	,	-19417	,	-17122	,	12.187116	,	1
2,48	,	40129	,	-19406	,	-17126	,	10.604439	,	0
2,48	,	40162	,	-19423	,	-17116	,	9.503697	,	0
2,48	,	40178	,	-19424	,	-17117	,	8.503857	,	0
2,48	,	40194	,	-19421	,	-17130	,	7.260893	,	0
2,48	,	40226	,	-19424	,	-17132	,	5.6944427	,	0
2,48	,	40242	,	-19434	,	-17125	,	3.8844893	,	0
2,48	,	40258	,	-19436	,	-17136	,	1.8526459	,	0
2,48	,	40290	,	-19457	,	-17138	,	-0.46987152	,	0
2,48	,	40306	,	-19440	,	-17136	,	-3.1218383	,	0
2,48	,	40322	,	-19468	,	-17141	,	-5.9716716	,	0
2,48	,	40354	,	-19476	,	-17137	,	-8.919201	,	0
2,48	,	40369	,	-19480	,	-17140	,	-12.015706	,	0
2,48	,	40401	,	-19495	,	-17142	,	-15.222888	,	0
2,48	,	40418	,	-19488	,	-17152	,	-18.337494	,	0
2,48	,	40434	,	-19504	,	-17153	,	-21.062769	,	0
2,48	,	40466	,	-19507	,	-17134	,	-23.154938	,	0
2,48	,	40482	,	-19513	,	-17157	,	-24.53862	,	0
2,48	,	40498	,	-19518	,	-17163	,	-25.225313	,	0
2,48	,	40529	,	-19522	,	-17159	,	-25.257698	,	0
2,48	,	40545	,	-19530	,	-17161	,	-24.729641	,	0
2,48	,	40577	,	-19546	,	-17162	,	-23.858856	,	0
2,49	,	40593	,	-19546	,	-17168	,	-22.975248	,	0
2,49	,	40610	,	-19543	,	-17180	,	-22.249905	,	0
2,49	,	40642	,	-19550	,	-17169	,	-21.557484	,	0
2,49	,	40658	,	-19555	,	-17180	,	-20.73067	,	0
