Data recorded on Wed Jul 26 15-15-59 CAT 2017
Time: 15:16:10
Time		Millis		IR PPG		Red PPG		Filtered		SSF
16,19	,	26321	,	-27289	,	-25158	,	10.710585	,	0
16,19	,	26337	,	-27300	,	-25164	,	4.2337923	,	0
16,19	,	26370	,	-27309	,	-25116	,	-0.9297352	,	0
16,19	,	26386	,	-27300	,	-25135	,	-4.889063	,	0
16,19	,	26402	,	-27294	,	-25129	,	-7.6714077	,	0
16,19	,	26434	,	-27275	,	-25051	,	-9.05228	,	0
16,19	,	26450	,	-27231	,	-25016	,	-8.538625	,	0
16,19	,	26466	,	-27235	,	-25035	,	-5.550753	,	0
16,19	,	26498	,	-27249	,	-24991	,	-0.19569159	,	2
16,19	,	26514	,	-27239	,	-25040	,	6.380679	,	7
16,19	,	26545	,	-27250	,	-25048	,	12.717661	,	13
16,19	,	26561	,	-27231	,	-25008	,	17.75694	,	19
16,19	,	26577	,	-27217	,	-24967	,	21.141064	,	24
16,19	,	26609	,	-27199	,	-24929	,	23.210493	,	27
16,19	,	26626	,	-27177	,	-24892	,	24.665241	,	29
16,19	,	26641	,	-27163	,	-24883	,	26.208206	,	30
16,19	,	26674	,	-27174	,	-24872	,	28.160227	,	31
16,19	,	26690	,	-27174	,	-24889	,	30.171059	,	30
16,19	,	26705	,	-27186	,	-24963	,	31.455276	,	27
16,19	,	26737	,	-27232	,	-25001	,	31.071796	,	22
16,19	,	26753	,	-27285	,	-25096	,	27.801907	,	16
16,19	,	26785	,	-27291	,	-25106	,	20.527775	,	11
16,19	,	26802	,	-27295	,	-25137	,	9.303398	,	8
16,19	,	26818	,	-27278	,	-25069	,	-4.240678	,	6
16,19	,	26849	,	-27268	,	-25071	,	-17.56328	,	5
16,19	,	26866	,	-27269	,	-25090	,	-28.249626	,	4
16,19	,	26882	,	-27271	,	-25110	,	-34.865044	,	3
16,19	,	26913	,	-27294	,	-25133	,	-37.272472	,	1
16,19	,	26929	,	-27307	,	-25165	,	-36.43222	,	0
16,19	,	26961	,	-27318	,	-25210	,	-33.81167	,	0
16,19	,	26977	,	-27336	,	-25194	,	-30.757673	,	2
16,19	,	26993	,	-27362	,	-25253	,	-28.319834	,	5
16,19	,	27025	,	-27382	,	-25286	,	-27.309883	,	7
16,19	,	27041	,	-27394	,	-25311	,	-28.156033	,	8
16,19	,	27057	,	-27410	,	-25345	,	-30.730783	,	8
16,19	,	27089	,	-27431	,	-25347	,	-34.527294	,	8
16,19	,	27105	,	-27447	,	-25368	,	-38.99118	,	8
16,19	,	27121	,	-27438	,	-25328	,	-43.50535	,	8
16,19	,	27153	,	-27428	,	-25335	,	-47.1374	,	8
16,19	,	27169	,	-27412	,	-25279	,	-48.732143	,	6
16,19	,	27201	,	-27406	,	-25325	,	-47.38202	,	3
16,19	,	27217	,	-27403	,	-25293	,	-42.83818	,	2
16,19	,	27233	,	-27406	,	-25314	,	-35.62227	,	5
16,19	,	27265	,	-27416	,	-25329	,	-26.86318	,	12
16,19	,	27281	,	-27431	,	-25366	,	-18.00601	,	20
16,19	,	27297	,	-27441	,	-25404	,	-10.463442	,	28
16,20	,	27329	,	-27433	,	-25412	,	-5.165862	,	35
16,20	,	27345	,	-27443	,	-25429	,	-2.2892323	,	40
16,20	,	27377	,	-27452	,	-25456	,	-1.5273113	,	42
16,20	,	27393	,	-27441	,	-25474	,	-2.4025683	,	42
16,20	,	27409	,	-27448	,	-25467	,	-4.244396	,	41
16,20	,	27441	,	-27451	,	-25492	,	-6.3564844	,	37
16,20	,	27457	,	-27439	,	-25456	,	-8.22079	,	30
16,20	,	27473	,	-27450	,	-25473	,	-9.454721	,	22
16,20	,	27505	,	-27432	,	-25471	,	-9.826014	,	14
16,20	,	27521	,	-27428	,	-25471	,	-9.195137	,	7
16,20	,	27553	,	-27437	,	-25474	,	-7.535314	,	2
16,20	,	27569	,	-27428	,	-25485	,	-5.1196938	,	1
16,20	,	27585	,	-27427	,	-25498	,	-2.3661795	,	3
16,20	,	27617	,	-27430	,	-25484	,	0.3777027	,	5
16,20	,	27633	,	-27447	,	-25506	,	2.708174	,	7
16,20	,	27649	,	-27430	,	-25508	,	4.1986833	,	9
16,20	,	27681	,	-27428	,	-25520	,	4.777398	,	10
16,20	,	27697	,	-27429	,	-25486	,	4.7572947	,	10
16,20	,	27713	,	-27453	,	-25523	,	4.33631	,	10
16,20	,	27745	,	-27444	,	-25549	,	3.3812747	,	10
16,20	,	27761	,	-27461	,	-25558	,	1.7472522	,	9
16,20	,	27793	,	-27465	,	-25579	,	-0.54998493	,	7
16,20	,	27809	,	-27479	,	-25589	,	-3.4390442	,	5
16,20	,	27825	,	-27484	,	-25605	,	-6.813462	,	3
16,20	,	27857	,	-27497	,	-25626	,	-10.503091	,	1
16,20	,	27873	,	-27521	,	-25649	,	-14.375043	,	0
16,20	,	27889	,	-27508	,	-25659	,	-18.333899	,	0
16,20	,	27921	,	-27537	,	-25699	,	-22.145973	,	0
16,20	,	27937	,	-27549	,	-25674	,	-25.612524	,	0
16,20	,	27969	,	-27560	,	-25721	,	-28.765518	,	0
16,20	,	27985	,	-27578	,	-25743	,	-31.667213	,	0
16,20	,	28001	,	-27596	,	-25767	,	-34.362988	,	0
16,20	,	28033	,	-27611	,	-25787	,	-36.95645	,	0
16,20	,	28049	,	-27628	,	-25820	,	-39.525913	,	0
16,20	,	28065	,	-27630	,	-25835	,	-42.00013	,	0
16,20	,	28097	,	-27632	,	-25867	,	-44.04928	,	0
16,20	,	28113	,	-27653	,	-25889	,	-45.246437	,	0
16,20	,	28129	,	-27649	,	-25916	,	-45.39382	,	0
16,20	,	28161	,	-27675	,	-25949	,	-44.56837	,	0
16,20	,	28177	,	-27673	,	-25937	,	-43.031788	,	0
16,20	,	28209	,	-27670	,	-25968	,	-41.01116	,	1
16,20	,	28225	,	-27678	,	-25979	,	-38.496353	,	3
16,20	,	28241	,	-27663	,	-25984	,	-35.37052	,	5
16,20	,	28273	,	-27655	,	-25985	,	-31.473534	,	8
16,20	,	28289	,	-27667	,	-25991	,	-26.70816	,	11
16,20	,	28305	,	-27656	,	-25991	,	-21.30343	,	15
16,21	,	28337	,	-27667	,	-25993	,	-15.739793	,	20
16,21	,	28354	,	-27663	,	-25982	,	-10.53019	,	25
16,21	,	28385	,	-27632	,	-25987	,	-5.9380054	,	30
16,21	,	28401	,	-27645	,	-25990	,	-1.7982254	,	33
