RAW Data export file (comma separated)


Client:	John,Sample
Session:	Maretha2 
Date:	26-07-2017
Time:	15:19:41
Duration:	229	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-40.267,1034.417,,
-41.127,1034.417,,
-41.912,1034.417,,
-42.491,1034.417,,
-42.918,810.072,,
-43.417,810.072,,
-43.682,810.072,,
-43.561,810.072,,
-43.105,810.054,,
-42.424,810.054,,
-41.856,810.054,,
-41.228,810.054,,
-40.411,809.898,,
-39.423,809.898,,
-38.404,809.898,,
-37.631,809.898,,
-36.996,809.821,,
-36.305,809.821,,
-35.690,809.821,,
-35.196,809.821,,
-35.062,809.727,,
-35.036,809.727,,
-34.936,809.727,,
-34.900,809.727,,
-35.012,809.594,,
-35.400,809.594,,
-35.880,809.594,,
-36.226,809.594,,
-36.626,809.554,,
-37.148,809.554,,
-37.803,809.554,,
-38.321,809.554,,
-38.577,809.583,,
-38.708,809.583,,
-38.903,809.583,,
-39.253,809.583,,
-39.632,809.596,,
-39.816,809.596,,
-39.989,809.596,,
-40.346,809.596,,
-40.778,809.572,,
-41.069,809.572,,
-41.002,809.572,,
-40.681,809.572,,
-40.437,809.623,,
-40.204,809.623,,
-39.879,809.623,,
-39.259,809.623,,
-38.438,809.585,,
-37.564,809.585,,
-36.479,809.585,,
-35.201,809.585,,
-33.844,809.458,,
-32.639,809.458,,
-32.018,809.458,,
-31.718,809.458,,
-31.581,809.055,,
-31.743,809.055,,
-32.161,809.055,,
-32.935,809.055,,
-33.750,808.616,,
-34.517,808.616,,
-35.215,808.616,,
-35.692,808.616,,
-35.967,808.219,,
-35.596,808.219,,
-34.481,808.219,,
-32.773,808.219,,
-30.560,808.007,,
-28.109,808.007,,
-25.403,808.007,,
-22.570,808.007,,
-19.877,807.944,,
-17.810,807.944,,
-16.510,807.944,,
-15.676,807.944,,
-15.172,807.795,,
-15.087,807.795,,
-15.683,807.795,,
-16.911,807.795,,
-18.526,807.596,,
-20.086,807.596,,
-21.639,807.596,,
-23.454,807.596,,
-25.599,807.516,,
-27.736,807.516,,
-29.459,807.516,,
-30.815,807.516,,
-32.094,807.483,,
-33.124,807.483,,
-33.901,807.483,,
-34.487,807.483,,
-35.066,807.486,,
-35.965,807.486,,
-36.883,807.486,,
-37.758,807.486,,
-38.515,807.441,,
-39.283,807.441,,
-40.257,807.441,,
-41.207,807.441,,
-41.954,807.272,,
-42.310,807.272,,
-42.424,807.272,,
-42.494,807.272,,
-42.252,807.057,,
-41.743,807.057,,
-41.007,807.057,,
-40.220,807.057,,
-39.649,806.903,,
-39.042,806.903,,
-38.383,806.903,,
-37.812,806.903,,
-37.434,806.820,,
-37.398,806.820,,
-37.442,806.820,,
-37.468,806.820,,
-37.596,806.742,,
-37.975,806.742,,
-38.473,806.742,,
-38.951,806.742,,
-39.337,806.635,,
-39.605,806.635,,
-39.940,806.635,,
-40.421,806.635,,
-40.871,806.536,,
-41.138,806.536,,
-41.388,806.536,,
-41.778,806.536,,
-42.162,806.398,,
-42.346,806.398,,
-42.121,806.398,,
-41.855,806.398,,
-41.809,806.288,,
-41.837,806.288,,
-41.865,806.288,,
-41.713,806.288,,
-41.537,806.175,,
-41.507,806.175,,
-41.433,806.175,,
-41.309,806.175,,
-41.122,806.096,,
-41.073,806.096,,
-41.314,806.096,,
-41.538,806.096,,
-41.757,805.901,,
-41.885,805.901,,
-42.101,805.901,,
-42.431,805.901,,
-42.472,805.720,,
-42.318,805.720,,
-42.056,805.720,,
-41.953,805.720,,
-42.014,805.553,,
-41.972,805.553,,
-41.841,805.553,,
-41.674,805.553,,
-41.617,805.366,,
-41.608,805.366,,
-41.331,805.366,,
-40.634,805.366,,
-39.499,805.087,,
-37.974,805.087,,
-35.971,805.087,,
-33.313,805.087,,
-30.102,804.723,,
-26.754,804.723,,
-23.693,804.723,,
-21.064,804.723,,
-18.829,804.296,,
-17.163,804.296,,
-16.347,804.296,,
-16.316,804.296,,
-16.997,803.970,,
-18.086,803.970,,
-19.421,803.970,,
-21.117,803.970,,
-23.199,803.704,,
-25.465,803.704,,
-27.758,803.704,,
-29.922,803.704,,
-32.080,803.436,,
-34.114,803.436,,
-35.825,803.436,,
-37.264,803.436,,
-38.332,803.105,,
-39.392,803.105,,
-40.444,803.105,,
-41.301,803.105,,
-42.032,802.827,,
-42.637,802.827,,
-43.400,802.827,,
-44.333,802.827,,
-45.114,802.621,,
-45.737,802.621,,
-46.025,802.621,,
-46.224,802.621,,
-46.232,802.484,,
-45.742,802.484,,
-44.971,802.484,,
-43.974,802.484,,
-43.066,802.271,,
-42.220,802.271,,
-41.168,802.271,,
-40.088,802.271,,
-39.173,802.088,,
-38.499,802.088,,
-37.866,802.088,,
-37.158,802.088,,
-36.438,801.935,,
-35.883,801.935,,
-35.642,801.935,,
-35.617,801.935,,
-35.626,801.713,,
-35.703,801.713,,
-35.976,801.713,,
-36.548,801.713,,
-37.219,801.435,,
-37.768,801.435,,
-38.169,801.435,,
-38.744,801.435,,
-39.418,801.222,,
-39.929,801.222,,
-40.225,801.222,,
-40.269,801.222,,
-40.427,801.045,,
-40.704,801.045,,
-40.898,801.045,,
-40.998,801.045,,
-40.995,800.875,,
-41.137,800.875,,
-41.401,800.875,,
-41.554,800.875,,
-41.589,800.711,,
-41.656,800.711,,
-41.913,800.711,,
-42.206,800.711,,
-42.307,800.601,,
-42.336,800.601,,
-42.360,800.601,,
-42.669,800.601,,
-43.095,800.423,,
-43.460,800.423,,
-43.766,800.423,,
-43.937,800.423,,
-44.131,800.123,,
-44.334,800.123,,
-44.299,800.123,,
-44.064,800.123,,
-43.795,799.816,,
-43.731,799.816,,
-43.745,799.816,,
-43.591,799.816,,
-43.372,799.522,,
-43.146,799.522,,
-42.915,799.522,,
-42.338,799.522,,
-41.161,799.230,,
-39.410,799.230,,
-37.225,799.230,,
-34.573,799.230,,
-31.490,798.996,,
-28.078,798.996,,
-24.651,798.996,,
-21.848,798.996,,
-19.646,798.819,,
-18.071,798.819,,
-17.090,798.819,,
-16.733,798.819,,
-17.202,798.678,,
-18.248,798.678,,
-19.585,798.678,,
-21.104,798.678,,
-22.794,798.596,,
-24.896,798.596,,
-26.985,798.596,,
-28.944,798.596,,
-30.723,798.534,,
-32.311,798.534,,
-34.063,798.534,,
-35.726,798.534,,
-37.157,798.526,,
-38.424,798.526,,
-39.574,798.526,,
-40.767,798.526,,
-41.778,798.635,,
-42.504,798.635,,
-43.126,798.635,,
-43.759,798.635,,
-44.545,798.820,,
-45.208,798.820,,
-45.515,798.820,,
-45.461,798.820,,
-45.220,799.034,,
-44.917,799.034,,
-44.405,799.034,,
-43.542,799.034,,
-42.538,799.211,,
-41.626,799.211,,
-40.763,799.211,,
-39.836,799.211,,
-38.844,799.511,,
-37.940,799.511,,
-37.292,799.511,,
-36.801,799.511,,
-36.354,800.052,,
-35.916,800.052,,
-35.700,800.052,,
-35.849,800.052,,
-36.189,800.695,,
-36.634,800.695,,
-37.024,800.695,,
-37.434,800.695,,
-38.080,801.351,,
-38.788,801.351,,
-39.400,801.351,,
-39.808,801.351,,
-40.128,802.028,,
-40.607,802.028,,
-41.009,802.028,,
-41.275,802.028,,
-41.453,802.702,,
-41.716,802.702,,
-42.190,802.702,,
-42.559,802.702,,
-42.732,803.342,,
-42.720,803.342,,
-42.744,803.342,,
-43.039,803.342,,
-43.229,803.980,,
-43.240,803.980,,
