Data recorded on Wed Jul 26 15-20-27 CAT 2017
Time: 15:21:15
Time		Millis		bpm		Period		SpO2
21,24	,	96667	,	46	,	944	,	72.25212
21,24	,	97723	,	48	,	1056	,	71.8965
21,25	,	98746	,	47	,	1023	,	69.09671
21,26	,	99626	,	48	,	880	,	70.69887
21,27	,	100729	,	50	,	1103	,	69.700806
21,28	,	101866	,	51	,	1137	,	66.01818
21,29	,	103225	,	52	,	1359	,	64.92087
21,31	,	104601	,	52	,	1376	,	66.167435
21,31	,	105448	,	55	,	847	,	69.05876
21,32	,	106280	,	56	,	832	,	73.238655
21,33	,	107096	,	57	,	816	,	77.271545
21,34	,	107911	,	58	,	815	,	76.22029
21,35	,	108999	,	58	,	1088	,	76.27568
21,39	,	113317	,	55	,	1500	,	75.187935
21,40	,	114085	,	56	,	768	,	78.667786
21,42	,	115524	,	55	,	1439	,	83.605156
21,42	,	116292	,	58	,	768	,	83.57397
21,43	,	117076	,	62	,	784	,	81.08411
21,44	,	117796	,	62	,	720	,	79.86917
21,45	,	118595	,	63	,	799	,	80.928894
21,45	,	119363	,	63	,	768	,	82.21202
21,46	,	120130	,	63	,	767	,	85.68381
21,47	,	120866	,	66	,	736	,	88.67906
21,48	,	121634	,	72	,	768	,	90.51316
21,48	,	122418	,	72	,	784	,	91.50827
21,49	,	123138	,	78	,	720	,	92.55207
21,50	,	123905	,	78	,	767	,	94.49095
21,51	,	124721	,	78	,	816	,	96.124146
21,51	,	125489	,	78	,	768	,	95.505005
21,52	,	126160	,	79	,	671	,	92.9908
21,53	,	126896	,	79	,	736	,	91.729454
21,54	,	127632	,	80	,	736	,	92.24144
21,54	,	128464	,	79	,	832	,	90.96828
21,55	,	129007	,	81	,	543	,	88.778534
21,56	,	129823	,	81	,	816	,	85.63992
21,57	,	130767	,	78	,	944	,	83.65203
21,58	,	131678	,	77	,	911	,	84.50342
21,59	,	132510	,	77	,	832	,	83.45165
21,59	,	133262	,	77	,	752	,	86.523834
22,0	,	134029	,	76	,	767	,	88.32142
22,1	,	134813	,	75	,	784	,	89.19885
22,2	,	136252	,	69	,	1439	,	88.74731
22,3	,	137068	,	69	,	816	,	89.30594
22,4	,	137836	,	68	,	768	,	92.54315
22,5	,	138651	,	68	,	815	,	95.775215
22,5	,	139388	,	69	,	737	,	97.575485
22,6	,	140251	,	70	,	863	,	97.22451
22,7	,	141019	,	70	,	768	,	98.502464
22,8	,	141738	,	70	,	719	,	97.92112
22,9	,	142522	,	70	,	784	,	98.26925
22,9	,	143466	,	69	,	944	,	98.05334
22,10	,	144282	,	74	,	816	,	98.49406
22,12	,	146153	,	68	,	1500	,	97.17159
22,13	,	146809	,	69	,	656	,	94.828575
22,14	,	147640	,	69	,	831	,	94.680725
22,14	,	148376	,	69	,	736	,	94.40671
22,15	,	149128	,	70	,	752	,	94.9558
22,16	,	149944	,	70	,	816	,	95.66685
22,17	,	150695	,	69	,	751	,	95.84763
22,17	,	151431	,	70	,	736	,	96.04169
22,18	,	152295	,	71	,	864	,	96.38374
22,19	,	153078	,	71	,	783	,	95.68954
22,20	,	153782	,	78	,	704	,	96.92573
22,21	,	154582	,	77	,	800	,	99.016396
22,22	,	155509	,	76	,	927	,	99.23104
22,22	,	156341	,	75	,	832	,	99.88549
22,23	,	157173	,	74	,	832	,	97.31829
