Data recorded on Mon Jul 24 08-32-35 CAT 2017
Time: 8:32:42
Time		Millis		bpm		Period		SpO2
32,51	,	30180	,	74	,	800	,	100.63005
32,51	,	31012	,	73	,	832	,	100.72023
32,52	,	31844	,	73	,	832	,	100.81125
32,53	,	32643	,	74	,	799	,	100.92651
32,54	,	33459	,	74	,	816	,	101.02054
32,54	,	34290	,	74	,	831	,	100.99387
32,55	,	35154	,	73	,	864	,	100.9287
32,56	,	35938	,	73	,	784	,	101.00999
32,57	,	36753	,	73	,	815	,	101.11714
32,58	,	37553	,	73	,	800	,	101.15004
32,58	,	38369	,	73	,	816	,	101.20288
32,59	,	39153	,	73	,	784	,	101.25484
33,0	,	39936	,	74	,	783	,	101.28036
33,1	,	40752	,	74	,	816	,	101.29831
33,2	,	41632	,	73	,	880	,	101.338234
33,3	,	42479	,	73	,	847	,	101.38529
33,3	,	43279	,	73	,	800	,	101.61656
33,4	,	44079	,	73	,	800	,	101.71425
33,5	,	44910	,	73	,	831	,	101.721924
33,6	,	45774	,	72	,	864	,	101.785484
33,7	,	46558	,	73	,	784	,	101.82026
33,7	,	47341	,	73	,	783	,	101.81248
33,8	,	48157	,	72	,	816	,	101.83522
33,9	,	48989	,	72	,	832	,	101.82311
33,10	,	49772	,	73	,	783	,	101.6926
33,11	,	50572	,	74	,	800	,	101.712456
33,11	,	51339	,	74	,	767	,	101.55711
33,12	,	52124	,	74	,	785	,	101.361946
33,13	,	52923	,	74	,	799	,	101.234634
33,14	,	53771	,	75	,	848	,	100.99165
33,15	,	54571	,	74	,	800	,	100.97046
33,15	,	55386	,	74	,	815	,	100.93645
33,16	,	56266	,	74	,	880	,	100.95299
33,17	,	57129	,	73	,	863	,	100.99908
33,18	,	57945	,	73	,	816	,	101.17757
33,19	,	58729	,	73	,	784	,	101.258064
33,20	,	59544	,	73	,	815	,	101.22934
33,20	,	60376	,	72	,	832	,	101.303185
33,21	,	61208	,	72	,	832	,	101.41512
33,22	,	62039	,	72	,	831	,	101.50497
33,23	,	62823	,	72	,	784	,	101.54027
33,24	,	63671	,	72	,	848	,	101.52202
33,25	,	64518	,	72	,	847	,	101.41776
33,25	,	65398	,	72	,	880	,	101.358116
33,26	,	66230	,	72	,	832	,	101.30612
33,27	,	66998	,	72	,	768	,	101.283875
33,28	,	67781	,	72	,	783	,	101.29704
33,29	,	68597	,	72	,	816	,	101.20453
33,29	,	69429	,	72	,	832	,	101.12045
33,30	,	70260	,	72	,	831	,	101.19632
33,31	,	71092	,	72	,	832	,	101.10896
33,32	,	71892	,	72	,	800	,	101.094955
33,33	,	72723	,	73	,	831	,	101.13845
33,34	,	73555	,	73	,	832	,	101.0999
33,34	,	74371	,	73	,	816	,	101.003876
33,35	,	75154	,	73	,	783	,	100.91538
33,36	,	75970	,	73	,	816	,	100.96511
33,37	,	76802	,	73	,	832	,	100.99059
33,38	,	77665	,	72	,	863	,	100.94992
33,38	,	78449	,	73	,	784	,	100.91826
33,39	,	79249	,	73	,	800	,	100.955925
33,40	,	80049	,	73	,	800	,	101.01119
33,41	,	80848	,	73	,	799	,	100.89768
33,42	,	81712	,	73	,	864	,	100.8273
33,43	,	82543	,	73	,	831	,	100.77615
33,43	,	83343	,	73	,	800	,	100.68074
33,44	,	84143	,	73	,	800	,	100.35991
33,45	,	84926	,	73	,	783	,	100.31335
33,46	,	85710	,	74	,	784	,	100.33614
33,47	,	86526	,	74	,	816	,	100.2811
33,47	,	87374	,	73	,	848	,	100.257065
33,48	,	88189	,	73	,	815	,	100.17154
33,49	,	89005	,	73	,	816	,	100.28431
33,50	,	89804	,	74	,	799	,	100.34223
