RAW Data export file (tab separated)


Client:	John,Sample
Session:	Philli2 
Date:	24-07-2017
Time:	08:37:54
Duration:	169	Seconds.
Output rate:	128	Samples/sec.

128 SPS	32 SPS	
Sensor-G:BVP	Sensor-H:RSP	Events	


-26.064	733.732		
-25.757	733.732		
-25.456	733.732		
-25.042	733.732		
-24.691	724.386		
-24.599	724.386		
-24.757	724.386		
-25.366	724.386		
-26.320	723.963		
-27.398	723.963		
-28.406	723.963		
-29.211	723.963		
-29.975	723.506		
-30.747	723.506		
-31.360	723.506		
-31.770	723.506		
-31.911	723.242		
-31.829	723.242		
-31.703	723.242		
-31.659	723.242		
-31.937	723.030		
-32.474	723.030		
-33.209	723.030		
-34.290	723.030		
-35.271	722.937		
-36.036	722.937		
-36.734	722.937		
-37.500	722.937		
-38.218	722.657		
-38.306	722.657		
-37.688	722.657		
-36.713	722.657		
-35.774	722.195		
-34.890	722.195		
-34.267	722.195		
-33.497	722.195		
-33.041	721.822		
-32.759	721.822		
-32.389	721.822		
-31.653	721.822		
-30.913	721.448		
-30.354	721.448		
-30.400	721.448		
-30.949	721.448		
-31.431	721.033		
-31.751	721.033		
-31.599	721.033		
-30.984	721.033		
-30.178	720.495		
-29.648	720.495		
-29.549	720.495		
-29.694	720.495		
-29.892	719.694		
-29.981	719.694		
-29.923	719.694		
-29.811	719.694		
-29.379	718.614		
-28.279	718.614		
-26.479	718.614		
-24.042	718.614		
-20.998	717.788		
-17.716	717.788		
-14.558	717.788		
-11.596	717.788		
-9.180	717.193		
-7.457	717.193		
-6.603	717.193		
-6.309	717.193		
-6.375	716.866		
-6.932	716.866		
-7.822	716.866		
-8.589	716.866		
-9.424	716.745		
-10.660	716.745		
-12.565	716.745		
-15.153	716.745		
-17.840	716.671		
-20.215	716.671		
-22.305	716.671		
-24.190	716.671		
-26.017	716.668		
-27.482	716.668		
-28.652	716.668		
-29.546	716.668		
-30.297	716.720		
-30.657	716.720		
-30.939	716.720		
-31.334	716.720		
-31.901	716.687		
-32.378	716.687		
-32.399	716.687		
-32.249	716.687		
-32.244	716.624		
-32.349	716.624		
-32.048	716.624		
-31.529	716.624		
-30.992	716.587		
-30.469	716.587		
-29.658	716.587		
-28.672	716.587		
-27.625	716.364		
-26.400	716.364		
-25.099	716.364		
-24.269	716.364		
-24.317	716.162		
-25.015	716.162		
-26.018	716.162		
-26.894	716.162		
-27.395	715.772		
-27.540	715.772		
-27.786	715.772		
-28.249	715.772		
-28.877	715.326		
-29.650	715.326		
-30.455	715.326		
-31.267	715.326		
-32.048	715.046		
-32.313	715.046		
-32.165	715.046		
-32.132	715.046		
-32.106	714.693		
-32.111	714.693		
-32.258	714.693		
-32.673	714.693		
-33.047	714.345		
-33.266	714.345		
-33.296	714.345		
-32.948	714.345		
-32.629	714.187		
-32.563	714.187		
-32.665	714.187		
-32.481	714.187		
-32.235	714.002		
-32.064	714.002		
-32.191	714.002		
-32.449	714.002		
-32.740	713.799		
-32.813	713.799		
-32.667	713.799		
-32.594	713.799		
-32.316	713.763		
-32.134	713.763		
-32.117	713.763		
-31.965	713.763		
-32.107	713.745		
-32.439	713.745		
-32.715	713.745		
-32.679	713.745		
-32.262	713.858		
-32.161	713.858		
-32.342	713.858		
-32.506	713.858		
-32.612	713.914		
-32.929	713.914		
-33.351	713.914		
-33.375	713.914		
-33.088	713.744		
-32.963	713.744		
-32.613	713.744		
-31.873	713.744		
-30.768	713.536		
-28.947	713.536		
-26.590	713.536		
-23.880	713.536		
-21.039	713.370		
-18.063	713.370		
-14.847	713.370		
-11.788	713.370		
-8.941	713.304		
-6.820	713.304		
-5.475	713.304		
-4.640	713.304		
-4.697	713.500		
-5.554	713.500		
-6.847	713.500		
-8.340	713.500		
-9.967	713.726		
-11.888	713.726		
-14.411	713.726		
-17.257	713.726		
-20.210	713.858		
-22.313	713.858		
-23.911	713.858		
-25.614	713.858		
-27.199	714.112		
-28.509	714.112		
-29.393	714.112		
-30.059	714.112		
-30.738	714.313		
-30.994	714.313		
-30.719	714.313		
-30.364	714.313		
-30.295	714.545		
-30.586	714.545		
-30.787	714.545		
-31.152	714.545		
-31.656	714.929		
-32.194	714.929		
-32.404	714.929		
-32.336	714.929		
-32.116	715.271		
-31.800	715.271		
-31.189	715.271		
-30.464	715.271		
-29.818	715.692		
-29.125	715.692		
-28.377	715.692		
-27.532	715.692		
-26.994	716.216		
-26.738	716.216		
-26.800	716.216		
-27.071	716.216		
-27.555	716.610		
-28.103	716.610		
-28.448	716.610		
-28.750	716.610		
-29.128	717.091		
-29.455	717.091		
-29.776	717.091		
-30.029	717.091		
-30.459	717.737		
-31.158	717.737		
-31.759	717.737		
-32.067	717.737		
-32.300	718.277		
-32.255	718.277		
-32.287	718.277		
-32.370	718.277		
-32.212	718.954		
-31.933	718.954		
-31.447	718.954		
-31.097	718.954		
-30.836	719.683		
-30.419	719.683		
-30.129	719.683		
-29.936	719.683		
-29.570	720.304		
-29.317	720.304		
-29.421	720.304		
-29.619	720.304		
-29.875	721.015		
-30.354	721.015		
-30.620	721.015		
-30.550	721.015		
-30.612	721.750		
-30.740	721.750		
-31.212	721.750		
-31.947	721.750		
-32.610	722.574		
-32.867	722.574		
-32.490	722.574		
-31.664	722.574		
-30.640	723.329		
-29.519	723.329		
-28.439	723.329		
-27.303	723.329		
-26.382	723.804		
-25.821	723.804		
-25.568	723.804		
-25.460	723.804		
-25.265	723.985		
-25.087	723.985		
-24.562	723.985		
-23.418	723.985		
-21.807	724.414		
-20.118	724.414		
-18.420	724.414		
-16.663	724.414		
-14.479	725.018		
-12.118	725.018		
-9.840	725.018		
-7.889	725.018		
-6.562	725.794		
-5.720	725.794		
-5.357	725.794		
-5.812	725.794		
-6.866	726.758		
-8.590	726.758		
-10.487	726.758		
-12.447	726.758		
-14.531	727.743		
-16.707	727.743		
-18.974	727.743		
-21.414	727.743		
-24.154	728.678		
-26.795	728.678		
-28.936	728.678		
-30.543	728.678		
-31.748	729.663		
-32.356	729.663		
-32.443	729.663		
-32.363	729.663		
-32.405	730.498		
-32.540	730.498		
-32.912	730.498		
-33.184	730.498		
-33.086	731.270		
-32.773	731.270		
-32.490	731.270		
-32.328	731.270		
-31.773	731.974		
-30.849	731.974		
-29.923	731.974		
-29.033	731.974		
-27.795	732.620		
-26.348	732.620		
-25.131	732.620		
-24.322	732.620		
-24.223	733.369		
-24.698	733.369		
-25.551	733.369		
-26.205	733.369		
-26.346	734.037		
-26.112	734.037		
-25.789	734.037		
-25.510	734.037		
-25.523	734.518		
-25.841	734.518		
-26.264	734.518		
-26.561	734.518		
-27.002	735.031		
-27.782	735.031		
-28.620	735.031		
-29.518	735.031		
-30.213	735.442		
-30.815	735.442		
-31.477	735.442		
-32.182	735.442		
-32.771	735.907		
-32.998	735.907		
-32.899	735.907		
-32.730	735.907		
-32.478	736.448		
-32.247	736.448		
-32.127	736.448		
-32.125	736.448		
-32.414	736.898		
-32.634	736.898		
-32.568	736.898		
-32.264	736.898		
-32.122	737.512		
-32.084	737.512		
-31.861	737.512		
-31.141	737.512		
-30.185	739.063		
-29.625	739.063		
-29.426	739.063		
-29.359	739.063		
-29.301	739.904		
-28.995	739.904		
-28.496	739.904		
-28.002	739.904		
-27.847	740.502		
-27.866	740.502		
-27.883	740.502		
-28.088	740.502		
-28.356	740.962		
-28.634	740.962		
-28.756	740.962		
-28.563	740.962		
-28.169	741.414		
-27.152	741.414		
-25.238	741.414		
-22.811	741.414		
