Data recorded on Mon Jul 24 08-38-21 CAT 2017
Time: 8:38:30
Time		Millis		objTemp		dieTemp		sensorVoltage
38,39	,	29760	,	1.62	,	-0.03	,	-1.0
38,39	,	33774	,	1.62	,	-0.03	,	-1.0
38,43	,	37788	,	1.62	,	-0.03	,	-1.0
38,47	,	41803	,	1.62	,	-0.03	,	-1.0
38,51	,	45817	,	1.62	,	-0.03	,	-1.0
38,55	,	49832	,	1.62	,	-0.03	,	-1.0
38,59	,	53830	,	1.62	,	-0.03	,	-1.0
39,3	,	57844	,	1.62	,	-0.03	,	-1.0
39,7	,	61859	,	1.62	,	-0.03	,	-1.0
39,11	,	65873	,	1.62	,	-0.03	,	-1.0
39,15	,	69888	,	1.62	,	-0.03	,	-1.0
39,19	,	73902	,	1.62	,	-0.03	,	-1.0
39,23	,	77916	,	1.62	,	-0.03	,	-1.0
39,27	,	81931	,	1.62	,	-0.03	,	-1.0
39,31	,	85945	,	1.62	,	-0.03	,	-1.0
39,35	,	89960	,	1.62	,	-0.03	,	-1.0
