Data recorded on Tue Jul 25 10-29-36 CAT 2017
Time: 10:30:0
Time		Millis		IR PPG		Red PPG		Filtered		SSF
30,9	,	70530	,	-23087	,	-20984	,	-16.658173	,	3
30,9	,	70546	,	-23081	,	-20983	,	-10.22831	,	8
30,9	,	70562	,	-23077	,	-20949	,	-3.0003395	,	14
30,9	,	70594	,	-23046	,	-20954	,	4.421116	,	21
30,9	,	70610	,	-23045	,	-20957	,	11.664331	,	28
30,9	,	70626	,	-23050	,	-20953	,	18.392504	,	35
30,9	,	70658	,	-23038	,	-20951	,	24.033447	,	41
30,9	,	70675	,	-23044	,	-20956	,	28.047272	,	46
30,9	,	70706	,	-23036	,	-20952	,	30.168926	,	50
30,9	,	70722	,	-23037	,	-20944	,	30.410736	,	49
30,9	,	70738	,	-23049	,	-20939	,	28.964127	,	44
30,9	,	70770	,	-23035	,	-20940	,	26.092674	,	38
30,9	,	70786	,	-23030	,	-20945	,	22.271278	,	31
30,9	,	70802	,	-23037	,	-20928	,	18.14753	,	24
30,9	,	70834	,	-23046	,	-20943	,	14.1359825	,	17
30,9	,	70850	,	-23044	,	-20939	,	10.320091	,	11
30,9	,	70866	,	-23045	,	-20943	,	6.7386866	,	6
30,9	,	70898	,	-23059	,	-20939	,	3.4601908	,	2
30,9	,	70914	,	-23063	,	-20944	,	0.42474508	,	0
30,9	,	70946	,	-23064	,	-20945	,	-2.476533	,	0
30,9	,	70962	,	-23067	,	-20949	,	-5.199461	,	0
30,9	,	70978	,	-23075	,	-20954	,	-7.6092157	,	0
30,9	,	71010	,	-23077	,	-20950	,	-9.635923	,	0
30,9	,	71026	,	-23084	,	-20972	,	-11.281872	,	0
30,9	,	71042	,	-23085	,	-20944	,	-12.568498	,	0
30,9	,	71074	,	-23103	,	-20966	,	-13.564999	,	0
30,9	,	71090	,	-23112	,	-20966	,	-14.480392	,	0
30,9	,	71122	,	-23107	,	-20966	,	-15.525295	,	0
30,9	,	71138	,	-23121	,	-20974	,	-16.678894	,	0
30,9	,	71154	,	-23133	,	-20972	,	-17.849117	,	0
30,9	,	71186	,	-23130	,	-20980	,	-19.030382	,	0
30,9	,	71202	,	-23144	,	-20992	,	-20.164295	,	0
30,9	,	71218	,	-23158	,	-20990	,	-21.208355	,	0
30,9	,	71250	,	-23153	,	-20988	,	-22.208876	,	0
30,9	,	71266	,	-23153	,	-21018	,	-23.04787	,	0
30,9	,	71298	,	-23169	,	-20978	,	-23.467716	,	0
30,9	,	71314	,	-23187	,	-20998	,	-23.488243	,	0
30,9	,	71330	,	-23182	,	-21008	,	-23.418016	,	0
30,9	,	71362	,	-23188	,	-21008	,	-23.406658	,	0
30,9	,	71378	,	-23174	,	-21003	,	-23.246859	,	0
30,9	,	71394	,	-23171	,	-20993	,	-22.511457	,	0
30,9	,	71426	,	-23156	,	-20997	,	-20.750282	,	0
30,9	,	71442	,	-23141	,	-20992	,	-17.62199	,	1
30,9	,	71458	,	-23118	,	-20983	,	-12.907156	,	4
30,9	,	71490	,	-23107	,	-20985	,	-6.5624847	,	8
30,9	,	71506	,	-23101	,	-20982	,	1.1026039	,	14
30,10	,	71538	,	-23094	,	-20957	,	9.361896	,	21
30,10	,	71554	,	-23061	,	-20959	,	17.421776	,	29
30,10	,	71570	,	-23042	,	-20957	,	24.911854	,	37
30,10	,	71602	,	-23041	,	-20949	,	31.76683	,	44
30,10	,	71618	,	-23035	,	-20947	,	37.705776	,	50
30,10	,	71634	,	-23032	,	-20955	,	42.188427	,	54
30,10	,	71666	,	-23030	,	-20953	,	44.74806	,	55
30,10	,	71682	,	-23033	,	-20964	,	45.147858	,	53
30,10	,	71714	,	-23036	,	-20954	,	43.35974	,	47
30,10	,	71730	,	-23027	,	-20949	,	39.60877	,	40
30,10	,	71745	,	-23031	,	-20962	,	34.42448	,	32
30,10	,	71777	,	-23034	,	-20948	,	28.447845	,	24
30,10	,	71793	,	-23027	,	-20956	,	22.244518	,	17
30,10	,	71810	,	-23051	,	-20964	,	16.24048	,	11
30,10	,	71842	,	-23048	,	-20956	,	10.589258	,	6
30,10	,	71858	,	-23040	,	-20956	,	5.352417	,	2
30,10	,	71874	,	-23064	,	-20959	,	0.7101183	,	0
30,10	,	71906	,	-23069	,	-20968	,	-3.321898	,	0
30,10	,	71922	,	-23070	,	-20960	,	-6.916517	,	0
30,10	,	71953	,	-23070	,	-20972	,	-10.073725	,	0
30,10	,	71969	,	-23079	,	-20962	,	-12.623762	,	0
30,10	,	71985	,	-23086	,	-20975	,	-14.4947405	,	0
30,10	,	72018	,	-23092	,	-20962	,	-15.789963	,	0
30,10	,	72034	,	-23112	,	-20973	,	-16.746437	,	0
30,10	,	72050	,	-23114	,	-20975	,	-17.685555	,	0
30,10	,	72082	,	-23126	,	-20982	,	-18.835062	,	0
30,10	,	72098	,	-23131	,	-20982	,	-20.210823	,	0
30,10	,	72130	,	-23142	,	-20985	,	-21.708015	,	0
30,10	,	72146	,	-23151	,	-20990	,	-23.21797	,	0
30,10	,	72161	,	-23158	,	-20990	,	-24.658524	,	0
30,10	,	72194	,	-23154	,	-20992	,	-25.881966	,	0
30,10	,	72210	,	-23159	,	-20993	,	-26.61155	,	0
30,10	,	72226	,	-23168	,	-21007	,	-26.616947	,	0
30,10	,	72258	,	-23178	,	-20993	,	-25.944191	,	0
30,10	,	72274	,	-23196	,	-21005	,	-24.939304	,	0
30,10	,	72290	,	-23187	,	-21010	,	-24.004864	,	1
30,10	,	72322	,	-23205	,	-21005	,	-23.30991	,	1
30,10	,	72337	,	-23209	,	-21010	,	-22.85986	,	1
30,10	,	72369	,	-23201	,	-21011	,	-22.59092	,	1
30,10	,	72386	,	-23184	,	-21000	,	-22.140797	,	1
30,10	,	72401	,	-23173	,	-21003	,	-20.845783	,	1
30,10	,	72433	,	-23159	,	-20992	,	-18.109524	,	2
30,10	,	72449	,	-23140	,	-20993	,	-13.648438	,	4
30,10	,	72465	,	-23144	,	-20994	,	-7.5719633	,	8
30,10	,	72498	,	-23124	,	-20977	,	-0.40974712	,	13
30,10	,	72513	,	-23108	,	-20972	,	7.17536	,	20
30,11	,	72545	,	-23097	,	-20969	,	14.6986065	,	27
30,11	,	72561	,	-23078	,	-20964	,	21.811445	,	34
30,11	,	72577	,	-23082	,	-20965	,	28.168219	,	41
30,11	,	72610	,	-23077	,	-20969	,	33.32044	,	47
30,11	,	72625	,	-23078	,	-20958	,	36.769455	,	51
30,11	,	72641	,	-23079	,	-20969	,	38.170807	,	52
30,11	,	72673	,	-23076	,	-20961	,	37.450024	,	49
30,11	,	72689	,	-23071	,	-20970	,	34.862633	,	43
30,11	,	72705	,	-23076	,	-20965	,	30.91957	,	36
30,11	,	72738	,	-23078	,	-20953	,	26.139738	,	29
30,11	,	72754	,	-23083	,	-20958	,	20.917358	,	22
30,11	,	72785	,	-23084	,	-20965	,	15.571947	,	15
30,11	,	72801	,	-23086	,	-20960	,	10.406832	,	9
30,11	,	72817	,	-23083	,	-20962	,	5.7278423	,	4
30,11	,	72849	,	-23094	,	-20958	,	1.7728014	,	1
30,11	,	72865	,	-23095	,	-20971	,	-1.4127822	,	0
30,11	,	72881	,	-23100	,	-20969	,	-3.9348006	,	0
30,11	,	72913	,	-23114	,	-20964	,	-5.9673805	,	0
30,11	,	72929	,	-23115	,	-20970	,	-7.750524	,	0
30,11	,	72961	,	-23125	,	-20976	,	-9.483713	,	0
30,11	,	72977	,	-23118	,	-20963	,	-11.189107	,	0
30,11	,	72993	,	-23129	,	-20968	,	-12.717285	,	0
30,11	,	73025	,	-23130	,	-20970	,	-13.905437	,	0
30,11	,	73041	,	-23137	,	-20974	,	-14.702642	,	0
30,11	,	73057	,	-23143	,	-20967	,	-15.158907	,	0
30,11	,	73089	,	-23143	,	-20967	,	-15.365252	,	0
30,11	,	73105	,	-23145	,	-20969	,	-15.353897	,	0
30,11	,	73121	,	-23153	,	-20972	,	-15.1130905	,	0
30,11	,	73153	,	-23162	,	-20976	,	-14.735424	,	0
30,11	,	73169	,	-23173	,	-20985	,	-14.451175	,	0
30,11	,	73201	,	-23172	,	-20980	,	-14.476447	,	0
30,11	,	73217	,	-23188	,	-20985	,	-14.884809	,	0
30,11	,	73233	,	-23202	,	-21001	,	-15.721859	,	0
30,11	,	73265	,	-23194	,	-20990	,	-17.018196	,	0
30,11	,	73281	,	-23207	,	-20990	,	-18.575724	,	0
30,11	,	73297	,	-23211	,	-20990	,	-20.06682	,	0
30,11	,	73329	,	-23198	,	-20984	,	-21.187273	,	0
30,11	,	73345	,	-23185	,	-20988	,	-21.480232	,	0
30,11	,	73377	,	-23177	,	-20971	,	-20.378536	,	0
30,11	,	73393	,	-23166	,	-20968	,	-17.546661	,	1
30,11	,	73409	,	-23142	,	-20966	,	-12.959873	,	3
30,11	,	73441	,	-23136	,	-20957	,	-6.7778215	,	7
30,11	,	73457	,	-23137	,	-20949	,	0.53564453	,	13
30,11	,	73473	,	-23101	,	-20937	,	8.259211	,	20
30,11	,	73505	,	-23098	,	-20936	,	15.858689	,	27
30,12	,	73521	,	-23096	,	-20929	,	22.9598	,	34
30,12	,	73553	,	-23090	,	-20935	,	29.017431	,	41
30,12	,	73569	,	-23077	,	-20924	,	33.51465	,	47
