RAW Data export file (comma separated)


Client:	John,Sample
Session:	Philipp2 
Date:	25-07-2017
Time:	10:32:29
Duration:	165	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-27.644,660.996,,
-28.349,660.996,,
-29.025,660.996,,
-29.863,660.996,,
-30.491,678.582,,
-31.265,678.582,,
-32.027,678.582,,
-32.480,678.582,,
-32.986,678.875,,
-33.827,678.875,,
-34.692,678.875,,
-35.592,678.875,,
-36.251,678.951,,
-36.211,678.951,,
-35.762,678.951,,
-35.285,678.951,,
-34.998,679.158,,
-34.666,679.158,,
-34.033,679.158,,
-32.939,679.158,,
-32.227,679.451,,
-31.459,679.451,,
-30.615,679.451,,
-30.049,679.451,,
-29.821,679.822,,
-29.410,679.822,,
-28.444,679.822,,
-27.438,679.822,,
-26.727,680.316,,
-26.754,680.316,,
-27.694,680.316,,
-28.799,680.316,,
-29.454,680.653,,
-29.837,680.653,,
-30.365,680.653,,
-31.385,680.653,,
-32.814,681.070,,
-34.458,681.070,,
-35.884,681.070,,
-36.639,681.070,,
-36.874,681.580,,
-37.299,681.580,,
-38.011,681.580,,
-38.686,681.580,,
-39.147,682.084,,
-39.419,682.084,,
-39.641,682.084,,
-39.574,682.084,,
-39.007,682.721,,
-38.054,682.721,,
-37.521,682.721,,
-37.320,682.721,,
-37.421,683.438,,
-37.242,683.438,,
-36.612,683.438,,
-36.389,683.438,,
-36.000,684.159,,
-35.502,684.159,,
-35.129,684.159,,
-34.724,684.159,,
-34.548,684.908,,
-34.297,684.908,,
-34.042,684.908,,
-33.833,684.908,,
-33.909,685.790,,
-34.252,685.790,,
-34.955,685.790,,
-35.990,685.790,,
-36.461,686.523,,
-36.753,686.523,,
-37.367,686.523,,
-37.475,686.523,,
-37.316,687.356,,
-37.247,687.356,,
-36.896,687.356,,
-36.272,687.356,,
-35.873,687.810,,
-35.593,687.810,,
-35.502,687.810,,
-35.652,687.810,,
-35.644,688.148,,
-35.317,688.148,,
-34.670,688.148,,
-33.916,688.148,,
-33.278,688.655,,
-32.767,688.655,,
-32.089,688.655,,
-31.155,688.655,,
-29.781,689.330,,
-28.406,689.330,,
-27.035,689.330,,
-25.747,689.330,,
-24.396,690.077,,
-23.067,690.077,,
-22.157,690.077,,
-21.609,690.077,,
-21.171,690.912,,
-21.358,690.912,,
-22.048,690.912,,
-22.793,690.912,,
-23.422,691.701,,
-24.338,691.701,,
-25.600,691.701,,
-27.530,691.701,,
-29.562,692.547,,
-31.018,692.547,,
-31.632,692.547,,
-31.736,692.547,,
-31.560,693.579,,
-31.317,693.579,,
-31.104,693.579,,
-30.942,693.579,,
-30.795,694.538,,
-30.941,694.538,,
-31.260,694.538,,
-31.732,694.538,,
-31.837,695.375,,
-31.375,695.375,,
-30.726,695.375,,
-29.946,695.375,,
-29.629,696.563,,
-29.888,696.563,,
-30.389,696.563,,
-30.789,696.563,,
-31.207,697.934,,
-32.041,697.934,,
-32.888,697.934,,
-33.396,697.934,,
-33.492,699.243,,
-33.272,699.243,,
-32.668,699.243,,
-32.393,699.243,,
-32.411,700.504,,
-32.558,700.504,,
-32.755,700.504,,
-33.000,700.504,,
-33.365,701.673,,
-33.798,701.673,,
-34.301,701.673,,
-34.727,701.673,,
-35.517,702.586,,
-36.449,702.586,,
-36.836,702.586,,
-36.599,702.586,,
-35.819,703.563,,
-35.164,703.563,,
-35.246,703.563,,
-35.752,703.563,,
-36.037,704.578,,
-36.099,704.578,,
-36.070,704.578,,
-35.852,704.578,,
-35.633,705.673,,
-35.291,705.673,,
-34.669,705.673,,
-34.028,705.673,,
-33.688,706.874,,
-33.598,706.874,,
-33.319,706.874,,
-32.792,706.874,,
-32.365,707.835,,
-32.470,707.835,,
-32.744,707.835,,
-33.503,707.835,,
-34.375,708.678,,
-35.074,708.678,,
-35.617,708.678,,
-35.920,708.678,,
-35.929,709.566,,
-35.700,709.566,,
-35.505,709.566,,
-35.954,709.566,,
-36.761,710.416,,
-37.119,710.416,,
-37.383,710.416,,
-37.725,710.416,,
-38.023,710.932,,
-37.905,710.932,,
-37.482,710.932,,
-36.882,710.932,,
-36.473,711.645,,
-36.065,711.645,,
-36.306,711.645,,
-36.995,711.645,,
-37.615,712.339,,
-37.909,712.339,,
-37.752,712.339,,
-37.451,712.339,,
-37.406,712.989,,
-37.618,712.989,,
-37.967,712.989,,
-37.974,712.989,,
-37.595,713.357,,
-36.621,713.357,,
-35.676,713.357,,
-35.015,713.357,,
-35.140,713.744,,
-35.980,713.744,,
-36.565,713.744,,
-36.083,713.744,,
-34.897,713.971,,
-33.370,713.971,,
-31.371,713.971,,
-29.442,713.971,,
-27.758,714.345,,
-26.216,714.345,,
-24.916,714.345,,
-24.022,714.345,,
-23.392,714.847,,
-22.751,714.847,,
-22.008,714.847,,
-21.178,714.847,,
-20.559,715.155,,
-20.926,715.155,,
-21.849,715.155,,
-22.936,715.155,,
-24.375,715.691,,
-25.367,715.691,,
-25.937,715.691,,
-26.414,715.691,,
-26.820,717.260,,
-27.421,717.260,,
-28.261,717.260,,
-29.166,717.260,,
-30.327,720.638,,
-31.953,720.638,,
-33.380,720.638,,
-34.640,720.638,,
-35.521,723.447,,
-35.740,723.447,,
-35.333,723.447,,
-34.624,723.447,,
-34.200,724.823,,
-34.325,724.823,,
-34.646,724.823,,
-35.007,724.823,,
-35.489,725.834,,
-35.515,725.834,,
-34.869,725.834,,
-33.820,725.834,,
-32.826,728.350,,
-32.341,728.350,,
-32.082,728.350,,
-31.443,728.350,,
-31.032,731.230,,
-31.255,731.230,,
-31.933,731.230,,
-32.676,731.230,,
-33.192,731.057,,
-33.444,731.057,,
-33.720,731.057,,
-34.304,731.057,,
-35.062,729.365,,
-35.895,729.365,,
-36.431,729.365,,
-36.680,729.365,,
-36.521,727.214,,
-36.018,727.214,,
-35.336,727.214,,
-34.894,727.214,,
-34.337,724.412,,
-33.917,724.412,,
-33.831,724.412,,
-33.804,724.412,,
-34.292,721.105,,
-34.978,721.105,,
-35.348,721.105,,
-35.386,721.105,,
-35.347,717.712,,
-35.378,717.712,,
-35.679,717.712,,
-36.354,717.712,,
-36.643,714.217,,
-36.434,714.217,,
-36.150,714.217,,
-35.753,714.217,,
-35.083,709.797,,
-34.482,709.797,,
-34.294,709.797,,
-34.210,709.797,,
-34.174,704.080,,
-33.988,704.080,,
-33.754,704.080,,
-33.505,704.080,,
-33.464,697.743,,
-33.670,697.743,,
-34.362,697.743,,
-35.098,697.743,,
-35.796,691.652,,
-36.666,691.652,,
-37.523,691.652,,
-38.338,691.652,,
-39.161,686.470,,
-39.593,686.470,,
-39.338,686.470,,
-38.941,686.470,,
-38.183,681.124,,
-37.058,681.124,,
-35.784,681.124,,
-34.599,681.124,,
-33.760,675.994,,
-33.382,675.994,,
-33.217,675.994,,
-32.859,675.994,,
-32.541,672.161,,
-32.581,672.161,,
-32.928,672.161,,
-33.543,672.161,,
-34.102,668.562,,
-34.480,668.562,,
-34.821,668.562,,
-35.595,668.562,,
-36.629,665.420,,
-37.506,665.420,,
-38.161,665.420,,
-38.211,665.420,,
-37.979,662.693,,
-37.294,662.693,,
-36.080,662.693,,
-34.322,662.693,,
-32.140,659.891,,
-29.855,659.891,,
-27.637,659.891,,
-25.959,659.891,,
-24.411,657.241,,
-22.960,657.241,,
-21.534,657.241,,
-19.868,657.241,,
-18.513,654.929,,
-18.095,654.929,,
