RAW Data export file (comma separated)


Client:	John,Sample
Session:	Talon1 
Date:	24-07-2017
Time:	14:08:07
Duration:	434	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-38.926,654.966,,
-40.168,654.966,,
-40.769,654.966,,
-40.591,654.966,,
-39.953,690.215,,
-39.502,690.215,,
-39.375,690.215,,
-39.208,690.215,,
-39.126,689.938,,
-38.896,689.938,,
-38.402,689.938,,
-37.938,689.938,,
-37.949,689.877,,
-38.191,689.877,,
-38.166,689.877,,
-38.384,689.877,,
-39.062,689.861,,
-40.131,689.861,,
-41.317,689.861,,
-41.664,689.861,,
-40.716,689.873,,
-39.913,689.873,,
-39.840,689.873,,
-40.045,689.873,,
-39.587,690.001,,
-38.291,690.001,,
-37.153,690.001,,
-37.106,690.001,,
-37.578,690.106,,
-38.429,690.106,,
-38.985,690.106,,
-39.000,690.106,,
-38.879,690.242,,
-38.271,690.242,,
-37.252,690.242,,
-36.534,690.242,,
-36.274,690.247,,
-36.240,690.247,,
-36.232,690.247,,
-36.330,690.247,,
-36.513,690.426,,
-37.267,690.426,,
-38.189,690.426,,
-38.897,690.426,,
-39.101,690.482,,
-39.175,690.482,,
-39.277,690.482,,
-39.593,690.482,,
-40.236,690.620,,
-41.160,690.620,,
-41.719,690.620,,
-41.686,690.620,,
-41.377,690.603,,
-41.276,690.603,,
-41.430,690.603,,
-41.493,690.603,,
-41.028,690.793,,
-40.066,690.793,,
-39.111,690.793,,
-38.290,690.793,,
-37.871,690.852,,
-37.277,690.852,,
-36.882,690.852,,
-37.223,690.852,,
-37.470,691.122,,
-37.324,691.122,,
-37.530,691.122,,
-37.555,691.122,,
-37.256,691.332,,
-37.076,691.332,,
-36.793,691.332,,
-36.348,691.332,,
-35.905,691.598,,
-35.913,691.598,,
-36.455,691.598,,
-37.195,691.598,,
-37.603,691.991,,
-37.850,691.991,,
-38.235,691.991,,
-39.341,691.991,,
-40.470,692.425,,
-40.715,692.425,,
-40.211,692.425,,
-39.341,692.425,,
-38.377,692.754,,
-37.576,692.754,,
-36.983,692.754,,
-36.774,692.754,,
-37.024,693.028,,
-37.347,693.028,,
-37.586,693.028,,
-38.214,693.028,,
-38.587,693.554,,
-38.391,693.554,,
-37.905,693.554,,
-37.214,693.554,,
-36.563,694.225,,
-35.759,694.225,,
-34.886,694.225,,
-34.583,694.225,,
-34.981,695.032,,
-36.197,695.032,,
-37.561,695.032,,
-38.109,695.032,,
-37.864,695.534,,
-37.356,695.534,,
-37.049,695.534,,
-36.811,695.534,,
-36.390,696.192,,
-36.014,696.192,,
-35.901,696.192,,
-36.308,696.192,,
-37.284,696.882,,
-38.188,696.882,,
-38.777,696.882,,
-38.827,696.882,,
-38.768,697.659,,
-38.812,697.659,,
-38.732,697.659,,
-38.758,697.659,,
-39.184,698.219,,
-39.644,698.219,,
-39.781,698.219,,
-39.856,698.219,,
-39.937,698.962,,
-40.086,698.962,,
-40.311,698.962,,
-39.971,698.962,,
-39.263,699.444,,
-38.631,699.444,,
-37.912,699.444,,
-37.356,699.444,,
-37.118,699.943,,
-37.132,699.943,,
-37.503,699.943,,
-37.997,699.943,,
-38.078,700.245,,
-37.647,700.245,,
-37.034,700.245,,
-36.243,700.245,,
-35.400,700.539,,
-35.177,700.539,,
-35.368,700.539,,
-35.390,700.539,,
-35.701,700.574,,
-36.720,700.574,,
-38.113,700.574,,
-39.572,700.574,,
-40.870,700.597,,
-41.258,700.597,,
-41.309,700.597,,
-41.176,700.597,,
-40.774,700.604,,
-40.484,700.604,,
-40.054,700.604,,
-39.331,700.604,,
-38.389,700.593,,
-37.375,700.593,,
-36.574,700.593,,
-36.408,700.593,,
-37.127,700.528,,
-37.838,700.528,,
-37.888,700.528,,
-37.647,700.528,,
-37.378,700.441,,
-37.211,700.441,,
-37.087,700.441,,
-37.253,700.441,,
-36.999,700.433,,
-37.283,700.433,,
-38.152,700.433,,
-39.110,700.433,,
-39.484,700.264,,
-39.669,700.264,,
-39.697,700.264,,
-39.585,700.264,,
-39.546,700.236,,
-39.679,700.236,,
-39.728,700.236,,
-39.807,700.236,,
-39.921,700.134,,
-39.803,700.134,,
-39.172,700.134,,
-38.727,700.134,,
-38.713,699.940,,
-38.717,699.940,,
-38.712,699.940,,
-38.559,699.940,,
-38.642,699.525,,
-38.695,699.525,,
-38.742,699.525,,
-39.106,699.525,,
-39.438,699.314,,
-39.481,699.314,,
-39.377,699.314,,
-39.276,699.314,,
-38.883,698.896,,
-38.505,698.896,,
-38.511,698.896,,
-38.654,698.896,,
-38.644,698.563,,
-38.573,698.563,,
-38.304,698.563,,
-37.861,698.563,,
-37.625,698.202,,
-37.799,698.202,,
-37.945,698.202,,
-38.068,698.202,,
-38.225,698.077,,
-37.730,698.077,,
-36.324,698.077,,
-35.123,698.077,,
-34.197,697.867,,
-33.655,697.867,,
-33.928,697.867,,
-34.478,697.867,,
-34.973,697.608,,
-34.739,697.608,,
-33.889,697.608,,
-32.836,697.608,,
-31.665,697.353,,
-31.049,697.353,,
-31.437,697.353,,
-31.890,697.353,,
-31.846,697.241,,
-31.961,697.241,,
-32.676,697.241,,
-33.864,697.241,,
-35.415,697.167,,
-36.921,697.167,,
-38.342,697.167,,
-39.290,697.167,,
-40.321,697.116,,
-41.564,697.116,,
-42.664,697.116,,
-43.366,697.116,,
-43.462,697.211,,
-42.904,697.211,,
-41.818,697.211,,
-40.950,697.211,,
-40.265,697.213,,
-39.503,697.213,,
-38.871,697.213,,
-38.731,697.213,,
-39.249,697.277,,
-40.061,697.277,,
-40.822,697.277,,
-41.083,697.277,,
-40.849,697.165,,
-40.446,697.165,,
-39.754,697.165,,
-39.049,697.165,,
-38.246,697.206,,
-37.065,697.206,,
-36.118,697.206,,
-35.986,697.206,,
-36.588,697.023,,
-37.797,697.023,,
-38.831,697.023,,
-39.350,697.023,,
-39.844,696.962,,
-40.019,696.962,,
-39.731,696.962,,
-39.089,696.962,,
-38.459,696.790,,
-38.166,696.790,,
-38.238,696.790,,
-38.007,696.790,,
-37.472,696.823,,
-36.966,696.823,,
-36.629,696.823,,
-36.534,696.823,,
-36.757,696.708,,
-36.923,696.708,,
-36.547,696.708,,
-36.389,696.708,,
-36.392,696.703,,
-36.571,696.703,,
-37.002,696.703,,
-37.580,696.703,,
-37.642,696.608,,
-36.865,696.608,,
-35.818,696.608,,
-35.097,696.608,,
-34.646,696.596,,
-34.405,696.596,,
-34.493,696.596,,
-34.525,696.596,,
-34.886,696.540,,
-35.459,696.540,,
-35.527,696.540,,
-35.091,696.540,,
-34.513,696.644,,
-34.223,696.644,,
-34.363,696.644,,
-34.804,696.644,,
-35.165,696.641,,
-35.338,696.641,,
-35.850,696.641,,
-36.539,696.641,,
-36.819,696.544,,
-36.748,696.544,,
-37.206,696.544,,
-37.919,696.544,,
-38.620,696.415,,
-38.917,696.415,,
-39.626,696.415,,
-40.477,696.415,,
-41.086,696.239,,
-41.922,696.239,,
-42.627,696.239,,
-42.549,696.239,,
-41.902,696.122,,
-40.920,696.122,,
-40.289,696.122,,
-39.381,696.122,,
-38.305,695.962,,
-37.452,695.962,,
-37.306,695.962,,
-38.087,695.962,,
-39.319,696.002,,
-40.361,696.002,,
-41.017,696.002,,
-41.401,696.002,,
-41.502,695.968,,
-41.188,695.968,,
-40.867,695.968,,
-40.670,695.968,,
-40.483,696.018,,
-40.086,696.018,,
