Data recorded on Mon Jul 24 14-16-28 CAT 2017
Time: 14:16:46
Time		Millis		IR PPG		Red PPG		Filtered		SSF
16,55	,	32759	,	-7909	,	-4912	,	10.477089	,	10
16,55	,	32791	,	-7906	,	-4922	,	11.42291	,	11
16,55	,	32807	,	-7907	,	-4918	,	11.9316025	,	11
16,55	,	32823	,	-7899	,	-4924	,	12.063121	,	11
16,55	,	32855	,	-7900	,	-4918	,	11.8988085	,	10
16,55	,	32871	,	-7912	,	-4919	,	11.464212	,	8
16,55	,	32887	,	-7910	,	-4917	,	10.622315	,	6
16,55	,	32919	,	-7906	,	-4925	,	9.271339	,	4
16,55	,	32935	,	-7900	,	-4920	,	7.5778985	,	2
16,55	,	32967	,	-7914	,	-4921	,	5.82198	,	1
16,55	,	32983	,	-7909	,	-4919	,	4.122484	,	0
16,55	,	32999	,	-7914	,	-4920	,	2.479906	,	0
16,55	,	33031	,	-7914	,	-4921	,	0.9223385	,	0
16,55	,	33047	,	-7923	,	-4920	,	-0.5360942	,	0
16,55	,	33063	,	-7914	,	-4919	,	-1.9034207	,	0
16,55	,	33095	,	-7915	,	-4920	,	-3.0858593	,	0
16,55	,	33111	,	-7923	,	-4924	,	-3.9425762	,	0
16,55	,	33143	,	-7918	,	-4925	,	-4.456959	,	0
16,55	,	33159	,	-7922	,	-4920	,	-4.68257	,	0
16,55	,	33175	,	-7916	,	-4924	,	-4.640357	,	0
16,55	,	33207	,	-7926	,	-4922	,	-4.370995	,	0
16,55	,	33223	,	-7930	,	-4915	,	-4.0259	,	0
16,55	,	33239	,	-7927	,	-4928	,	-3.8024404	,	0
16,55	,	33271	,	-7932	,	-4925	,	-3.7753172	,	0
16,55	,	33287	,	-7934	,	-4927	,	-3.921363	,	0
16,55	,	33303	,	-7942	,	-4925	,	-4.250175	,	0
16,55	,	33335	,	-7938	,	-4929	,	-4.7874174	,	0
16,55	,	33351	,	-7946	,	-4928	,	-5.487334	,	0
16,55	,	33383	,	-7947	,	-4922	,	-6.263186	,	0
16,55	,	33399	,	-7952	,	-4928	,	-7.059589	,	0
16,55	,	33415	,	-7946	,	-4933	,	-7.7974386	,	0
16,55	,	33447	,	-7958	,	-4931	,	-8.355804	,	0
16,55	,	33463	,	-7953	,	-4927	,	-8.684179	,	0
16,55	,	33479	,	-7953	,	-4922	,	-8.777978	,	0
16,55	,	33511	,	-7926	,	-4917	,	-8.458758	,	0
16,55	,	33527	,	-7927	,	-4915	,	-7.3243103	,	0
16,55	,	33559	,	-7917	,	-4916	,	-5.075795	,	1
16,55	,	33575	,	-7919	,	-4918	,	-1.8111637	,	3
16,55	,	33591	,	-7918	,	-4912	,	2.020853	,	6
16,55	,	33623	,	-7913	,	-4900	,	5.8385534	,	9
16,55	,	33639	,	-7911	,	-4912	,	9.164734	,	12
16,55	,	33655	,	-7908	,	-4907	,	11.723698	,	15
16,55	,	33687	,	-7903	,	-4901	,	13.417947	,	17
16,55	,	33703	,	-7901	,	-4897	,	14.302664	,	18
16,55	,	33719	,	-7909	,	-4894	,	14.467947	,	18
16,56	,	33751	,	-7907	,	-4889	,	13.92215	,	17
16,56	,	33767	,	-7898	,	-4891	,	12.722961	,	15
16,56	,	33799	,	-7897	,	-4885	,	11.146109	,	12
16,56	,	33815	,	-7903	,	-4889	,	9.515192	,	9
16,56	,	33831	,	-7906	,	-4891	,	7.939273	,	6
16,56	,	33863	,	-7894	,	-4889	,	6.410097	,	3
16,56	,	33879	,	-7905	,	-4890	,	5.0013843	,	1
16,56	,	33910	,	-7897	,	-4898	,	3.7939818	,	0
16,56	,	33927	,	-7894	,	-4892	,	2.8405545	,	0
16,56	,	33943	,	-7903	,	-4902	,	2.18883	,	0
16,56	,	33975	,	-7904	,	-4900	,	1.7460577	,	0
16,56	,	33991	,	-7890	,	-4902	,	1.3817754	,	0
16,56	,	34007	,	-7902	,	-4902	,	1.1290859	,	0
16,56	,	34039	,	-7905	,	-4900	,	0.98818463	,	0
16,56	,	34055	,	-7911	,	-4907	,	0.76357317	,	0
16,56	,	34070	,	-7904	,	-4907	,	0.2775194	,	0
16,56	,	34103	,	-7922	,	-4906	,	-0.5073266	,	0
16,56	,	34119	,	-7915	,	-4910	,	-1.6007893	,	0
16,56	,	34151	,	-7909	,	-4906	,	-2.900205	,	0
16,56	,	34167	,	-7908	,	-4910	,	-4.0714054	,	0
16,56	,	34183	,	-7907	,	-4912	,	-4.7739987	,	0
16,56	,	34214	,	-7908	,	-4911	,	-4.8823233	,	0
16,56	,	34230	,	-7909	,	-4908	,	-4.469102	,	0
16,56	,	34246	,	-7904	,	-4914	,	-3.6874764	,	0
16,56	,	34279	,	-7904	,	-4908	,	-2.662452	,	0
16,56	,	34295	,	-7909	,	-4914	,	-1.5164797	,	1
16,56	,	34326	,	-7906	,	-4917	,	-0.42444563	,	2
16,56	,	34342	,	-7914	,	-4919	,	0.42817354	,	3
16,56	,	34359	,	-7903	,	-4919	,	0.92736214	,	3
16,56	,	34390	,	-7911	,	-4914	,	1.0976458	,	3
16,56	,	34406	,	-7901	,	-4915	,	1.0701075	,	3
16,56	,	34422	,	-7895	,	-4909	,	1.0482274	,	3
16,56	,	34455	,	-7891	,	-4912	,	1.288907	,	3
16,56	,	34471	,	-7893	,	-4905	,	1.9371943	,	3
16,56	,	34486	,	-7886	,	-4907	,	2.9346297	,	2
16,56	,	34518	,	-7882	,	-4908	,	4.153017	,	1
16,56	,	34535	,	-7880	,	-4902	,	5.4889083	,	1
16,56	,	34566	,	-7876	,	-4902	,	6.8364196	,	2
16,56	,	34582	,	-7878	,	-4904	,	8.063866	,	3
16,56	,	34598	,	-7874	,	-4909	,	9.022672	,	4
16,56	,	34631	,	-7870	,	-4909	,	9.621934	,	4
16,56	,	34646	,	-7867	,	-4910	,	9.889501	,	4
16,56	,	34662	,	-7869	,	-4901	,	9.892717	,	4
16,56	,	34694	,	-7869	,	-4902	,	9.639134	,	4
16,56	,	34710	,	-7870	,	-4898	,	9.092799	,	4
16,56	,	34742	,	-7861	,	-4900	,	8.281891	,	3
16,57	,	34759	,	-7868	,	-4905	,	7.3358965	,	2
