RAW Data export file (comma separated)


Client:	John,Sample
Session:	Tayla1 
Date:	26-07-2017
Time:	09:58:58
Duration:	502	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-175.453,694.994,,
-175.488,694.994,,
-175.490,694.994,,
-175.524,694.994,,
-175.570,694.768,,
-175.498,694.768,,
-175.399,694.768,,
-175.414,694.768,,
-175.395,694.271,,
-175.365,694.271,,
-175.135,694.271,,
-175.021,694.271,,
-174.994,693.932,,
-174.964,693.932,,
-174.979,693.932,,
-174.953,693.932,,
-174.979,693.426,,
-175.041,693.426,,
-175.108,693.426,,
-175.173,693.426,,
-175.087,692.993,,
-174.952,692.993,,
-174.945,692.993,,
-175.005,692.993,,
-175.102,692.793,,
-175.134,692.793,,
-175.165,692.793,,
-175.099,692.793,,
-175.046,693.040,,
-174.961,693.040,,
-174.997,693.040,,
-175.067,693.040,,
-175.100,693.037,,
-175.055,693.037,,
-174.976,693.037,,
-174.949,693.037,,
-174.995,693.159,,
-175.010,693.159,,
-175.027,693.159,,
-175.011,693.159,,
-175.047,693.089,,
-175.192,693.089,,
-175.202,693.089,,
-175.106,693.089,,
-175.031,692.847,,
-175.005,692.847,,
-175.055,692.847,,
-175.009,692.847,,
-175.108,692.615,,
-175.215,692.615,,
-175.269,692.615,,
-175.256,692.615,,
-175.115,692.620,,
-174.968,692.620,,
-174.900,692.620,,
-174.931,692.620,,
-174.933,692.867,,
-175.019,692.867,,
-175.040,692.867,,
-174.964,692.867,,
-174.995,693.174,,
-175.139,693.174,,
-175.174,693.174,,
-175.053,693.174,,
-174.914,693.493,,
-175.054,693.493,,
-175.172,693.493,,
-175.237,693.493,,
-175.181,693.957,,
-175.235,693.957,,
-175.249,693.957,,
-175.135,693.957,,
-175.025,694.324,,
-175.020,694.324,,
-175.001,694.324,,
-174.980,694.324,,
-174.994,694.115,,
-175.046,694.115,,
-175.121,694.115,,
-175.094,694.115,,
-174.899,693.862,,
-174.925,693.862,,
-174.968,693.862,,
-174.963,693.862,,
-175.069,693.476,,
-175.146,693.476,,
-175.047,693.476,,
-175.008,693.476,,
-174.991,693.187,,
-174.913,693.187,,
-174.855,693.187,,
-174.749,693.187,,
-174.783,692.838,,
-174.872,692.838,,
-174.970,692.838,,
-175.027,692.838,,
-174.970,693.044,,
-174.852,693.044,,
-174.833,693.044,,
-174.972,693.044,,
-175.114,693.262,,
-175.171,693.262,,
-175.152,693.262,,
-175.032,693.262,,
-174.956,693.712,,
-174.966,693.712,,
-174.910,693.712,,
-174.931,693.712,,
-174.964,694.250,,
-174.985,694.250,,
-175.090,694.250,,
-175.204,694.250,,
-175.227,695.017,,
-175.075,695.017,,
-174.956,695.017,,
-174.929,695.017,,
-174.975,695.888,,
-174.986,695.888,,
-174.989,695.888,,
-175.108,695.888,,
-175.141,697.083,,
-175.036,697.083,,
-175.027,697.083,,
-175.019,697.083,,
-174.945,698.393,,
-174.972,698.393,,
-175.106,698.393,,
-175.126,698.393,,
-175.128,699.478,,
-175.060,699.478,,
-174.988,699.478,,
-175.044,699.478,,
-175.045,700.521,,
-175.035,700.521,,
-174.999,700.521,,
-174.984,700.521,,
-174.905,701.381,,
-174.921,701.381,,
-174.922,701.381,,
-174.882,701.381,,
-174.920,702.444,,
-174.993,702.444,,
-175.044,702.444,,
-175.058,702.444,,
-175.033,703.221,,
-175.105,703.221,,
-175.065,703.221,,
-175.032,703.221,,
-174.959,703.981,,
-174.902,703.981,,
-174.828,703.981,,
-174.996,703.981,,
-175.137,705.395,,
-175.241,705.395,,
-175.223,705.395,,
-175.087,705.395,,
-174.979,706.894,,
-174.895,706.894,,
-174.980,706.894,,
-175.028,706.894,,
-175.038,708.276,,
-175.074,708.276,,
-175.111,708.276,,
-175.041,708.276,,
-174.901,709.295,,
-174.810,709.295,,
-174.852,709.295,,
-174.889,709.295,,
-174.858,710.100,,
-174.938,710.100,,
-174.996,710.100,,
-175.103,710.100,,
-175.082,711.767,,
-174.956,711.767,,
-174.871,711.767,,
-174.992,711.767,,
-175.135,712.796,,
-175.206,712.796,,
-175.168,712.796,,
-175.080,712.796,,
-174.985,713.496,,
-174.926,713.496,,
-174.940,713.496,,
-174.974,713.496,,
-175.054,713.616,,
-175.102,713.616,,
-175.114,713.616,,
-175.133,713.616,,
-175.011,713.840,,
-174.894,713.840,,
-174.912,713.840,,
-174.912,713.840,,
-174.961,713.098,,
-175.014,713.098,,
-175.014,713.098,,
-175.115,713.098,,
-175.187,713.942,,
-175.067,713.942,,
-174.937,713.942,,
-174.837,713.942,,
-174.870,715.186,,
-174.952,715.186,,
-174.892,715.186,,
-174.788,715.186,,
-174.767,716.709,,
-174.840,716.709,,
-174.881,716.709,,
-174.897,716.709,,
-174.878,718.374,,
-174.890,718.374,,
-174.874,718.374,,
-174.937,718.374,,
-174.983,719.911,,
-175.090,719.911,,
-175.112,719.911,,
-175.064,719.911,,
-174.988,721.250,,
-174.973,721.250,,
-175.033,721.250,,
-175.186,721.250,,
-175.243,722.295,,
-175.143,722.295,,
-175.061,722.295,,
-175.063,722.295,,
-175.116,722.708,,
-175.132,722.708,,
-175.056,722.708,,
-175.054,722.708,,
-175.071,722.431,,
-174.945,722.431,,
-174.848,722.431,,
-174.826,722.431,,
-174.851,721.438,,
-174.876,721.438,,
-174.873,721.438,,
-174.904,721.438,,
-175.017,719.617,,
-175.165,719.617,,
-175.300,719.617,,
-175.221,719.617,,
-174.980,717.438,,
-174.811,717.438,,
-174.927,717.438,,
-175.017,717.438,,
-175.029,714.891,,
-175.010,714.891,,
-174.871,714.891,,
-174.727,714.891,,
-174.698,712.920,,
-174.714,712.920,,
-174.778,712.920,,
-174.918,712.920,,
-174.940,711.632,,
-174.909,711.632,,
-174.968,711.632,,
-175.027,711.632,,
-175.020,711.165,,
-174.993,711.165,,
-174.973,711.165,,
-174.970,711.165,,
-175.064,710.643,,
-175.083,710.643,,
-175.103,710.643,,
-175.138,710.643,,
-175.148,710.229,,
-174.955,710.229,,
-174.783,710.229,,
-174.806,710.229,,
-175.016,709.668,,
-175.166,709.668,,
-175.151,709.668,,
-175.061,709.668,,
-175.129,709.301,,
-175.096,709.301,,
-174.990,709.301,,
-175.030,709.301,,
-175.083,708.775,,
-175.043,708.775,,
-175.060,708.775,,
-175.112,708.775,,
-175.170,708.245,,
-175.139,708.245,,
-174.956,708.245,,
-174.782,708.245,,
-174.770,707.646,,
-174.857,707.646,,
-174.898,707.646,,
-174.942,707.646,,
-174.921,707.157,,
-174.880,707.157,,
-174.821,707.157,,
-174.730,707.157,,
-174.814,706.531,,
-174.831,706.531,,
-174.814,706.531,,
-174.861,706.531,,
-174.871,705.637,,
-174.965,705.637,,
-175.016,705.637,,
-174.934,705.637,,
-174.868,704.494,,
-174.836,704.494,,
-174.784,704.494,,
-174.841,704.494,,
-175.018,703.323,,
-175.099,703.323,,
-175.076,703.323,,
-175.080,703.323,,
-175.028,702.242,,
-174.993,702.242,,
-175.032,702.242,,
-174.988,702.242,,
-175.108,701.036,,
-175.130,701.036,,
-174.951,701.036,,
-174.857,701.036,,
-174.783,699.972,,
-174.812,699.972,,
-174.865,699.972,,
-174.945,699.972,,
-174.880,698.925,,
-174.795,698.925,,
-174.849,698.925,,
-174.914,698.925,,
-174.918,698.026,,
-174.838,698.026,,
-174.822,698.026,,
-174.907,698.026,,
-174.961,697.263,,
-175.089,697.263,,
