Data recorded on Wed Jul 26 10-04-58 CAT 2017
Time: 10:5:6
Time		Millis		bpm		Period		SpO2
5,15	,	97273	,	76	,	1343	,	89.33842
5,15	,	98041	,	74	,	768	,	89.65343
5,16	,	98760	,	75	,	719	,	90.97011
5,17	,	99496	,	74	,	736	,	91.645706
5,17	,	100168	,	74	,	672	,	93.500854
5,18	,	100824	,	75	,	656	,	95.43442
5,19	,	101496	,	74	,	672	,	95.31277
5,19	,	102087	,	77	,	591	,	95.49723
5,20	,	102727	,	78	,	640	,	95.35494
5,21	,	103527	,	79	,	800	,	96.65971
5,22	,	104326	,	85	,	799	,	97.50749
5,22	,	105110	,	84	,	784	,	98.10539
5,23	,	105878	,	84	,	768	,	98.96403
5,24	,	106550	,	85	,	672	,	99.68304
5,25	,	107349	,	83	,	799	,	100.06459
5,25	,	108085	,	82	,	736	,	99.30869
5,26	,	108789	,	82	,	704	,	100.04186
5,27	,	109461	,	81	,	672	,	99.83607
5,27	,	110260	,	79	,	799	,	100.00864
5,28	,	110948	,	80	,	688	,	99.73276
5,29	,	111684	,	81	,	736	,	99.69278
5,30	,	112451	,	81	,	767	,	99.71265
5,31	,	113971	,	74	,	1500	,	99.53451
5,32	,	114610	,	74	,	639	,	99.34695
5,33	,	116162	,	68	,	1500	,	99.2712
5,34	,	116930	,	68	,	768	,	100.20819
5,35	,	117713	,	67	,	783	,	99.755356
5,36	,	118417	,	67	,	704	,	99.36799
5,36	,	119121	,	68	,	704	,	99.02191
5,37	,	119872	,	67	,	751	,	98.82946
5,38	,	120608	,	67	,	736	,	99.09624
5,39	,	121312	,	68	,	704	,	98.911995
5,39	,	122016	,	75	,	704	,	99.12766
5,40	,	122783	,	73	,	767	,	99.01214
5,41	,	123503	,	81	,	720	,	99.35233
5,41	,	124271	,	81	,	768	,	99.30809
5,42	,	125054	,	81	,	783	,	99.75455
5,44	,	126638	,	73	,	1500	,	100.555664
5,45	,	127310	,	74	,	672	,	101.24699
5,45	,	128013	,	74	,	703	,	101.86265
5,46	,	128845	,	73	,	832	,	101.90358
5,47	,	129565	,	73	,	720	,	101.692924
5,48	,	130285	,	73	,	720	,	100.93242
5,48	,	130988	,	73	,	703	,	100.53847
5,49	,	132236	,	69	,	1248	,	100.13756
5,50	,	132924	,	70	,	688	,	99.85096
5,51	,	133723	,	69	,	799	,	99.629005
5,52	,	134411	,	77	,	688	,	99.51581
5,52	,	135211	,	75	,	800	,	99.336426
5,53	,	135915	,	75	,	704	,	98.84423
5,54	,	136570	,	77	,	655	,	97.616325
5,55	,	137387	,	76	,	817	,	97.64639
5,55	,	138042	,	77	,	655	,	98.112755
5,56	,	138873	,	76	,	831	,	97.98676
5,57	,	139657	,	80	,	784	,	98.06296
5,58	,	140409	,	80	,	752	,	97.74113
5,58	,	141112	,	81	,	703	,	97.51889
5,59	,	141848	,	80	,	736	,	97.526375
6,0	,	142616	,	81	,	768	,	97.456406
6,1	,	143400	,	80	,	784	,	98.40787
6,1	,	144167	,	79	,	767	,	99.41637
6,2	,	144919	,	79	,	752	,	99.74941
6,3	,	145623	,	79	,	704	,	99.703705
6,4	,	146391	,	79	,	768	,	99.129425
6,4	,	147190	,	79	,	799	,	98.76269
6,5	,	148006	,	79	,	816	,	98.38889
6,6	,	148774	,	78	,	768	,	99.039185
6,7	,	149477	,	78	,	703	,	99.847336
6,7	,	150165	,	79	,	688	,	99.79735
6,8	,	150917	,	79	,	752	,	99.20985
6,9	,	151732	,	79	,	815	,	99.225975
6,10	,	152484	,	79	,	752	,	98.91561
6,11	,	153284	,	78	,	800	,	98.58025
6,11	,	154020	,	78	,	736	,	99.16994
6,12	,	154724	,	79	,	704	,	99.49018
6,13	,	155539	,	79	,	815	,	100.34874
6,14	,	156307	,	79	,	768	,	100.020454
6,14	,	157027	,	79	,	720	,	99.21303
