Data recorded on Wed Jul 26 10-08-21 CAT 2017
Time: 10:8:41
Time		Millis		IR PPG		Red PPG		Filtered		SSF
8,50	,	41082	,	-25307	,	-22622	,	1.9645834	,	0
8,50	,	41114	,	-25307	,	-22611	,	0.6883931	,	0
8,50	,	41131	,	-25299	,	-22612	,	-0.48277807	,	0
8,50	,	41146	,	-25295	,	-22615	,	-1.3036783	,	0
8,50	,	41178	,	-25271	,	-22605	,	-1.4475805	,	0
8,50	,	41194	,	-25283	,	-22610	,	-0.602005	,	0
8,50	,	41210	,	-25272	,	-22598	,	1.2265465	,	0
8,50	,	41242	,	-25251	,	-22602	,	3.794412	,	1
8,50	,	41258	,	-25245	,	-22596	,	6.99418	,	3
8,50	,	41274	,	-25253	,	-22605	,	10.673291	,	6
8,50	,	41306	,	-25251	,	-22579	,	14.301017	,	9
8,50	,	41322	,	-25222	,	-22592	,	17.33412	,	12
8,50	,	41354	,	-25232	,	-22590	,	19.670898	,	15
8,50	,	41370	,	-25230	,	-22575	,	21.347904	,	17
8,50	,	41386	,	-25212	,	-22578	,	22.29102	,	18
8,50	,	41418	,	-25228	,	-22582	,	22.512743	,	18
8,50	,	41434	,	-25225	,	-22584	,	21.997498	,	17
8,50	,	41450	,	-25195	,	-22578	,	20.78217	,	15
8,50	,	41482	,	-25221	,	-22576	,	19.211666	,	12
8,50	,	41498	,	-25222	,	-22576	,	17.485497	,	9
8,50	,	41530	,	-25203	,	-22584	,	15.515833	,	6
8,50	,	41546	,	-25201	,	-22571	,	13.464772	,	3
8,50	,	41562	,	-25195	,	-22575	,	11.724933	,	1
8,50	,	41594	,	-25201	,	-22575	,	10.504807	,	0
8,50	,	41610	,	-25195	,	-22577	,	9.740347	,	0
8,50	,	41626	,	-25206	,	-22579	,	9.209896	,	0
8,50	,	41658	,	-25190	,	-22575	,	8.687742	,	0
8,50	,	41674	,	-25202	,	-22587	,	8.081432	,	0
8,50	,	41706	,	-25209	,	-22572	,	7.3184752	,	0
8,50	,	41722	,	-25212	,	-22583	,	6.1986427	,	0
8,50	,	41738	,	-25209	,	-22585	,	4.5965304	,	0
8,50	,	41770	,	-25197	,	-22589	,	2.7109983	,	0
8,50	,	41786	,	-25207	,	-22586	,	0.9576955	,	0
8,50	,	41802	,	-25235	,	-22577	,	-0.52673125	,	0
8,50	,	41834	,	-25226	,	-22587	,	-2.0840337	,	0
8,50	,	41850	,	-25229	,	-22585	,	-3.9834442	,	0
8,50	,	41866	,	-25215	,	-22578	,	-5.998319	,	0
8,50	,	41898	,	-25194	,	-22582	,	-7.4996495	,	0
8,50	,	41914	,	-25191	,	-22595	,	-7.7327585	,	0
8,50	,	41946	,	-25176	,	-22564	,	-6.229408	,	0
8,50	,	41962	,	-25187	,	-22566	,	-3.0831585	,	1
8,50	,	41978	,	-25160	,	-22562	,	1.1804664	,	4
8,50	,	42010	,	-25167	,	-22557	,	5.9707956	,	8
8,50	,	42026	,	-25155	,	-22565	,	10.771973	,	12
8,50	,	42042	,	-25149	,	-22554	,	15.125421	,	16
8,50	,	42074	,	-25154	,	-22560	,	18.678236	,	20
8,51	,	42090	,	-25159	,	-22560	,	21.083723	,	23
8,51	,	42122	,	-25149	,	-22562	,	22.047266	,	25
8,51	,	42138	,	-25141	,	-22561	,	21.634815	,	25
8,51	,	42154	,	-25129	,	-22571	,	20.336288	,	24
8,51	,	42186	,	-25128	,	-22549	,	18.776127	,	21
8,51	,	42202	,	-25151	,	-22558	,	17.261887	,	17
8,51	,	42218	,	-25127	,	-22550	,	15.673364	,	13
8,51	,	42250	,	-25158	,	-22568	,	13.816917	,	9
8,51	,	42266	,	-25167	,	-22557	,	11.44799	,	5
8,51	,	42282	,	-25136	,	-22549	,	8.393425	,	2
8,51	,	42314	,	-25143	,	-22560	,	5.072357	,	0
8,51	,	42330	,	-25134	,	-22564	,	2.236793	,	0
