Data recorded on Mon Jul 24 08-12-54 CAT 2017
Time: 8:12:57
Time		Millis		IR PPG		Red PPG		Filtered		SSF
13,6	,	227381	,	-25389	,	-25428	,	-1.9672992	,	1
13,6	,	227396	,	-25383	,	-25445	,	-0.028887749	,	2
13,6	,	227412	,	-25388	,	-25402	,	2.1106274	,	3
13,6	,	227445	,	-25389	,	-25433	,	4.179275	,	5
13,6	,	227460	,	-25380	,	-25433	,	5.879353	,	7
13,6	,	227493	,	-25396	,	-25434	,	7.02946	,	8
13,6	,	227509	,	-25397	,	-25432	,	7.4522457	,	9
13,6	,	227525	,	-25392	,	-25429	,	7.008555	,	9
13,6	,	227556	,	-25391	,	-25431	,	5.83902	,	9
13,6	,	227572	,	-25396	,	-25439	,	4.279939	,	8
13,6	,	227589	,	-25388	,	-25441	,	2.6378431	,	7
13,6	,	227620	,	-25388	,	-25433	,	1.1860385	,	6
13,6	,	227636	,	-25400	,	-25437	,	0.09189296	,	4
13,6	,	227669	,	-25399	,	-25423	,	-0.7268877	,	2
13,6	,	227685	,	-25404	,	-25428	,	-1.4657488	,	1
13,6	,	227701	,	-25393	,	-25439	,	-2.1882422	,	0
13,6	,	227732	,	-25384	,	-25437	,	-2.713324	,	0
13,6	,	227748	,	-25397	,	-25432	,	-2.7770321	,	0
13,6	,	227764	,	-25399	,	-25437	,	-2.398071	,	0
13,6	,	227796	,	-25399	,	-25432	,	-1.8744695	,	0
13,6	,	227812	,	-25401	,	-25441	,	-1.4590564	,	0
13,6	,	227828	,	-25399	,	-25437	,	-1.2426211	,	0
13,6	,	227860	,	-25406	,	-25438	,	-1.2306488	,	0
13,6	,	227876	,	-25412	,	-25447	,	-1.456219	,	0
13,6	,	227908	,	-25425	,	-25427	,	-2.060046	,	0
13,6	,	227924	,	-25416	,	-25445	,	-3.1691191	,	0
13,6	,	227940	,	-25436	,	-25445	,	-4.7343173	,	0
13,6	,	227972	,	-25420	,	-25447	,	-6.5666656	,	0
13,6	,	227989	,	-25418	,	-25439	,	-8.306797	,	0
13,6	,	228004	,	-25400	,	-25437	,	-9.384214	,	0
13,6	,	228037	,	-25401	,	-25433	,	-9.256931	,	0
13,6	,	228052	,	-25399	,	-25432	,	-7.7405596	,	0
13,6	,	228084	,	-25392	,	-25436	,	-5.0797853	,	1
13,6	,	228100	,	-25380	,	-25422	,	-1.663126	,	3
13,6	,	228116	,	-25384	,	-25439	,	2.1706314	,	6
13,6	,	228148	,	-25387	,	-25405	,	5.9894886	,	9
13,6	,	228164	,	-25376	,	-25431	,	9.287209	,	12
13,6	,	228180	,	-25374	,	-25430	,	11.775814	,	15
13,6	,	228212	,	-25382	,	-25422	,	13.385381	,	17
13,6	,	228228	,	-25386	,	-25426	,	14.009003	,	18
13,6	,	228244	,	-25389	,	-25435	,	13.516888	,	18
13,6	,	228276	,	-25379	,	-25424	,	11.991709	,	17
13,6	,	228292	,	-25384	,	-25435	,	9.801797	,	15
13,6	,	228324	,	-25374	,	-25430	,	7.427743	,	12
13,6	,	228340	,	-25371	,	-25424	,	5.313706	,	9
13,6	,	228356	,	-25372	,	-25442	,	3.7818637	,	6
13,7	,	228388	,	-25374	,	-25420	,	2.907991	,	3
13,7	,	228404	,	-25381	,	-25426	,	2.5085135	,	1
13,7	,	228420	,	-25376	,	-25420	,	2.2937572	,	0
13,7	,	228452	,	-25388	,	-25427	,	2.016642	,	0
13,7	,	228468	,	-25391	,	-25432	,	1.4686278	,	0
13,7	,	228500	,	-25389	,	-25426	,	0.5171957	,	0
13,7	,	228516	,	-25387	,	-25429	,	-0.7434623	,	0
13,7	,	228532	,	-25388	,	-25425	,	-2.0369086	,	0
13,7	,	228564	,	-25391	,	-25428	,	-3.1213279	,	0
13,7	,	228580	,	-25402	,	-25427	,	-3.951637	,	0
13,7	,	228596	,	-25398	,	-25432	,	-4.6541624	,	0
13,7	,	228628	,	-25417	,	-25426	,	-5.3946934	,	0
13,7	,	228644	,	-25411	,	-25423	,	-6.33018	,	0
13,7	,	228660	,	-25410	,	-25425	,	-7.472543	,	0
13,7	,	228692	,	-25415	,	-25435	,	-8.604374	,	0
13,7	,	228708	,	-25419	,	-25439	,	-9.510849	,	0
13,7	,	228740	,	-25412	,	-25431	,	-10.08753	,	0
13,7	,	228756	,	-25418	,	-25437	,	-10.237524	,	0
13,7	,	228772	,	-25424	,	-25438	,	-9.953446	,	0
13,7	,	228804	,	-25409	,	-25447	,	-9.33425	,	0
13,7	,	228820	,	-25398	,	-25440	,	-8.309896	,	0
13,7	,	228836	,	-25389	,	-25425	,	-6.5877185	,	1
13,7	,	228868	,	-25386	,	-25444	,	-3.9687524	,	2
13,7	,	228884	,	-25388	,	-25430	,	-0.5970452	,	4
13,7	,	228916	,	-25387	,	-25415	,	3.0627766	,	7
13,7	,	228932	,	-25376	,	-25429	,	6.497437	,	10
13,7	,	228948	,	-25379	,	-25433	,	9.390425	,	13
13,7	,	228980	,	-25382	,	-25435	,	11.547595	,	15
13,7	,	228996	,	-25380	,	-25423	,	12.78595	,	17
13,7	,	229012	,	-25388	,	-25421	,	12.999504	,	18
13,7	,	229044	,	-25379	,	-25416	,	12.22478	,	17
13,7	,	229060	,	-25379	,	-25421	,	10.695909	,	16
13,7	,	229076	,	-25382	,	-25426	,	8.773327	,	14
13,7	,	229108	,	-25376	,	-25438	,	6.770334	,	11
13,7	,	229124	,	-25372	,	-25407	,	4.95765	,	8
13,7	,	229156	,	-25382	,	-25413	,	3.5390444	,	5
