Data recorded on Sun Jul 23 11-48-10 CAT 2017
Time: 11:48:12
Time		Millis		bpm		Period		SpO2
48,21	,	48227	,	69	,	943	,	101.25986
48,21	,	49123	,	69	,	896	,	101.15924
48,22	,	50018	,	68	,	895	,	101.145546
48,23	,	50945	,	68	,	927	,	101.15528
48,24	,	51825	,	67	,	880	,	101.30674
48,25	,	52720	,	67	,	895	,	101.4052
48,26	,	53664	,	66	,	944	,	101.474075
48,27	,	54543	,	66	,	879	,	101.35704
48,27	,	55406	,	66	,	863	,	101.30512
48,28	,	56286	,	66	,	880	,	101.029
48,29	,	57101	,	67	,	815	,	100.66443
48,30	,	57869	,	68	,	768	,	100.76755
48,31	,	58652	,	69	,	783	,	100.616455
48,31	,	59435	,	70	,	783	,	100.4019
48,32	,	60251	,	71	,	816	,	100.19893
48,33	,	61130	,	71	,	879	,	100.33254
48,34	,	62026	,	71	,	896	,	100.34563
48,35	,	62921	,	71	,	895	,	100.65207
48,36	,	63801	,	71	,	880	,	100.87659
48,37	,	64680	,	71	,	879	,	101.221405
48,38	,	65575	,	70	,	895	,	101.57242
48,38	,	66454	,	69	,	879	,	101.50838
48,39	,	67286	,	69	,	832	,	101.65731
48,40	,	68117	,	69	,	831	,	101.896454
48,41	,	68965	,	68	,	848	,	101.9942
48,42	,	69796	,	69	,	831	,	101.88754
48,43	,	70564	,	70	,	768	,	101.8672
48,43	,	71379	,	71	,	815	,	101.743126
48,44	,	72290	,	70	,	911	,	101.47955
48,45	,	73233	,	70	,	943	,	101.555504
48,46	,	74113	,	70	,	880	,	101.52656
48,47	,	74993	,	70	,	880	,	101.47069
48,48	,	75936	,	69	,	943	,	101.49307
48,49	,	76895	,	68	,	959	,	101.58432
48,50	,	77822	,	67	,	927	,	101.57865
48,51	,	78622	,	68	,	800	,	101.57945
48,52	,	79501	,	67	,	879	,	101.47351
48,52	,	80397	,	66	,	896	,	101.479034
48,53	,	81292	,	66	,	895	,	101.532616
48,54	,	82172	,	67	,	880	,	101.462
48,55	,	83115	,	66	,	943	,	101.56404
48,56	,	84074	,	66	,	959	,	101.54802
48,57	,	84954	,	66	,	880	,	101.53543
48,58	,	85880	,	66	,	926	,	101.55268
48,59	,	86776	,	67	,	896	,	101.57695
49,0	,	87655	,	66	,	879	,	101.546265
49,0	,	88391	,	67	,	736	,	101.868195
49,1	,	89094	,	69	,	703	,	101.82638
49,2	,	89814	,	70	,	720	,	102.02797
49,3	,	90566	,	71	,	752	,	102.224396
49,3	,	91301	,	73	,	735	,	102.31141
49,4	,	92004	,	75	,	703	,	102.44907
49,5	,	92756	,	76	,	752	,	102.44927
49,6	,	93555	,	78	,	799	,	102.40001
49,6	,	94419	,	78	,	864	,	102.35216
49,7	,	95218	,	79	,	799	,	102.37554
49,8	,	95985	,	79	,	767	,	102.21249
49,9	,	96785	,	78	,	800	,	102.30025
49,10	,	97552	,	77	,	767	,	102.19199
49,10	,	98320	,	77	,	768	,	102.092514
49,11	,	99055	,	77	,	735	,	101.956085
49,12	,	99775	,	77	,	720	,	101.87072
49,13	,	100574	,	76	,	799	,	101.78875
49,13	,	101374	,	76	,	800	,	101.74131
49,14	,	102173	,	77	,	799	,	101.83647
49,15	,	102957	,	77	,	784	,	101.807495
49,16	,	103788	,	76	,	831	,	101.635574
49,17	,	104635	,	76	,	847	,	101.69846
49,17	,	105451	,	76	,	815	,	101.877495
49,18	,	106234	,	75	,	783	,	101.84416
49,19	,	107034	,	75	,	800	,	101.91526
49,20	,	107865	,	74	,	831	,	102.058556
