Data recorded on Sun Jul 23 11-48-10 CAT 2017
Time: 11:48:12
Time		Millis		IR PPG		Red PPG		Filtered		SSF
48,21	,	48499	,	-20435	,	-18355	,	-5.5380173	,	1
48,21	,	48515	,	-20447	,	-18379	,	-4.7027454	,	2
48,21	,	48531	,	-20454	,	-18377	,	-4.600906	,	2
48,21	,	48563	,	-20453	,	-18376	,	-5.35415	,	2
48,21	,	48579	,	-20462	,	-18379	,	-6.8181367	,	2
48,21	,	48595	,	-20462	,	-18393	,	-8.688964	,	2
48,21	,	48627	,	-20471	,	-18382	,	-10.65601	,	2
48,21	,	48643	,	-20477	,	-18378	,	-12.496223	,	2
48,21	,	48675	,	-20483	,	-18384	,	-14.119877	,	2
48,21	,	48691	,	-20488	,	-18390	,	-15.510078	,	1
48,21	,	48707	,	-20498	,	-18397	,	-16.672157	,	0
48,21	,	48739	,	-20495	,	-18393	,	-17.605255	,	0
48,21	,	48755	,	-20513	,	-18409	,	-18.296179	,	0
48,21	,	48771	,	-20527	,	-18405	,	-18.870832	,	0
48,21	,	48803	,	-20522	,	-18402	,	-19.558094	,	0
48,21	,	48819	,	-20516	,	-18415	,	-20.304436	,	0
48,21	,	48835	,	-20534	,	-18412	,	-20.774784	,	0
48,21	,	48867	,	-20528	,	-18412	,	-20.77168	,	0
48,21	,	48883	,	-20527	,	-18400	,	-20.254196	,	0
48,21	,	48915	,	-20493	,	-18389	,	-18.986015	,	0
48,21	,	48931	,	-20455	,	-18378	,	-16.29494	,	1
48,21	,	48947	,	-20434	,	-18374	,	-11.285547	,	3
48,21	,	48979	,	-20420	,	-18354	,	-3.5355263	,	8
48,21	,	48995	,	-20403	,	-18346	,	6.489427	,	15
48,21	,	49011	,	-20405	,	-18363	,	17.636837	,	25
48,21	,	49043	,	-20404	,	-18351	,	28.39263	,	36
48,21	,	49058	,	-20401	,	-18352	,	37.25661	,	46
48,21	,	49091	,	-20410	,	-18354	,	43.133514	,	54
48,21	,	49107	,	-20410	,	-18357	,	45.46268	,	59
48,21	,	49123	,	-20408	,	-18358	,	44.255737	,	60
48,21	,	49155	,	-20429	,	-18364	,	40.004494	,	58
48,21	,	49171	,	-20429	,	-18368	,	33.36351	,	53
48,21	,	49187	,	-20431	,	-18376	,	25.0936	,	46
48,21	,	49218	,	-20423	,	-18349	,	16.20134	,	36
48,21	,	49235	,	-20410	,	-18353	,	7.866167	,	25
48,21	,	49266	,	-20417	,	-18360	,	1.1424599	,	15
48,21	,	49283	,	-20414	,	-18356	,	-3.4246988	,	7
48,21	,	49299	,	-20426	,	-18356	,	-5.9190054	,	2
48,21	,	49330	,	-20416	,	-18363	,	-6.8013988	,	0
48,21	,	49347	,	-20422	,	-18360	,	-6.5781717	,	0
48,21	,	49363	,	-20428	,	-18361	,	-5.704238	,	0
48,21	,	49395	,	-20425	,	-18368	,	-4.618799	,	0
48,21	,	49411	,	-20444	,	-18369	,	-3.7077932	,	1
48,21	,	49427	,	-20428	,	-18377	,	-3.2499404	,	1
48,21	,	49458	,	-20436	,	-18365	,	-3.278206	,	1
48,21	,	49474	,	-20460	,	-18372	,	-3.720656	,	1
48,22	,	49507	,	-20465	,	-18373	,	-4.7516527	,	1
48,22	,	49523	,	-20468	,	-18380	,	-6.579417	,	1
48,22	,	49539	,	-20481	,	-18375	,	-9.108427	,	1
48,22	,	49570	,	-20476	,	-18383	,	-12.023282	,	1
