Data recorded on Sun Jul 23 11-48-10 CAT 2017
Time: 11:48:12
Time		Millis		objTemp		dieTemp		sensorVoltage
48,21	,	46063	,	34.77	,	31.87	,	-9.0
48,22	,	50076	,	34.84	,	31.94	,	-9.0
48,26	,	54089	,	34.91	,	31.97	,	-6.0
48,30	,	58102	,	34.96	,	32.03	,	-7.0
48,34	,	62116	,	34.96	,	32.06	,	-9.0
48,38	,	66129	,	35.04	,	32.09	,	-6.0
48,42	,	70142	,	35.1	,	32.13	,	-4.0
48,46	,	74155	,	35.11	,	32.16	,	-5.0
48,50	,	78168	,	35.11	,	32.19	,	-4.0
48,54	,	82182	,	35.16	,	32.22	,	-2.0
48,58	,	86210	,	35.29	,	32.25	,	1.0
49,2	,	90224	,	35.34	,	32.28	,	2.0
49,6	,	94237	,	35.36	,	32.31	,	1.0
49,10	,	98250	,	35.4	,	32.34	,	2.0
49,14	,	102263	,	35.45	,	32.38	,	3.0
49,18	,	106276	,	35.49	,	32.41	,	4.0
