Tdie		Vsensor		Tobj
31.19	,	58.00	,	35.02
31.34	,	58.00	,	35.18
31.50	,	60.00	,	35.36
31.66	,	56.00	,	35.46
31.78	,	63.00	,	35.69
31.91	,	60.00	,	35.77
32.00	,	58.00	,	35.84
32.09	,	57.00	,	35.92
32.19	,	56.00	,	36.00
32.28	,	56.00	,	36.09
32.38	,	54.00	,	36.16
32.47	,	53.00	,	36.24
32.53	,	55.00	,	36.33
32.59	,	57.00	,	36.42
32.66	,	54.00	,	36.44
32.72	,	55.00	,	36.52
32.78	,	56.00	,	36.59
32.84	,	56.00	,	36.65
32.88	,	56.00	,	36.69
32.94	,	55.00	,	36.73
32.97	,	53.00	,	36.74
33.03	,	52.00	,	36.79
33.06	,	54.00	,	36.85
33.09	,	54.00	,	36.88
33.13	,	52.00	,	36.88
33.16	,	52.00	,	36.91
33.22	,	53.00	,	36.99
33.25	,	53.00	,	37.02
33.28	,	53.00	,	37.05
33.31	,	53.00	,	37.08
33.31	,	50.00	,	37.04
33.34	,	52.00	,	37.10
33.38	,	53.00	,	37.15
33.41	,	56.00	,	37.22
33.44	,	53.00	,	37.21
33.47	,	55.00	,	37.27
33.47	,	55.00	,	37.27
33.50	,	54.00	,	37.28
33.53	,	54.00	,	37.32
33.56	,	54.00	,	37.35
33.56	,	53.00	,	37.33
33.59	,	54.00	,	37.38
33.59	,	53.00	,	37.36
33.63	,	54.00	,	37.41
33.66	,	53.00	,	37.43
33.66	,	52.00	,	37.41
33.69	,	51.00	,	37.43
33.69	,	53.00	,	37.46
33.72	,	53.00	,	37.49
33.72	,	52.00	,	37.48
33.75	,	52.00	,	37.51
33.78	,	53.00	,	37.55
33.78	,	52.00	,	37.54
33.78	,	52.00	,	37.54
33.81	,	51.00	,	37.56
33.81	,	51.00	,	37.56
33.84	,	53.00	,	37.62
33.84	,	53.00	,	37.62
33.88	,	52.00	,	37.63
33.88	,	52.00	,	37.63
33.88	,	55.00	,	37.67
33.88	,	52.00	,	37.63
33.91	,	53.00	,	37.68
33.91	,	55.00	,	37.71
33.91	,	57.00	,	37.73
33.94	,	54.00	,	37.72
33.94	,	53.00	,	37.71
33.94	,	52.00	,	37.70
33.94	,	51.00	,	37.68
33.97	,	51.00	,	37.71
33.97	,	50.00	,	37.70
34.00	,	49.00	,	37.72
34.00	,	50.00	,	37.73
34.00	,	48.00	,	37.70
34.00	,	50.00	,	37.73
34.03	,	49.00	,	37.75
34.03	,	48.00	,	37.73
34.06	,	48.00	,	37.77
34.06	,	49.00	,	37.78
34.06	,	49.00	,	37.78
34.09	,	49.00	,	37.81
34.09	,	49.00	,	37.81
34.09	,	48.00	,	37.80
34.09	,	48.00	,	37.80
34.13	,	48.00	,	37.83
34.13	,	48.00	,	37.83
34.13	,	46.00	,	37.80
34.13	,	48.00	,	37.83
34.16	,	45.00	,	37.82
34.16	,	44.00	,	37.81
34.19	,	46.00	,	37.86
34.19	,	45.00	,	37.85
34.19	,	43.00	,	37.82
34.19	,	42.00	,	37.81
34.22	,	45.00	,	37.88
34.22	,	46.00	,	37.90
34.22	,	44.00	,	37.87
34.22	,	45.00	,	37.88
34.22	,	46.00	,	37.90
34.25	,	45.00	,	37.91
34.25	,	43.00	,	37.89
34.25	,	43.00	,	37.89
34.25	,	46.00	,	37.93
34.25	,	41.00	,	37.86
34.28	,	43.00	,	37.92
34.28	,	44.00	,	37.93
34.28	,	41.00	,	37.89
34.28	,	41.00	,	37.89
34.28	,	42.00	,	37.90
34.31	,	42.00	,	37.93
34.31	,	41.00	,	37.92
34.31	,	42.00	,	37.93
34.31	,	42.00	,	37.93
34.31	,	41.00	,	37.92
34.34	,	41.00	,	37.95
34.34	,	43.00	,	37.98
34.34	,	42.00	,	37.97
34.34	,	42.00	,	37.97
34.38	,	41.00	,	37.98
34.38	,	42.00	,	38.00
34.38	,	41.00	,	37.98
34.38	,	40.00	,	37.97
34.38	,	41.00	,	37.98
34.38	,	40.00	,	37.97
34.38	,	42.00	,	38.00
34.41	,	43.00	,	38.04
34.41	,	42.00	,	38.03
34.41	,	42.00	,	38.03
34.41	,	41.00	,	38.02
34.41	,	42.00	,	38.03
34.41	,	42.00	,	38.03
34.41	,	42.00	,	38.03
34.41	,	42.00	,	38.03
34.41	,	42.00	,	38.03
34.41	,	43.00	,	38.04
34.41	,	43.00	,	38.04
34.41	,	43.00	,	38.04
34.41	,	41.00	,	38.02
34.41	,	42.00	,	38.03
34.41	,	41.00	,	38.02
34.44	,	42.00	,	38.06
34.44	,	42.00	,	38.06
34.44	,	42.00	,	38.06
34.44	,	42.00	,	38.06
34.44	,	40.00	,	38.03
34.44	,	40.00	,	38.03
34.44	,	39.00	,	38.02
34.44	,	41.00	,	38.05
34.44	,	42.00	,	38.06
34.44	,	41.00	,	38.05
34.44	,	44.00	,	38.09
34.44	,	42.00	,	38.06
34.44	,	39.00	,	38.02
34.44	,	39.00	,	38.02
34.44	,	39.00	,	38.02
34.44	,	42.00	,	38.06
34.47	,	41.00	,	38.08
34.47	,	41.00	,	38.08
34.47	,	43.00	,	38.11
34.47	,	40.00	,	38.06
34.44	,	39.00	,	38.02
34.47	,	37.00	,	38.02
34.47	,	37.00	,	38.02
34.47	,	39.00	,	38.05
34.47	,	40.00	,	38.06
34.47	,	40.00	,	38.06
34.47	,	40.00	,	38.06
34.47	,	38.00	,	38.04
34.47	,	40.00	,	38.06
34.47	,	39.00	,	38.05
34.47	,	40.00	,	38.06
34.47	,	38.00	,	38.04
34.47	,	40.00	,	38.06
34.50	,	41.00	,	38.11
34.50	,	40.00	,	38.10
34.50	,	40.00	,	38.10
34.50	,	38.00	,	38.07
34.50	,	38.00	,	38.07
34.50	,	40.00	,	38.10
34.50	,	38.00	,	38.07
34.50	,	37.00	,	38.05
34.50	,	37.00	,	38.05
34.50	,	39.00	,	38.08
34.50	,	39.00	,	38.08
34.53	,	37.00	,	38.09
34.53	,	38.00	,	38.10
34.53	,	38.00	,	38.10
34.53	,	36.00	,	38.07
34.53	,	36.00	,	38.07
34.53	,	35.00	,	38.06
34.53	,	36.00	,	38.07
34.53	,	36.00	,	38.07
34.53	,	34.00	,	38.05
34.53	,	34.00	,	38.05
34.53	,	34.00	,	38.05
34.53	,	37.00	,	38.09
34.56	,	36.00	,	38.10
34.56	,	33.00	,	38.06
34.56	,	35.00	,	38.09
34.56	,	35.00	,	38.09
34.56	,	38.00	,	38.13
34.56	,	37.00	,	38.12
34.56	,	36.00	,	38.10
34.56	,	34.00	,	38.08
34.56	,	35.00	,	38.09
34.56	,	33.00	,	38.06
34.56	,	32.00	,	38.05
34.56	,	33.00	,	38.06
34.56	,	32.00	,	38.05
34.59	,	34.00	,	38.11
34.59	,	34.00	,	38.11
34.59	,	39.00	,	38.18
34.59	,	39.00	,	38.18
34.59	,	37.00	,	38.15
34.56	,	37.00	,	38.12
34.59	,	35.00	,	38.12
34.59	,	35.00	,	38.12
34.59	,	35.00	,	38.12
34.59	,	37.00	,	38.15
34.59	,	36.00	,	38.14
34.59	,	36.00	,	38.14
34.59	,	36.00	,	38.14
34.59	,	36.00	,	38.14
34.59	,	35.00	,	38.12
34.59	,	35.00	,	38.12
34.59	,	34.00	,	38.11
34.59	,	35.00	,	38.12
34.59	,	36.00	,	38.14
34.59	,	36.00	,	38.14
34.59	,	35.00	,	38.12
34.59	,	34.00	,	38.11
34.63	,	32.00	,	38.11
34.63	,	31.00	,	38.10
34.63	,	33.00	,	38.13
