Time		Height
1323.500583	,	8.324372
2397.012835	,	7.489315
3423.850642	,	7.483261
4466.246597	,	8.469539
5586.433294	,	6.824479
6621.050175	,	8.008091
7702.341501	,	7.218700
8806.970051	,	7.726308
9864.924154	,	8.113918
11000.669000	,	7.043191
12043.064955	,	7.603469
13147.693504	,	7.450077
14267.880202	,	7.816018
15349.171529	,	8.971627
16516.032672	,	7.346565
17558.428627	,	7.699843
18639.719953	,	7.838452
19736.569428	,	6.512394
20771.186309	,	8.000005
21922.489304	,	7.178611
23066.013224	,	6.644550
24139.525476	,	6.844493
25298.607546	,	6.177765
26418.794243	,	6.157705
27437.852975	,	6.796984
28542.481525	,	6.596592
29662.668222	,	5.680533
30689.506029	,	6.784478
31770.797355	,	6.423087
32929.879424	,	6.490359
33956.717231	,	7.325304
35061.345780	,	7.663912
36235.985998	,	7.688517
37309.498250	,	6.716459
38468.580319	,	6.301731
39627.662388	,	5.712003
40708.953715	,	6.504612
41875.814858	,	7.611550
43058.234150	,	5.875821
44108.409179	,	6.243765
45197.479580	,	6.668040
46395.457021	,	6.310643
47453.411124	,	6.801254
48550.260599	,	7.025195
49849.366005	,	6.201460
50992.889926	,	6.238399
52151.971995	,	6.796671
53396.623882	,	5.362271
54516.810580	,	5.002211
55644.776352	,	5.187818
56897.207312	,	6.436085
58025.173084	,	4.843692
59199.813302	,	4.843296
60584.488526	,	6.273889
61790.245041	,	5.154158
62887.094516	,	3.837100
63921.711396	,	5.043712
65127.467911	,	5.829981
66200.980163	,	5.041924
67212.259821	,	6.091537
68270.213925	,	5.688147
69398.179697	,	6.244754
70417.238429	,	5.836033
71381.843641	,	6.199648
72439.797744	,	7.248259
73536.647219	,	7.421200
74540.147802	,	5.856147
75442.520420	,	6.511433
76430.462855	,	7.596047
77457.300661	,	7.459992
78398.568650	,	6.473609
79269.824971	,	6.192229
80249.988331	,	7.391177
81385.733178	,	7.746450
82420.350058	,	5.570062
83423.850642	,	6.073008
84466.246597	,	6.893286
85423.072734	,	6.098235
86270.991832	,	5.999857
87126.690004	,	6.164145
88075.737067	,	7.152428
89157.028394	,	7.276037
90137.191754	,	6.476985
91094.017892	,	5.110934
92097.518475	,	6.123881
93155.472579	,	7.314491
94151.194088	,	5.099771
95061.345780	,	6.092723
96018.171918	,	6.805672
97099.463244	,	7.231281
98172.975496	,	6.698224
99122.022559	,	5.451507
100172.197588	,	7.206451
101276.826138	,	7.596059
102311.443018	,	6.970671
103291.606379	,	6.582619
104357.339557	,	6.020896
105493.084403	,	5.056169
106496.584986	,	4.419115
107468.969273	,	4.429397
108573.597822	,	4.620005
109662.668222	,	4.937280
110642.831583	,	3.872228
111638.553092	,	4.725509
112774.297939	,	5.376782
113894.484636	,	5.362722
114921.322443	,	4.936667
115987.055620	,	5.889944
117200.591210	,	6.435880
118289.661610	,	6.161155
119277.604045	,	6.195769
