Data recorded on Fri Jun 23 15:45:05 CAT 2017
Time: 15:45:11
Time		Millis		bpm		Period		SpO2
45,15	,	54499	,	54	,	960	,	101.224594
45,16	,	55635	,	54	,	1136	,	101.40424
45,17	,	56754	,	54	,	1119	,	102.214645
45,18	,	57842	,	54	,	1088	,	102.2588
45,19	,	58993	,	54	,	1151	,	102.428894
45,20	,	60145	,	54	,	1152	,	102.916534
45,21	,	61184	,	55	,	1039	,	103.11433
45,22	,	62319	,	54	,	1135	,	102.99735
45,23	,	63471	,	54	,	1152	,	102.96694
45,24	,	64511	,	54	,	1040	,	103.27821
45,26	,	65598	,	54	,	1087	,	103.26706
45,27	,	66686	,	54	,	1088	,	103.12362
45,28	,	67725	,	54	,	1039	,	103.1073
45,29	,	68845	,	54	,	1120	,	102.93165
45,30	,	69884	,	55	,	1039	,	102.67572
45,31	,	70940	,	55	,	1056	,	103.10718
45,32	,	72076	,	55	,	1136	,	103.12303
45,33	,	73179	,	55	,	1103	,	103.09654
45,34	,	74187	,	56	,	1008	,	103.05554
45,35	,	75323	,	55	,	1136	,	103.26255
45,36	,	76410	,	55	,	1087	,	103.51116
45,37	,	77450	,	55	,	1040	,	103.58816
45,38	,	78489	,	55	,	1039	,	103.82577
45,40	,	79721	,	55	,	1232	,	104.34434
45,41	,	80840	,	54	,	1119	,	104.79167
45,42	,	81976	,	54	,	1136	,	104.406364
45,43	,	83159	,	54	,	1183	,	104.60909
45,44	,	84231	,	54	,	1072	,	104.7726
45,45	,	85367	,	53	,	1136	,	104.77692
45,46	,	86534	,	53	,	1167	,	104.631485
45,48	,	87589	,	53	,	1055	,	104.71534
45,49	,	88677	,	53	,	1088	,	104.57556
45,50	,	89845	,	52	,	1168	,	104.17764
45,51	,	90884	,	53	,	1039	,	103.80153
45,52	,	91988	,	53	,	1104	,	103.65825
45,53	,	93171	,	53	,	1183	,	103.65822
45,54	,	94227	,	54	,	1056	,	103.28457
45,55	,	95314	,	54	,	1087	,	103.34449
45,56	,	96450	,	54	,	1136	,	103.19827
45,57	,	97522	,	54	,	1072	,	103.15144
45,59	,	98625	,	54	,	1103	,	102.98014
46,0	,	99809	,	53	,	1184	,	103.00563
46,1	,	100977	,	53	,	1168	,	103.27133
46,2	,	102128	,	53	,	1151	,	103.97458
46,3	,	103311	,	53	,	1183	,	103.844315
46,4	,	104415	,	53	,	1104	,	103.97838
46,5	,	105487	,	53	,	1072	,	104.3543
46,7	,	106590	,	53	,	1103	,	104.08544
46,8	,	107710	,	53	,	1120	,	103.866135
46,9	,	108733	,	53	,	1023	,	103.94593
46,10	,	109901	,	53	,	1168	,	103.97189
46,11	,	111037	,	53	,	1136	,	103.90698
46,12	,	112092	,	54	,	1055	,	103.78199
46,13	,	113228	,	54	,	1136	,	103.33367
46,14	,	114363	,	54	,	1135	,	103.59359
