Data recorded on Fri Jun 23 15:45:05 CAT 2017
Time: 15:45:11
Time		Millis		IR PPG		Red PPG		Filtered		SSF
45,15	,	54563	,	-34377	,	-31090	,	11.569387	,	15
45,15	,	54579	,	-34373	,	-31101	,	11.052207	,	12
45,15	,	54611	,	-34370	,	-31112	,	10.357485	,	9
45,15	,	54627	,	-34363	,	-31107	,	9.492723	,	6
45,15	,	54643	,	-34374	,	-31106	,	8.577038	,	3
45,15	,	54675	,	-34368	,	-31100	,	7.629383	,	1
45,15	,	54691	,	-34367	,	-31103	,	6.6148076	,	0
45,15	,	54723	,	-34366	,	-31108	,	5.5861564	,	0
45,15	,	54739	,	-34374	,	-31107	,	4.600202	,	0
45,15	,	54755	,	-34367	,	-31115	,	3.6373034	,	0
45,15	,	54787	,	-34376	,	-31140	,	2.6774976	,	0
45,15	,	54803	,	-34383	,	-31090	,	1.6706526	,	0
45,15	,	54819	,	-34378	,	-31116	,	0.51662767	,	0
45,15	,	54851	,	-34373	,	-31120	,	-0.73739815	,	0
45,15	,	54867	,	-34379	,	-31109	,	-1.8705577	,	0
45,15	,	54883	,	-34382	,	-31119	,	-2.7388387	,	0
45,15	,	54915	,	-34369	,	-31104	,	-3.3032367	,	0
45,15	,	54931	,	-34380	,	-31112	,	-3.4935985	,	0
45,15	,	54962	,	-34390	,	-31112	,	-3.3709388	,	0
45,15	,	54979	,	-34376	,	-31120	,	-3.1811988	,	0
45,15	,	54995	,	-34381	,	-31112	,	-3.0260506	,	0
45,15	,	55027	,	-34380	,	-31137	,	-2.8195689	,	0
45,15	,	55043	,	-34376	,	-31094	,	-2.4998121	,	0
45,15	,	55059	,	-34383	,	-31106	,	-2.070736	,	0
45,15	,	55091	,	-34402	,	-31107	,	-1.7089974	,	0
45,15	,	55107	,	-34391	,	-31116	,	-1.7556363	,	0
45,15	,	55138	,	-34393	,	-31115	,	-2.3334	,	0
45,15	,	55155	,	-34396	,	-31116	,	-3.230207	,	0
45,15	,	55170	,	-34398	,	-31113	,	-4.1973686	,	0
45,15	,	55202	,	-34406	,	-31117	,	-5.1168947	,	0
45,15	,	55218	,	-34396	,	-31119	,	-5.9353714	,	0
45,15	,	55234	,	-34396	,	-31113	,	-6.5195923	,	0
45,15	,	55267	,	-34417	,	-31137	,	-6.78039	,	0
45,15	,	55283	,	-34414	,	-31097	,	-6.919077	,	0
45,15	,	55299	,	-34410	,	-31118	,	-7.1703625	,	0
45,15	,	55330	,	-34418	,	-31113	,	-7.500821	,	0
45,15	,	55346	,	-34411	,	-31105	,	-7.762476	,	0
45,15	,	55378	,	-34424	,	-31115	,	-7.869586	,	0
45,15	,	55394	,	-34406	,	-31101	,	-7.7814765	,	0
45,15	,	55411	,	-34387	,	-31105	,	-7.273627	,	0
45,15	,	55443	,	-34375	,	-31109	,	-5.8356285	,	0
45,15	,	55459	,	-34360	,	-31100	,	-3.0208147	,	1
45,15	,	55475	,	-34366	,	-31108	,	1.1679235	,	3
45,15	,	55506	,	-34368	,	-31134	,	6.1507792	,	7
45,15	,	55523	,	-34345	,	-31094	,	11.100578	,	11
45,15	,	55554	,	-34338	,	-31090	,	15.52822	,	15
45,16	,	55570	,	-34359	,	-31089	,	19.2056	,	19
45,16	,	55586	,	-34343	,	-31089	,	21.755556	,	22
45,16	,	55619	,	-34333	,	-31086	,	22.936226	,	24
45,16	,	55635	,	-34335	,	-31087	,	22.949425	,	25
45,16	,	55650	,	-34334	,	-31093	,	22.114237	,	24
45,16	,	55683	,	-34317	,	-31085	,	20.698608	,	22
45,16	,	55699	,	-34325	,	-31085	,	19.033306	,	18
45,16	,	55714	,	-34311	,	-31083	,	17.410404	,	14
45,16	,	55746	,	-34313	,	-31106	,	16.006607	,	10
45,16	,	55762	,	-34313	,	-31078	,	14.884529	,	6
45,16	,	55794	,	-34311	,	-31068	,	13.946565	,	3
45,16	,	55811	,	-34293	,	-31077	,	13.116372	,	1
45,16	,	55826	,	-34292	,	-31077	,	12.536825	,	0
45,16	,	55858	,	-34306	,	-31077	,	12.303489	,	0
45,16	,	55874	,	-34304	,	-31076	,	12.145994	,	0
45,16	,	55890	,	-34300	,	-31078	,	11.677348	,	0
45,16	,	55922	,	-34306	,	-31077	,	10.746502	,	0
45,16	,	55938	,	-34289	,	-31078	,	9.459177	,	0
45,16	,	55970	,	-34301	,	-31078	,	8.07774	,	0
45,16	,	55986	,	-34300	,	-31104	,	6.784811	,	0
45,16	,	56002	,	-34298	,	-31064	,	5.570993	,	0
45,16	,	56034	,	-34287	,	-31074	,	4.4683533	,	0
45,16	,	56050	,	-34302	,	-31076	,	3.603776	,	0
45,16	,	56066	,	-34286	,	-31068	,	3.0129368	,	0
45,16	,	56098	,	-34302	,	-31068	,	2.637767	,	0
45,16	,	56114	,	-34301	,	-31074	,	2.3401656	,	0
