Data recorded on Mon Jun 26 15:25:38 CAT 2017
Time: 15:25:46
Time		Millis		objTemp		dieTemp		sensorVoltage
25,50	,	37816	,	38.04	,	33.78	,	89.0
25,51	,	41846	,	38.02	,	33.78	,	87.0
25,55	,	45860	,	38.05	,	33.81	,	87.0
25,59	,	49858	,	38.05	,	33.81	,	87.0
26,3	,	53888	,	38.07	,	33.84	,	86.0
26,7	,	57903	,	38.05	,	33.84	,	85.0
26,11	,	61917	,	38.07	,	33.88	,	84.0
26,15	,	65931	,	38.11	,	33.91	,	85.0
26,19	,	69945	,	38.09	,	33.91	,	83.0
26,23	,	73960	,	38.09	,	33.91	,	83.0
26,27	,	77974	,	38.1	,	33.94	,	82.0
26,31	,	81988	,	38.1	,	33.94	,	82.0
26,35	,	86003	,	38.14	,	33.97	,	82.0
26,39	,	90017	,	38.11	,	33.97	,	80.0
26,43	,	94032	,	38.11	,	33.97	,	80.0
26,47	,	98046	,	38.13	,	34.0	,	79.0
