Data recorded on Tue Jun 27 18-42-54 CAT 2017
Time: 18:43:5
Time		Millis		IR PPG		Red PPG		Filtered		SSF
43,14	,	84461	,	-25956	,	-23753	,	-1.8825291	,	0
43,14	,	84477	,	-25961	,	-23755	,	-2.4179149	,	0
43,14	,	84509	,	-25953	,	-23776	,	-3.353154	,	0
43,14	,	84525	,	-25966	,	-23756	,	-4.4950943	,	0
43,14	,	84541	,	-25960	,	-23755	,	-5.6342416	,	0
43,14	,	84573	,	-25971	,	-23753	,	-6.6487045	,	0
43,14	,	84589	,	-25982	,	-23770	,	-7.5565205	,	0
43,14	,	84605	,	-25992	,	-23772	,	-8.565156	,	0
43,14	,	84637	,	-25994	,	-23777	,	-9.896574	,	0
43,14	,	84653	,	-25986	,	-23776	,	-11.498058	,	0
43,14	,	84685	,	-25991	,	-23782	,	-12.997299	,	0
43,14	,	84701	,	-26004	,	-23784	,	-14.0528965	,	0
43,14	,	84717	,	-26002	,	-23782	,	-14.639404	,	0
43,14	,	84749	,	-25981	,	-23775	,	-14.7492485	,	0
43,14	,	84765	,	-25981	,	-23752	,	-14.075006	,	0
43,14	,	84781	,	-25963	,	-23769	,	-12.243219	,	0
43,14	,	84813	,	-25948	,	-23762	,	-9.046299	,	1
43,14	,	84829	,	-25938	,	-23757	,	-4.4448104	,	4
43,14	,	84861	,	-25950	,	-23745	,	1.232552	,	8
43,14	,	84877	,	-25938	,	-23745	,	7.1892486	,	13
43,14	,	84893	,	-25943	,	-23735	,	12.536869	,	18
43,14	,	84925	,	-25927	,	-23752	,	16.698915	,	23
43,14	,	84941	,	-25934	,	-23747	,	19.479797	,	27
43,14	,	84957	,	-25945	,	-23741	,	20.815931	,	29
43,14	,	84989	,	-25933	,	-23751	,	20.630611	,	30
43,14	,	85005	,	-25942	,	-23724	,	19.049126	,	29
43,14	,	85021	,	-25947	,	-23749	,	16.388828	,	26
43,14	,	85053	,	-25933	,	-23745	,	13.013729	,	22
43,14	,	85069	,	-25930	,	-23742	,	9.460659	,	17
43,14	,	85101	,	-25937	,	-23750	,	6.3145027	,	12
43,14	,	85117	,	-25934	,	-23750	,	3.8625894	,	7
43,14	,	85133	,	-25937	,	-23754	,	2.097846	,	3
43,14	,	85165	,	-25936	,	-23745	,	0.9074931	,	1
43,14	,	85181	,	-25937	,	-23756	,	0.16144407	,	0
43,14	,	85197	,	-25930	,	-23755	,	-0.2242344	,	0
43,14	,	85229	,	-25934	,	-23767	,	-0.27733117	,	0
43,14	,	85245	,	-25951	,	-23736	,	-0.14557329	,	0
43,14	,	85276	,	-25949	,	-23761	,	-0.18865897	,	0
43,14	,	85293	,	-25958	,	-23765	,	-0.7281908	,	0
43,14	,	85309	,	-25960	,	-23754	,	-1.8577135	,	0
43,14	,	85341	,	-25956	,	-23768	,	-3.4569955	,	0
43,14	,	85357	,	-25957	,	-23767	,	-5.205309	,	0
43,14	,	85373	,	-25964	,	-23770	,	-6.749666	,	0
43,14	,	85405	,	-25970	,	-23769	,	-7.95033	,	0
