Data recorded on Mon Jul 24 08-38-21 CAT 2017
Time: 8:38:30
Time		Millis		IR PPG		Red PPG		Filtered		SSF
38,39	,	33666	,	-17255	,	-13764	,	-25.306427	,	4
38,39	,	33698	,	-17233	,	-13769	,	-16.552351	,	9
38,39	,	33714	,	-17223	,	-13762	,	-5.386736	,	17
38,39	,	33730	,	-17224	,	-13763	,	6.9959545	,	28
38,39	,	33762	,	-17220	,	-13762	,	19.02239	,	40
38,39	,	33778	,	-17215	,	-13761	,	29.20038	,	52
38,39	,	33794	,	-17218	,	-13767	,	36.523956	,	62
38,39	,	33826	,	-17220	,	-13758	,	40.50978	,	69
38,39	,	33842	,	-17226	,	-13759	,	41.090416	,	71
38,39	,	33874	,	-17219	,	-13761	,	38.60643	,	68
38,39	,	33890	,	-17234	,	-13766	,	33.739258	,	63
38,39	,	33906	,	-17230	,	-13755	,	27.279408	,	55
38,39	,	33938	,	-17239	,	-13761	,	19.991253	,	44
38,39	,	33954	,	-17240	,	-13759	,	12.58226	,	32
38,39	,	33970	,	-17238	,	-13764	,	5.668353	,	20
38,39	,	34002	,	-17241	,	-13759	,	-0.23161602	,	10
38,39	,	34018	,	-17243	,	-13760	,	-4.780682	,	3
38,39	,	34034	,	-17246	,	-13767	,	-7.9058123	,	0
38,39	,	34066	,	-17252	,	-13771	,	-9.763244	,	0
38,39	,	34081	,	-17267	,	-13770	,	-10.713098	,	0
38,39	,	34114	,	-17259	,	-13760	,	-11.1987705	,	0
38,39	,	34130	,	-17279	,	-13781	,	-11.541495	,	0
38,39	,	34145	,	-17291	,	-13771	,	-12.01934	,	0
38,39	,	34177	,	-17301	,	-13780	,	-12.967417	,	0
38,39	,	34194	,	-17314	,	-13787	,	-14.598997	,	0
38,39	,	34210	,	-17334	,	-13793	,	-16.967485	,	0
38,39	,	34242	,	-17338	,	-13803	,	-20.032099	,	0
38,39	,	34258	,	-17346	,	-13805	,	-23.541443	,	0
38,39	,	34290	,	-17363	,	-13807	,	-27.074291	,	0
38,39	,	34305	,	-17356	,	-13811	,	-30.227203	,	0
38,39	,	34321	,	-17374	,	-13814	,	-32.636307	,	0
38,39	,	34354	,	-17385	,	-13815	,	-34.111984	,	0
38,39	,	34370	,	-17390	,	-13819	,	-34.748257	,	0
38,39	,	34386	,	-17404	,	-13834	,	-34.745445	,	0
38,39	,	34418	,	-17412	,	-13823	,	-34.317333	,	0
38,39	,	34434	,	-17436	,	-13841	,	-33.747837	,	0
38,39	,	34450	,	-17448	,	-13841	,	-33.407837	,	0
38,39	,	34481	,	-17449	,	-13840	,	-33.556477	,	0
38,39	,	34497	,	-17444	,	-13840	,	-34.02121	,	0
38,39	,	34530	,	-17403	,	-13826	,	-34.03491	,	0
38,39	,	34546	,	-17371	,	-13812	,	-32.288292	,	0
38,39	,	34562	,	-17352	,	-13804	,	-27.478706	,	1
38,39	,	34594	,	-17339	,	-13806	,	-19.147926	,	5
38,39	,	34610	,	-17335	,	-13801	,	-7.984354	,	13
38,39	,	34626	,	-17336	,	-13803	,	4.492445	,	24
38,39	,	34658	,	-17333	,	-13783	,	16.473696	,	36
38,40	,	34673	,	-17343	,	-13795	,	26.354559	,	47
38,40	,	34706	,	-17344	,	-13801	,	32.995106	,	56
38,40	,	34722	,	-17345	,	-13797	,	35.873474	,	62
38,40	,	34738	,	-17345	,	-13798	,	35.160736	,	64
38,40	,	34769	,	-17360	,	-13796	,	31.501001	,	63
38,40	,	34785	,	-17355	,	-13806	,	25.699436	,	59
38,40	,	34802	,	-17359	,	-13797	,	18.658411	,	51
38,40	,	34833	,	-17355	,	-13797	,	11.35312	,	40
38,40	,	34849	,	-17357	,	-13804	,	4.661067	,	28
38,40	,	34865	,	-17350	,	-13807	,	-0.7723198	,	17
38,40	,	34898	,	-17369	,	-13797	,	-4.6560283	,	8
38,40	,	34914	,	-17372	,	-13802	,	-7.1665487	,	2
38,40	,	34945	,	-17373	,	-13807	,	-8.738479	,	0
38,40	,	34961	,	-17374	,	-13806	,	-9.694843	,	0
38,40	,	34977	,	-17380	,	-13807	,	-10.1947975	,	0
38,40	,	35009	,	-17395	,	-13813	,	-10.433619	,	0
38,40	,	35026	,	-17406	,	-13809	,	-10.764836	,	0
38,40	,	35042	,	-17407	,	-13815	,	-11.534372	,	0
38,40	,	35073	,	-17411	,	-13817	,	-12.801095	,	0
38,40	,	35089	,	-17433	,	-13825	,	-14.422145	,	0
38,40	,	35121	,	-17440	,	-13835	,	-16.35737	,	0
38,40	,	35137	,	-17452	,	-13830	,	-18.643717	,	0
38,40	,	35153	,	-17464	,	-13834	,	-21.22043	,	0
38,40	,	35185	,	-17485	,	-13844	,	-24.004421	,	0
38,40	,	35201	,	-17493	,	-13851	,	-26.980335	,	0
38,40	,	35217	,	-17507	,	-13847	,	-30.084011	,	0
38,40	,	35249	,	-17515	,	-13852	,	-33.116043	,	0
38,40	,	35265	,	-17510	,	-13864	,	-35.73224	,	0
38,40	,	35297	,	-17519	,	-13860	,	-37.465836	,	0
38,40	,	35313	,	-17528	,	-13859	,	-37.976814	,	0
38,40	,	35329	,	-17541	,	-13866	,	-37.31604	,	0
38,40	,	35361	,	-17548	,	-13873	,	-35.853195	,	0
38,40	,	35377	,	-17539	,	-13866	,	-33.932423	,	1
38,40	,	35393	,	-17515	,	-13849	,	-31.48359	,	2
38,40	,	35425	,	-17458	,	-13835	,	-27.768866	,	4
38,40	,	35442	,	-17448	,	-13822	,	-21.653502	,	7
38,40	,	35457	,	-17437	,	-13824	,	-12.583971	,	13
38,40	,	35489	,	-17445	,	-13823	,	-1.2819405	,	22
38,40	,	35505	,	-17432	,	-13827	,	10.634556	,	33
38,40	,	35537	,	-17449	,	-13819	,	21.414139	,	44
38,40	,	35553	,	-17443	,	-13820	,	29.616585	,	54
38,40	,	35569	,	-17449	,	-13828	,	34.381546	,	61
38,40	,	35601	,	-17453	,	-13829	,	35.538486	,	64
38,40	,	35617	,	-17460	,	-13831	,	33.423035	,	63
38,40	,	35633	,	-17462	,	-13823	,	28.681051	,	60
38,41	,	35665	,	-17469	,	-13828	,	22.158588	,	54
38,41	,	35681	,	-17464	,	-13827	,	14.7872505	,	45
38,41	,	35713	,	-17473	,	-13834	,	7.46478	,	34
38,41	,	35729	,	-17470	,	-13831	,	0.90494156	,	23
38,41	,	35745	,	-17475	,	-13829	,	-4.4364605	,	13
38,41	,	35777	,	-17477	,	-13828	,	-8.353262	,	5
38,41	,	35793	,	-17475	,	-13829	,	-10.84689	,	1
38,41	,	35809	,	-17484	,	-13838	,	-12.061014	,	0
38,41	,	35841	,	-17494	,	-13834	,	-12.323843	,	0
38,41	,	35857	,	-17499	,	-13843	,	-12.136211	,	0
38,41	,	35873	,	-17507	,	-13831	,	-11.959563	,	0
38,41	,	35905	,	-17523	,	-13841	,	-12.124926	,	0
38,41	,	35921	,	-17530	,	-13848	,	-12.890903	,	0
38,41	,	35953	,	-17537	,	-13856	,	-14.360466	,	0
38,41	,	35969	,	-17546	,	-13856	,	-16.394804	,	0
38,41	,	35985	,	-17563	,	-13858	,	-18.769135	,	0
38,41	,	36017	,	-17564	,	-13862	,	-21.312103	,	0
38,41	,	36033	,	-17579	,	-13858	,	-23.84054	,	0
38,41	,	36049	,	-17579	,	-13866	,	-26.127502	,	0
38,41	,	36081	,	-17592	,	-13872	,	-27.961224	,	0
38,41	,	36097	,	-17598	,	-13874	,	-29.216522	,	0
38,41	,	36129	,	-17598	,	-13867	,	-29.847815	,	0
38,41	,	36145	,	-17618	,	-13880	,	-29.865715	,	0
38,41	,	36161	,	-17602	,	-13872	,	-29.345943	,	0
38,41	,	36193	,	-17568	,	-13859	,	-28.072096	,	0
38,41	,	36209	,	-17529	,	-13848	,	-25.168522	,	1
38,41	,	36225	,	-17508	,	-13829	,	-19.546165	,	3
38,41	,	36257	,	-17502	,	-13830	,	-10.816295	,	8
38,41	,	36273	,	-17501	,	-13825	,	0.24522018	,	16
38,41	,	36289	,	-17494	,	-13824	,	12.04844	,	27
38,41	,	36321	,	-17482	,	-13829	,	22.970718	,	38
38,41	,	36337	,	-17489	,	-13829	,	31.83277	,	48
38,41	,	36369	,	-17483	,	-13819	,	37.887924	,	56
38,41	,	36385	,	-17496	,	-13828	,	40.747128	,	62
38,41	,	36401	,	-17521	,	-13829	,	40.25074	,	63
38,41	,	36433	,	-17523	,	-13828	,	36.375744	,	61
38,41	,	36449	,	-17518	,	-13830	,	29.566942	,	56
38,41	,	36465	,	-17525	,	-13826	,	20.91914	,	48
38,41	,	36497	,	-17519	,	-13824	,	11.767641	,	37
38,41	,	36513	,	-17503	,	-13825	,	3.37739	,	26
38,41	,	36545	,	-17512	,	-13821	,	-3.1921854	,	16
38,41	,	36561	,	-17500	,	-13825	,	-7.3748965	,	8
38,41	,	36577	,	-17512	,	-13831	,	-9.186267	,	2
38,41	,	36609	,	-17511	,	-13825	,	-9.087752	,	0
38,41	,	36625	,	-17514	,	-13825	,	-7.781255	,	0
38,41	,	36641	,	-17520	,	-13825	,	-5.9588017	,	1
38,42	,	36673	,	-17526	,	-13827	,	-4.2163973	,	2
38,42	,	36689	,	-17530	,	-13832	,	-3.023237	,	3
38,42	,	36705	,	-17545	,	-13831	,	-2.679412	,	4
38,42	,	36737	,	-17547	,	-13838	,	-3.3379703	,	4
38,42	,	36753	,	-17568	,	-13831	,	-5.0275292	,	4
38,42	,	36785	,	-17564	,	-13842	,	-7.6496	,	4
38,42	,	36801	,	-17581	,	-13838	,	-10.933484	,	4
38,42	,	36817	,	-17581	,	-13839	,	-14.484766	,	4
38,42	,	36849	,	-17583	,	-13852	,	-17.873007	,	3
38,42	,	36865	,	-17596	,	-13843	,	-20.697758	,	2
38,42	,	36880	,	-17609	,	-13851	,	-22.79419	,	1
38,42	,	36913	,	-17596	,	-13844	,	-24.197792	,	0
38,42	,	36929	,	-17553	,	-13828	,	-24.585495	,	0
38,42	,	36961	,	-17520	,	-13813	,	-22.939434	,	0
38,42	,	36977	,	-17492	,	-13809	,	-18.100277	,	1
38,42	,	36993	,	-17483	,	-13798	,	-9.668398	,	5
38,42	,	37025	,	-17474	,	-13794	,	1.6141272	,	13
38,42	,	37041	,	-17467	,	-13792	,	14.18096	,	24
38,42	,	37057	,	-17457	,	-13785	,	26.293613	,	36
38,42	,	37088	,	-17452	,	-13794	,	36.544518	,	48
38,42	,	37105	,	-17438	,	-13775	,	44.072556	,	58
38,42	,	37120	,	-17450	,	-13782	,	48.516167	,	65
38,42	,	37153	,	-17452	,	-13783	,	49.75889	,	69
38,42	,	37169	,	-17457	,	-13779	,	47.84666	,	69
38,42	,	37201	,	-17466	,	-13781	,	43.107483	,	65
38,42	,	37217	,	-17458	,	-13778	,	36.184357	,	57
38,42	,	37233	,	-17452	,	-13778	,	28.04453	,	46
38,42	,	37265	,	-17448	,	-13768	,	19.85523	,	34
38,42	,	37280	,	-17442	,	-13775	,	12.655172	,	22
38,42	,	37296	,	-17438	,	-13770	,	7.1264315	,	12
38,42	,	37328	,	-17435	,	-13773	,	3.545042	,	5
38,42	,	37345	,	-17445	,	-13760	,	1.767952	,	1
38,42	,	37376	,	-17445	,	-13768	,	1.2846646	,	0
38,42	,	37392	,	-17452	,	-13772	,	1.4361364	,	0
38,42	,	37408	,	-17460	,	-13776	,	1.6213973	,	0
38,42	,	37440	,	-17467	,	-13778	,	1.3598845	,	0
38,42	,	37456	,	-17463	,	-13776	,	0.4026965	,	0
38,42	,	37472	,	-17481	,	-13777	,	-1.2247936	,	0
38,42	,	37505	,	-17484	,	-13783	,	-3.4233696	,	0
38,42	,	37521	,	-17493	,	-13780	,	-6.102914	,	0
38,42	,	37552	,	-17497	,	-13782	,	-9.080831	,	0
38,42	,	37568	,	-17494	,	-13787	,	-12.042281	,	0
38,42	,	37584	,	-17521	,	-13780	,	-14.688261	,	0
38,42	,	37616	,	-17519	,	-13795	,	-16.977547	,	0
38,42	,	37632	,	-17506	,	-13786	,	-18.900513	,	0
38,42	,	37648	,	-17474	,	-13775	,	-19.949593	,	0
38,43	,	37680	,	-17428	,	-13749	,	-19.025898	,	0
38,43	,	37697	,	-17404	,	-13745	,	-14.903517	,	0
38,43	,	37712	,	-17379	,	-13735	,	-6.9871073	,	4
38,43	,	37744	,	-17377	,	-13732	,	4.199319	,	11
38,43	,	37760	,	-17367	,	-13727	,	17.143326	,	22
38,43	,	37792	,	-17353	,	-13723	,	29.965849	,	34
38,43	,	37808	,	-17346	,	-13718	,	41.09186	,	46
38,43	,	37824	,	-17346	,	-13716	,	49.4659	,	57
38,43	,	37856	,	-17338	,	-13708	,	54.490078	,	65
38,43	,	37872	,	-17333	,	-13708	,	56.063225	,	70
38,43	,	37888	,	-17336	,	-13712	,	54.537266	,	71
38,43	,	37920	,	-17340	,	-13711	,	50.459553	,	67
38,43	,	37936	,	-17326	,	-13708	,	44.477486	,	60
38,43	,	37968	,	-17329	,	-13707	,	37.430733	,	49
38,43	,	37984	,	-17327	,	-13702	,	30.181341	,	37
38,43	,	38000	,	-17318	,	-13698	,	23.397999	,	25
38,43	,	38032	,	-17313	,	-13700	,	17.61024	,	14
38,43	,	38048	,	-17311	,	-13699	,	13.187481	,	6
38,43	,	38064	,	-17326	,	-13702	,	10.1339035	,	1
38,43	,	38096	,	-17322	,	-13688	,	8.058781	,	0
38,43	,	38112	,	-17336	,	-13694	,	6.4284706	,	0
38,43	,	38128	,	-17332	,	-13696	,	4.8077655	,	0
38,43	,	38160	,	-17337	,	-13702	,	2.986013	,	0
38,43	,	38176	,	-17344	,	-13705	,	0.9551213	,	0
38,43	,	38208	,	-17345	,	-13709	,	-1.2306383	,	0
38,43	,	38224	,	-17357	,	-13710	,	-3.5115843	,	0
38,43	,	38240	,	-17367	,	-13710	,	-5.880139	,	0
38,43	,	38272	,	-17377	,	-13718	,	-8.412862	,	0
38,43	,	38288	,	-17379	,	-13725	,	-11.134277	,	0
38,43	,	38304	,	-17383	,	-13730	,	-13.885156	,	0
38,43	,	38336	,	-17395	,	-13719	,	-16.409885	,	0
38,43	,	38352	,	-17384	,	-13721	,	-18.475574	,	0
38,43	,	38384	,	-17343	,	-13705	,	-19.594585	,	0
38,43	,	38401	,	-17301	,	-13692	,	-18.688625	,	0
38,43	,	38416	,	-17279	,	-13683	,	-14.512158	,	0
38,43	,	38448	,	-17262	,	-13672	,	-6.5756464	,	4
38,43	,	38464	,	-17250	,	-13674	,	4.4528103	,	11
38,43	,	38480	,	-17238	,	-13668	,	17.09809	,	22
38,43	,	38512	,	-17225	,	-13665	,	29.678017	,	34
38,43	,	38528	,	-17215	,	-13655	,	40.761772	,	46
38,43	,	38544	,	-17220	,	-13667	,	49.30292	,	57
38,43	,	38576	,	-17207	,	-13644	,	54.62574	,	65
38,43	,	38592	,	-17208	,	-13651	,	56.53356	,	70
38,43	,	38624	,	-17217	,	-13655	,	55.242466	,	71
38,43	,	38640	,	-17215	,	-13660	,	51.13615	,	67
38,43	,	38656	,	-17208	,	-13655	,	44.819145	,	60
38,44	,	38688	,	-17202	,	-13648	,	37.231567	,	49
38,44	,	38704	,	-17206	,	-13646	,	29.397469	,	37
38,44	,	38720	,	-17199	,	-13653	,	22.100721	,	25
38,44	,	38752	,	-17198	,	-13646	,	15.845963	,	14
38,44	,	38768	,	-17204	,	-13647	,	10.885526	,	6
38,44	,	38800	,	-17197	,	-13654	,	7.2074394	,	1
38,44	,	38816	,	-17207	,	-13647	,	4.633286	,	0
38,44	,	38832	,	-17202	,	-13657	,	2.8973012	,	0
