Data recorded on Tue Jul 25 10-04-11 CAT 2017
Time: 10:4:23
Time		Millis		bpm		Period		SpO2
4,32	,	25246	,	75	,	864	,	102.206024
4,32	,	26061	,	75	,	815	,	102.201
4,33	,	26829	,	76	,	768	,	102.18762
4,33	,	27565	,	76	,	736	,	102.43252
4,34	,	28301	,	76	,	736	,	102.06793
4,35	,	28956	,	78	,	655	,	101.84403
4,36	,	29692	,	78	,	736	,	101.68191
4,36	,	30524	,	77	,	832	,	101.62099
4,37	,	31339	,	77	,	815	,	101.52771
4,38	,	32059	,	78	,	720	,	101.556564
4,39	,	32810	,	79	,	751	,	101.74104
4,39	,	33610	,	79	,	800	,	101.73285
4,40	,	34490	,	78	,	880	,	101.8517
4,41	,	35273	,	77	,	783	,	101.71312
4,42	,	36105	,	76	,	832	,	102.13293
4,43	,	36985	,	74	,	880	,	102.50152
4,44	,	37801	,	74	,	816	,	102.58241
4,44	,	38536	,	74	,	735	,	102.66678
4,45	,	39336	,	75	,	800	,	102.74082
4,46	,	40135	,	74	,	799	,	102.78256
4,47	,	40935	,	73	,	800	,	102.76786
4,48	,	41671	,	74	,	736	,	102.7754
4,48	,	42470	,	75	,	799	,	102.72396
4,49	,	43334	,	74	,	864	,	102.752
4,50	,	44213	,	74	,	879	,	102.81891
4,51	,	45029	,	74	,	816	,	102.582664
4,52	,	45813	,	74	,	784	,	102.70206
4,53	,	46661	,	73	,	848	,	102.64238
4,53	,	47540	,	73	,	879	,	102.5752
4,54	,	48404	,	72	,	864	,	102.5833
4,55	,	49172	,	72	,	768	,	102.766785
4,56	,	49955	,	72	,	783	,	102.86204
4,57	,	50771	,	72	,	816	,	102.757
4,57	,	51570	,	72	,	799	,	102.796265
4,58	,	52354	,	73	,	784	,	102.779106
4,59	,	53154	,	73	,	800	,	102.636116
5,0	,	53954	,	73	,	800	,	102.50909
5,1	,	54865	,	73	,	911	,	102.47277
5,2	,	55665	,	73	,	800	,	102.52224
5,2	,	56481	,	74	,	816	,	102.40653
5,3	,	57248	,	74	,	767	,	102.26682
5,4	,	58032	,	74	,	784	,	102.13793
5,5	,	58912	,	73	,	880	,	101.88529
5,6	,	59727	,	73	,	815	,	101.82981
5,6	,	60463	,	74	,	736	,	101.67987
5,7	,	61247	,	74	,	784	,	101.83093
5,8	,	62110	,	73	,	863	,	101.952286
5,9	,	62958	,	74	,	848	,	102.11541
5,10	,	63709	,	74	,	751	,	102.258865
5,10	,	64477	,	75	,	768	,	102.25002
5,11	,	65261	,	74	,	784	,	102.3325
5,12	,	66092	,	74	,	831	,	102.29675
5,13	,	66876	,	75	,	784	,	102.80737
5,13	,	67596	,	76	,	720	,	102.79262
5,14	,	68348	,	76	,	752	,	102.897285
5,15	,	69116	,	76	,	768	,	102.84053
5,16	,	69963	,	76	,	847	,	102.69647
5,17	,	70779	,	76	,	816	,	102.5466
5,17	,	71610	,	75	,	831	,	102.34903
5,18	,	72442	,	75	,	832	,	102.4876
5,19	,	73321	,	74	,	879	,	102.52539
5,20	,	74121	,	74	,	800	,	102.74702
5,21	,	74921	,	74	,	800	,	102.57651
5,22	,	75721	,	73	,	800	,	102.77783
5,22	,	76536	,	73	,	815	,	102.87502
5,23	,	77320	,	73	,	784	,	103.06393
5,24	,	78072	,	74	,	752	,	103.22882
5,25	,	78903	,	73	,	831	,	103.29974
5,26	,	79751	,	73	,	848	,	103.34472
5,26	,	80567	,	73	,	816	,	103.28373
5,27	,	81414	,	74	,	847	,	103.24428
5,28	,	82294	,	73	,	880	,	103.07384
5,29	,	83126	,	73	,	832	,	103.004005
5,30	,	83957	,	72	,	831	,	102.92009
5,31	,	84821	,	72	,	864	,	102.86897
