Data recorded on Tue Jul 25 10-29-36 CAT 2017
Time: 10:30:0
Time		Millis		bpm		Period		SpO2
30,9	,	69794	,	64	,	927	,	102.57995
30,9	,	70706	,	64	,	912	,	102.48143
30,10	,	71666	,	65	,	960	,	102.187706
30,11	,	72641	,	64	,	975	,	102.57842
30,12	,	73585	,	64	,	944	,	102.59008
30,12	,	74481	,	64	,	896	,	102.29534
30,13	,	75408	,	64	,	927	,	102.260925
30,14	,	76368	,	63	,	960	,	101.98533
30,15	,	77311	,	63	,	943	,	101.589294
30,16	,	78255	,	63	,	944	,	101.8075
30,17	,	79135	,	64	,	880	,	101.70069
30,18	,	80046	,	64	,	911	,	101.95789
30,19	,	81054	,	63	,	1008	,	102.25571
30,20	,	82045	,	63	,	991	,	102.382225
30,21	,	83021	,	63	,	976	,	102.31668
30,22	,	83932	,	63	,	911	,	102.629
30,23	,	84828	,	63	,	896	,	102.84587
30,24	,	85772	,	63	,	944	,	103.077126
30,25	,	86683	,	64	,	911	,	103.29205
30,26	,	87611	,	64	,	928	,	103.14639
30,26	,	88507	,	64	,	896	,	103.10574
30,27	,	89338	,	64	,	831	,	103.03287
30,28	,	90250	,	65	,	912	,	102.81996
30,29	,	91258	,	65	,	1008	,	102.5735
30,30	,	92201	,	65	,	943	,	102.44553
30,31	,	93129	,	65	,	928	,	102.45653
30,32	,	93960	,	65	,	831	,	102.44227
30,33	,	94792	,	66	,	832	,	102.38672
30,34	,	95704	,	66	,	912	,	102.441055
30,35	,	96711	,	65	,	1007	,	102.64595
30,36	,	97703	,	65	,	992	,	102.94734
30,37	,	98615	,	64	,	912	,	103.03803
30,37	,	99494	,	64	,	879	,	103.2488
30,38	,	100438	,	65	,	944	,	103.20719
30,39	,	101445	,	64	,	1007	,	103.30212
30,40	,	102405	,	64	,	960	,	103.31303
30,41	,	103301	,	64	,	896	,	103.09074
30,42	,	104244	,	63	,	943	,	103.07541
30,43	,	105204	,	63	,	960	,	103.177826
30,44	,	106147	,	63	,	943	,	103.039314
30,45	,	107027	,	64	,	880	,	102.87011
30,46	,	107906	,	64	,	879	,	102.91058
30,47	,	108882	,	63	,	976	,	102.667076
30,48	,	109890	,	63	,	1008	,	102.67189
30,49	,	110945	,	63	,	1055	,	102.938484
30,50	,	111905	,	63	,	960	,	102.67806
30,51	,	112833	,	62	,	928	,	102.8895
30,52	,	113808	,	62	,	975	,	102.80353
30,53	,	114784	,	62	,	976	,	102.737404
30,54	,	115631	,	63	,	847	,	103.00336
30,54	,	116511	,	63	,	880	,	102.745445
30,55	,	117423	,	63	,	912	,	102.77052
30,56	,	118334	,	63	,	911	,	102.9825
30,57	,	119230	,	64	,	896	,	102.72352
30,58	,	120077	,	65	,	847	,	102.60057
30,59	,	121021	,	65	,	944	,	102.78987
31,0	,	122029	,	65	,	1008	,	102.59766
31,1	,	122940	,	65	,	911	,	102.69618
31,2	,	123868	,	66	,	928	,	102.76558
31,3	,	124811	,	65	,	943	,	102.66013
31,4	,	125707	,	65	,	896	,	102.94969
31,5	,	126555	,	65	,	848	,	102.86278
31,5	,	127386	,	66	,	831	,	102.87155
31,6	,	128282	,	66	,	896	,	103.225815
31,7	,	129258	,	65	,	976	,	103.13025
31,8	,	130169	,	65	,	911	,	102.94533
31,31	,	152480	,	67	,	896	,	102.64789
