Data recorded on Tue Jul 25 13-38-14 CAT 2017
Time: 13:38:41
Time		Millis		bpm		Period		SpO2
38,50	,	89355	,	70	,	751	,	99.80585
38,50	,	90091	,	71	,	736	,	99.64416
38,50	,	90811	,	73	,	720	,	99.53401
38,51	,	91594	,	74	,	783	,	99.379196
38,52	,	92410	,	75	,	816	,	99.43365
38,53	,	93210	,	75	,	800	,	99.15858
38,54	,	94010	,	75	,	800	,	99.08268
38,54	,	94793	,	76	,	783	,	99.18839
38,55	,	95625	,	76	,	832	,	99.18349
38,56	,	96456	,	76	,	831	,	99.20528
38,57	,	97224	,	76	,	768	,	99.25957
38,57	,	97976	,	76	,	752	,	99.43516
38,58	,	98711	,	75	,	735	,	99.75055
38,59	,	99479	,	76	,	768	,	99.84083
39,0	,	100247	,	76	,	768	,	99.95317
39,1	,	101062	,	76	,	815	,	100.23613
39,1	,	101846	,	76	,	784	,	100.38484
39,2	,	102677	,	76	,	831	,	100.5207
39,3	,	103525	,	75	,	848	,	100.519424
39,4	,	104405	,	75	,	880	,	100.38773
39,5	,	105268	,	74	,	863	,	100.26481
39,6	,	106068	,	74	,	800	,	100.28039
39,6	,	106900	,	73	,	832	,	100.15667
39,7	,	107780	,	72	,	880	,	100.25128
39,8	,	108691	,	71	,	911	,	99.94372
39,9	,	109571	,	70	,	880	,	99.8693
39,10	,	110466	,	69	,	895	,	99.87069
39,11	,	111362	,	69	,	896	,	99.621826
39,12	,	112242	,	68	,	880	,	99.928246
39,13	,	113073	,	69	,	831	,	100.027855
39,13	,	113905	,	69	,	832	,	99.857895
39,14	,	114736	,	69	,	831	,	99.9482
39,15	,	115536	,	69	,	800	,	99.838425
39,16	,	116320	,	70	,	784	,	99.60252
39,17	,	117103	,	71	,	783	,	99.80841
39,17	,	117919	,	71	,	816	,	99.98544
39,18	,	118799	,	72	,	880	,	99.97039
39,19	,	119678	,	72	,	879	,	100.0492
39,20	,	120574	,	72	,	896	,	99.68386
39,21	,	121438	,	71	,	864	,	99.51605
39,22	,	122253	,	71	,	815	,	99.670845
39,23	,	123084	,	71	,	831	,	99.544075
39,23	,	123900	,	71	,	816	,	99.49685
39,24	,	124732	,	71	,	832	,	99.482925
39,25	,	125531	,	71	,	799	,	99.63944
39,26	,	126347	,	71	,	816	,	99.52176
39,27	,	127211	,	71	,	864	,	99.274994
39,28	,	128107	,	71	,	896	,	99.42454
39,28	,	128938	,	71	,	831	,	99.47442
39,29	,	129738	,	72	,	800	,	99.62335
39,30	,	130568	,	72	,	830	,	99.468475
39,31	,	131433	,	71	,	865	,	99.56515
39,32	,	132280	,	71	,	847	,	99.67378
39,33	,	133048	,	72	,	768	,	99.79408
39,33	,	133864	,	72	,	816	,	99.73845
39,34	,	134712	,	71	,	848	,	99.87013
39,35	,	135591	,	71	,	879	,	100.21588
39,36	,	136375	,	72	,	784	,	100.1063
39,37	,	137191	,	72	,	816	,	100.12753
39,38	,	138006	,	72	,	815	,	100.21312
39,38	,	138837	,	72	,	831	,	100.39209
39,39	,	139685	,	72	,	848	,	100.347626
39,40	,	140517	,	72	,	832	,	100.31498
39,41	,	141396	,	71	,	879	,	100.24752
39,42	,	142292	,	71	,	896	,	100.103226
39,43	,	143203	,	70	,	911	,	100.06503
39,44	,	144115	,	70	,	912	,	99.84203
39,44	,	144979	,	69	,	864	,	99.805885
39,45	,	145875	,	69	,	896	,	99.69458
39,46	,	146690	,	69	,	815	,	99.70722
39,47	,	147522	,	69	,	832	,	99.6789
39,48	,	148306	,	69	,	784	,	99.55314
39,49	,	149169	,	69	,	863	,	99.60884
