Data recorded on Tue Jul 25 13-38-14 CAT 2017
Time: 13:38:41
Time		Millis		IR PPG		Red PPG		Filtered		SSF
38,50	,	89996	,	-22371	,	-24842	,	11.819395	,	26
38,50	,	90027	,	-22364	,	-24849	,	16.91082	,	32
38,50	,	90043	,	-22367	,	-24846	,	19.991833	,	37
38,50	,	90059	,	-22379	,	-24851	,	21.002277	,	40
38,50	,	90091	,	-22376	,	-24856	,	20.039303	,	41
38,50	,	90107	,	-22379	,	-24854	,	17.402107	,	39
38,50	,	90123	,	-22376	,	-24860	,	13.642012	,	35
38,50	,	90155	,	-22373	,	-24862	,	9.438933	,	29
38,50	,	90171	,	-22376	,	-24865	,	5.426921	,	22
38,50	,	90203	,	-22373	,	-24842	,	2.0450253	,	15
38,50	,	90219	,	-22376	,	-24850	,	-0.49097967	,	9
38,50	,	90235	,	-22381	,	-24854	,	-2.1745086	,	4
38,50	,	90267	,	-22389	,	-24859	,	-3.2209191	,	1
38,50	,	90283	,	-22396	,	-24861	,	-3.9922087	,	0
38,50	,	90299	,	-22402	,	-24856	,	-4.8356686	,	0
38,50	,	90331	,	-22409	,	-24860	,	-5.964479	,	0
38,50	,	90347	,	-22411	,	-24876	,	-7.4270573	,	0
38,50	,	90379	,	-22412	,	-24863	,	-9.101653	,	0
38,50	,	90395	,	-22428	,	-24866	,	-10.8013115	,	0
38,50	,	90411	,	-22432	,	-24886	,	-12.4644785	,	0
38,50	,	90443	,	-22431	,	-24888	,	-14.081602	,	0
38,50	,	90459	,	-22436	,	-24893	,	-15.504953	,	0
38,50	,	90475	,	-22450	,	-24898	,	-16.589188	,	0
38,50	,	90507	,	-22447	,	-24903	,	-17.357042	,	0
38,50	,	90523	,	-22458	,	-24905	,	-17.871101	,	0
38,50	,	90539	,	-22466	,	-24919	,	-18.18727	,	0
38,50	,	90571	,	-22449	,	-24905	,	-18.320873	,	0
38,50	,	90587	,	-22451	,	-24898	,	-18.049816	,	0
38,50	,	90619	,	-22427	,	-24887	,	-16.947403	,	0
38,50	,	90635	,	-22423	,	-24888	,	-14.594916	,	1
38,50	,	90651	,	-22414	,	-24881	,	-10.805829	,	3
38,50	,	90683	,	-22394	,	-24871	,	-5.718055	,	6
38,50	,	90699	,	-22397	,	-24865	,	0.32366467	,	11
38,50	,	90715	,	-22394	,	-24866	,	6.7372985	,	17
38,50	,	90747	,	-22386	,	-24858	,	12.7589445	,	23
38,50	,	90763	,	-22393	,	-24860	,	17.72398	,	29
38,50	,	90795	,	-22388	,	-24857	,	21.160795	,	33
38,50	,	90811	,	-22396	,	-24861	,	22.802418	,	36
38,50	,	90827	,	-22403	,	-24866	,	22.584038	,	36
38,50	,	90859	,	-22401	,	-24869	,	20.609272	,	34
38,50	,	90875	,	-22398	,	-24855	,	17.241688	,	31
