Data recorded on Wed Jul 26 10-04-58 CAT 2017
Time: 10:5:6
Time		Millis		IR PPG		Red PPG		Filtered		SSF
5,15	,	97289	,	-25104	,	-22241	,	5.555562	,	12
5,15	,	97321	,	-25112	,	-22237	,	4.14563	,	12
5,15	,	97337	,	-25102	,	-22242	,	2.6892414	,	12
5,15	,	97353	,	-25104	,	-22233	,	1.4717469	,	11
5,15	,	97385	,	-25095	,	-22241	,	0.7109927	,	9
5,15	,	97401	,	-25114	,	-22243	,	0.4552002	,	6
5,15	,	97417	,	-25112	,	-22251	,	0.4550774	,	3
5,15	,	97449	,	-25131	,	-22244	,	0.2710139	,	1
5,15	,	97465	,	-25130	,	-22260	,	-0.5015193	,	0
5,15	,	97497	,	-25139	,	-22271	,	-2.0499644	,	0
5,15	,	97513	,	-25153	,	-22247	,	-4.3310404	,	0
5,15	,	97529	,	-25153	,	-22266	,	-7.2005777	,	0
5,15	,	97561	,	-25143	,	-22271	,	-10.318377	,	0
5,15	,	97577	,	-25151	,	-22275	,	-13.090712	,	0
5,15	,	97593	,	-25152	,	-22276	,	-15.019743	,	0
5,15	,	97625	,	-25148	,	-22281	,	-15.912092	,	0
5,15	,	97641	,	-25156	,	-22271	,	-15.773401	,	0
5,15	,	97657	,	-25148	,	-22276	,	-14.754079	,	0
5,15	,	97689	,	-25145	,	-22276	,	-13.045382	,	1
5,15	,	97705	,	-25173	,	-22279	,	-10.917732	,	2
5,15	,	97737	,	-25176	,	-22288	,	-8.953916	,	4
5,15	,	97753	,	-25185	,	-22258	,	-7.8151517	,	5
5,15	,	97769	,	-25192	,	-22277	,	-7.8162894	,	6
5,15	,	97801	,	-25168	,	-22275	,	-8.7742195	,	6
5,15	,	97817	,	-25174	,	-22277	,	-10.013374	,	6
5,15	,	97832	,	-25158	,	-22278	,	-10.7187195	,	6
5,15	,	97865	,	-25157	,	-22277	,	-10.338766	,	6
5,15	,	97881	,	-25146	,	-22268	,	-8.663161	,	5
5,15	,	97913	,	-25149	,	-22263	,	-5.804548	,	5
5,15	,	97929	,	-25145	,	-22269	,	-2.1661797	,	5
5,15	,	97945	,	-25149	,	-22264	,	1.6699281	,	7
5,15	,	97977	,	-25170	,	-22273	,	5.005713	,	9
5,15	,	97993	,	-25141	,	-22252	,	7.230971	,	12
5,15	,	98009	,	-25151	,	-22258	,	8.251	,	14
5,15	,	98041	,	-25174	,	-22256	,	8.260372	,	15
5,15	,	98056	,	-25150	,	-22257	,	7.2957687	,	15
5,15	,	98088	,	-25140	,	-22255	,	5.6530337	,	15
5,15	,	98105	,	-25149	,	-22257	,	4.021135	,	14
5,15	,	98121	,	-25159	,	-22257	,	2.7929752	,	12
5,15	,	98153	,	-25145	,	-22254	,	1.8984678	,	9
5,15	,	98169	,	-25175	,	-22260	,	1.1436585	,	6
5,15	,	98185	,	-25156	,	-22256	,	0.28442752	,	3
5,15	,	98216	,	-25143	,	-22261	,	-0.70297897	,	1
5,15	,	98233	,	-25144	,	-22240	,	-1.403266	,	0
5,15	,	98249	,	-25145	,	-22246	,	-1.4318788	,	0
5,16	,	98281	,	-25147	,	-22255	,	-0.81417894	,	0
5,16	,	98297	,	-25170	,	-22256	,	0.054018557	,	0
5,16	,	98328	,	-25188	,	-22255	,	0.46062213	,	0
5,16	,	98345	,	-25168	,	-22252	,	-0.22151232	,	0
5,16	,	98360	,	-25142	,	-22262	,	-1.7873647	,	0
