Data recorded on Wed Jul 26 10-08-21 CAT 2017
Time: 10:8:41
Time		Millis		bpm		Period		SpO2
8,50	,	40667	,	56	,	1296	,	83.83528
8,51	,	42122	,	53	,	1455	,	87.00809
8,52	,	43609	,	52	,	1487	,	89.21074
8,54	,	45097	,	49	,	1488	,	90.50593
8,55	,	46601	,	46	,	1500	,	91.22924
8,57	,	48120	,	44	,	1500	,	93.20946
8,58	,	49559	,	44	,	1439	,	95.62102
9,0	,	51111	,	42	,	1500	,	97.67925
9,1	,	52650	,	41	,	1500	,	99.12129
9,3	,	54134	,	40	,	1484	,	101.19263
9,4	,	55621	,	40	,	1487	,	102.05548
9,6	,	57172	,	40	,	1500	,	102.23366
9,7	,	58628	,	40	,	1456	,	102.137405
9,9	,	60195	,	40	,	1500	,	101.57462
9,11	,	62419	,	40	,	1500	,	101.59661
9,12	,	63986	,	40	,	1500	,	101.68771
9,14	,	65474	,	40	,	1488	,	101.1817
9,15	,	67057	,	40	,	1500	,	101.18227
9,17	,	68656	,	40	,	1500	,	100.9463
9,19	,	70192	,	40	,	1500	,	100.87948
9,20	,	71615	,	40	,	1423	,	100.75875
9,22	,	73135	,	40	,	1500	,	100.44306
9,23	,	74830	,	40	,	1500	,	100.01546
9,25	,	76253	,	40	,	1423	,	100.57494
9,26	,	77629	,	40	,	1376	,	100.33707
9,27	,	79037	,	41	,	1408	,	99.56549
9,29	,	80460	,	41	,	1423	,	100.09456
9,30	,	82012	,	41	,	1500	,	100.275185
9,32	,	83371	,	41	,	1359	,	99.42458
9,34	,	85322	,	41	,	1500	,	99.232445
9,35	,	86698	,	41	,	1376	,	98.83905
9,37	,	88169	,	41	,	1471	,	98.4962
9,38	,	89609	,	42	,	1440	,	98.56435
9,39	,	91032	,	42	,	1423	,	98.86399
9,41	,	92441	,	41	,	1409	,	99.1419
9,42	,	93991	,	41	,	1500	,	99.5947
9,44	,	95383	,	41	,	1392	,	99.75811
9,45	,	96870	,	41	,	1487	,	99.69453
9,47	,	98406	,	41	,	1500	,	100.25862
9,48	,	99861	,	41	,	1455	,	99.12193
