Data recorded on Wed Jul 26 14-09-33 CAT 2017
Time: 14:10:11
Time		Millis		IR PPG		Red PPG		Filtered		SSF
10,20	,	85144	,	-18940	,	-15712	,	-21.157085	,	2
10,20	,	85161	,	-18930	,	-15704	,	-12.03951	,	7
10,20	,	85193	,	-18913	,	-15700	,	0.6065006	,	16
10,20	,	85209	,	-18908	,	-15699	,	15.109919	,	28
10,20	,	85240	,	-18904	,	-15697	,	29.434464	,	42
10,20	,	85256	,	-18889	,	-15694	,	41.756947	,	56
10,20	,	85273	,	-18885	,	-15691	,	50.89128	,	68
10,20	,	85304	,	-18885	,	-15689	,	56.322826	,	77
10,20	,	85321	,	-18894	,	-15689	,	57.937325	,	82
10,20	,	85337	,	-18904	,	-15690	,	55.839943	,	81
10,20	,	85369	,	-18914	,	-15695	,	50.351208	,	76
10,20	,	85385	,	-18919	,	-15699	,	42.07332	,	67
10,20	,	85416	,	-18908	,	-15695	,	31.976858	,	55
10,20	,	85432	,	-18906	,	-15695	,	21.380024	,	41
10,20	,	85448	,	-18921	,	-15696	,	11.54497	,	27
10,20	,	85480	,	-18929	,	-15704	,	3.1613264	,	15
10,20	,	85497	,	-18927	,	-15711	,	-3.6194181	,	6
10,20	,	85513	,	-18943	,	-15717	,	-8.848997	,	1
10,20	,	85544	,	-18958	,	-15711	,	-12.775831	,	0
10,20	,	85560	,	-18960	,	-15720	,	-15.830091	,	0
10,20	,	85576	,	-18984	,	-15728	,	-18.398401	,	0
10,20	,	85608	,	-19000	,	-15737	,	-20.838087	,	0
10,20	,	85625	,	-19005	,	-15745	,	-23.470459	,	0
10,20	,	85656	,	-19007	,	-15741	,	-26.29243	,	0
10,20	,	85672	,	-19023	,	-15746	,	-28.975658	,	0
10,20	,	85688	,	-19035	,	-15754	,	-31.241518	,	0
10,20	,	85721	,	-19043	,	-15757	,	-33.019737	,	0
10,20	,	85737	,	-19052	,	-15760	,	-34.302704	,	0
10,20	,	85753	,	-19058	,	-15769	,	-35.055748	,	0
10,20	,	85784	,	-19075	,	-15780	,	-35.28681	,	0
