Data recorded on Wed Jul 26 14-46-12 CAT 2017
Time: 14:46:19
Time		Millis		bpm		Period		SpO2
46,28	,	19456	,	80	,	720	,	101.11354
46,28	,	20176	,	79	,	720	,	101.211525
46,29	,	20928	,	79	,	752	,	101.32629
46,30	,	21743	,	79	,	815	,	101.417694
46,30	,	22607	,	78	,	864	,	101.58468
46,31	,	23519	,	76	,	912	,	101.43308
46,32	,	24382	,	75	,	863	,	101.28239
46,33	,	25198	,	74	,	816	,	101.3996
46,34	,	26014	,	74	,	816	,	101.611855
46,35	,	26845	,	74	,	831	,	101.607666
46,36	,	27693	,	72	,	848	,	101.644165
46,36	,	28525	,	71	,	832	,	101.682396
46,37	,	29340	,	71	,	815	,	101.76373
46,38	,	30172	,	71	,	832	,	101.567825
46,39	,	31004	,	71	,	832	,	101.79449
46,40	,	31900	,	71	,	896	,	101.90237
46,41	,	32747	,	71	,	847	,	101.91273
46,41	,	33611	,	71	,	864	,	101.93255
46,42	,	34475	,	70	,	864	,	101.85804
46,43	,	35354	,	70	,	879	,	101.8067
46,44	,	36218	,	70	,	864	,	101.78032
46,45	,	37017	,	70	,	799	,	101.64973
46,46	,	37849	,	70	,	832	,	101.58172
46,47	,	38681	,	70	,	832	,	101.76605
46,47	,	39577	,	70	,	896	,	101.53675
46,48	,	40456	,	70	,	879	,	101.377144
46,49	,	41288	,	70	,	832	,	101.29279
46,50	,	42168	,	70	,	880	,	101.257164
46,51	,	43015	,	70	,	847	,	101.34472
46,52	,	43831	,	70	,	816	,	101.59521
46,53	,	44679	,	70	,	848	,	101.66965
46,53	,	45542	,	70	,	863	,	101.67202
46,54	,	46390	,	70	,	848	,	101.65228
46,55	,	47254	,	70	,	864	,	101.79547
46,56	,	48037	,	70	,	783	,	101.95848
46,57	,	48837	,	71	,	800	,	102.070885
46,58	,	49701	,	71	,	864	,	102.15761
46,58	,	50533	,	71	,	832	,	102.170265
46,59	,	51316	,	72	,	783	,	102.280205
47,0	,	52132	,	72	,	816	,	102.30844
47,1	,	52980	,	72	,	848	,	102.36297
47,2	,	53843	,	72	,	863	,	102.559044
47,3	,	54707	,	72	,	864	,	102.63538
47,3	,	55571	,	72	,	864	,	102.72817
47,4	,	56466	,	71	,	895	,	102.73433
47,5	,	57362	,	70	,	896	,	102.88394
47,6	,	58242	,	70	,	880	,	103.02475
47,7	,	59073	,	70	,	831	,	103.12406
47,8	,	59921	,	69	,	848	,	103.01697
47,9	,	60801	,	69	,	880	,	103.12606
47,10	,	61681	,	68	,	880	,	103.21833
47,10	,	62512	,	69	,	831	,	103.18759
47,11	,	63343	,	69	,	831	,	103.33209
47,12	,	64223	,	69	,	880	,	103.18287
47,13	,	65087	,	69	,	864	,	103.32841
47,14	,	65951	,	69	,	864	,	103.549126
47,15	,	66751	,	70	,	800	,	103.45704
47,15	,	67630	,	70	,	879	,	103.57399
47,16	,	68510	,	69	,	880	,	103.314804
47,17	,	69341	,	70	,	831	,	103.174286
47,18	,	70173	,	70	,	832	,	103.1816
47,19	,	71005	,	70	,	832	,	103.23276
47,20	,	71837	,	70	,	832	,	103.15559
47,21	,	72668	,	71	,	831	,	103.284775
47,21	,	73452	,	71	,	784	,	103.09726
47,22	,	74220	,	72	,	768	,	102.83827
47,23	,	75083	,	72	,	863	,	102.95966
47,24	,	75931	,	72	,	848	,	102.82466
47,25	,	76811	,	72	,	880	,	103.01952
47,25	,	77595	,	72	,	784	,	103.26078
47,26	,	78442	,	72	,	847	,	103.25863
47,27	,	79274	,	72	,	832	,	103.2103
