RAW Data export file (comma separated)


Client:	John,Sample
Session:	Maretha1 
Date:	26-07-2017
Time:	15:13:57
Duration:	266	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-41.656,799.480,,
-41.000,799.480,,
-40.593,799.480,,
-40.217,799.480,,
-39.746,799.695,,
-39.250,799.695,,
-38.856,799.695,,
-38.639,799.695,,
-38.393,799.721,,
-38.079,799.721,,
-37.908,799.721,,
-38.063,799.721,,
-38.357,799.900,,
-38.333,799.900,,
-38.072,799.900,,
-38.062,799.900,,
-38.468,800.021,,
-38.915,800.021,,
-39.110,800.021,,
-39.040,800.021,,
-39.042,799.951,,
-39.276,799.951,,
-39.527,799.951,,
-39.682,799.951,,
-39.671,799.883,,
-39.889,799.883,,
-40.286,799.883,,
-40.661,799.883,,
-40.874,799.627,,
-40.851,799.627,,
-40.835,799.627,,
-40.786,799.627,,
-40.620,799.528,,
-40.571,799.528,,
-40.715,799.528,,
-41.141,799.528,,
-41.496,799.323,,
-41.519,799.323,,
-41.279,799.323,,
-40.999,799.323,,
-40.787,798.875,,
-40.338,798.875,,
-39.419,798.875,,
-38.064,798.875,,
-36.563,798.658,,
-34.961,798.658,,
-33.119,798.658,,
-31.158,798.658,,
-29.427,798.518,,
-28.207,798.518,,
-27.363,798.518,,
-26.810,798.518,,
-26.640,798.380,,
-26.950,798.380,,
-27.680,798.380,,
-28.485,798.380,,
-29.277,798.283,,
-30.019,798.283,,
-30.930,798.283,,
-32.189,798.283,,
-33.462,798.431,,
-34.555,798.431,,
-35.538,798.431,,
-36.719,798.431,,
-38.020,798.950,,
-39.029,798.950,,
-39.781,798.950,,
-40.386,798.950,,
-40.984,799.318,,
-41.460,799.318,,
-41.633,799.318,,
-41.756,799.318,,
-41.798,799.279,,
-41.929,799.279,,
-41.885,799.279,,
-41.520,799.279,,
-40.960,798.860,,
-40.459,798.860,,
-40.119,798.860,,
-39.799,798.860,,
-39.293,798.355,,
-38.579,798.355,,
-38.031,798.355,,
-37.696,798.355,,
-37.486,797.866,,
-37.268,797.866,,
-37.025,797.866,,
-36.877,797.866,,
-36.732,797.807,,
-36.580,797.807,,
-36.508,797.807,,
-36.696,797.807,,
-37.290,798.046,,
-37.802,798.046,,
-38.107,798.046,,
-38.229,798.046,,
-38.456,798.420,,
-38.868,798.420,,
-39.339,798.420,,
-39.893,798.420,,
-40.443,798.541,,
-40.996,798.541,,
-41.673,798.541,,
-42.101,798.541,,
-42.234,798.351,,
-42.267,798.351,,
-42.407,798.351,,
-42.600,798.351,,
-42.743,797.978,,
-42.971,797.978,,
-43.244,797.978,,
-43.467,797.978,,
-43.618,797.585,,
-43.546,797.585,,
-43.155,797.585,,
-42.894,797.585,,
-42.847,797.419,,
-42.882,797.419,,
-42.952,797.419,,
-42.831,797.419,,
-42.637,797.186,,
-42.195,797.186,,
-41.458,797.186,,
-40.482,797.186,,
-39.293,796.785,,
-37.996,796.785,,
-36.420,796.785,,
-34.392,796.785,,
-32.221,796.281,,
-30.293,796.281,,
-28.871,796.281,,
-27.588,796.281,,
-26.368,796.121,,
-25.464,796.121,,
-25.199,796.121,,
-25.515,796.121,,
-26.073,796.518,,
-26.731,796.518,,
-27.578,796.518,,
-28.650,796.518,,
-29.799,797.088,,
-30.911,797.088,,
-31.927,797.088,,
-33.040,797.088,,
-34.359,797.289,,
-35.693,797.289,,
-36.856,797.289,,
-37.655,797.289,,
-38.248,797.093,,
-38.716,797.093,,
-38.995,797.093,,
-38.958,797.093,,
-38.543,797.037,,
-38.159,797.037,,
-37.759,797.037,,
-37.056,797.037,,
-36.124,797.039,,
-35.064,797.039,,
-34.408,797.039,,
-34.134,797.039,,
-33.729,797.074,,
-33.270,797.074,,
-32.992,797.074,,
-33.108,797.074,,
-33.412,797.127,,
-33.666,797.127,,
-33.893,797.127,,
-34.040,797.127,,
-34.326,797.009,,
-34.690,797.009,,
-34.995,797.009,,
-35.340,797.009,,
-35.965,796.740,,
-36.873,796.740,,
-37.771,796.740,,
-38.537,796.740,,
-39.138,796.532,,
-39.809,796.532,,
-40.381,796.532,,
-40.667,796.532,,
-40.687,796.482,,
-40.699,796.482,,
-40.963,796.482,,
-41.225,796.482,,
-41.251,796.386,,
-41.226,796.386,,
-41.283,796.386,,
-41.649,796.386,,
-41.841,796.466,,
-41.759,796.466,,
-41.489,796.466,,
-41.301,796.466,,
-41.233,796.385,,
-41.103,796.385,,
-40.897,796.385,,
-40.681,796.385,,
-40.704,796.274,,
-40.957,796.274,,
-41.084,796.274,,
-41.026,796.274,,
-40.921,796.124,,
-40.779,796.124,,
-40.428,796.124,,
-39.686,796.124,,
-38.547,795.751,,
-37.211,795.751,,
-35.971,795.751,,
-34.638,795.751,,
-33.076,795.372,,
-31.291,795.372,,
-29.570,795.372,,
-28.073,795.372,,
-26.847,795.131,,
-25.968,795.131,,
-25.422,795.131,,
-25.410,795.131,,
-25.798,795.087,,
-26.343,795.087,,
-27.003,795.087,,
-27.923,795.087,,
-29.249,795.224,,
-30.741,795.224,,
-32.140,795.224,,
-33.415,795.224,,
-34.614,795.339,,
-35.798,795.339,,
-36.707,795.339,,
-37.344,795.339,,
-37.931,795.205,,
-38.724,795.205,,
-39.673,795.205,,
-40.450,795.205,,
-40.885,794.633,,
-41.087,794.633,,
-41.453,794.633,,
-42.029,794.633,,
-42.531,794.000,,
-42.749,794.000,,
-42.741,794.000,,
-42.742,794.000,,
-42.633,793.552,,
-42.344,793.552,,
-41.847,793.552,,
-41.436,793.552,,
-41.153,793.359,,
-40.699,793.359,,
-40.196,793.359,,
-39.703,793.359,,
-39.438,793.454,,
-39.322,793.454,,
-39.237,793.454,,
-39.158,793.454,,
-39.070,793.702,,
-39.133,793.702,,
-39.256,793.702,,
-39.222,793.702,,
-39.125,793.965,,
-38.960,793.965,,
-38.919,793.965,,
-38.897,793.965,,
-38.703,794.196,,
-38.304,794.196,,
-37.843,794.196,,
-37.483,794.196,,
-37.092,794.346,,
-36.759,794.346,,
-36.470,794.346,,
-36.325,794.346,,
-36.274,794.547,,
-36.321,794.547,,
-36.338,794.547,,
-36.462,794.547,,
-37.060,794.856,,
-37.893,794.856,,
-38.594,794.856,,
-38.997,794.856,,
-39.340,795.184,,
-39.897,795.184,,
-40.418,795.184,,
-40.729,795.184,,
-40.774,795.503,,
-40.814,795.503,,
-41.138,795.503,,
-41.445,795.503,,
-41.742,796.000,,
-42.060,796.000,,
-42.374,796.000,,
-42.689,796.000,,
-42.836,796.502,,
-42.809,796.502,,
-42.649,796.502,,
-42.522,796.502,,
-42.333,796.862,,
-41.734,796.862,,
-40.597,796.862,,
-39.050,796.862,,
-37.385,797.165,,
-35.602,797.165,,
-33.611,797.165,,
-31.573,797.165,,
-29.947,797.509,,
-28.797,797.509,,
-27.932,797.509,,
-27.252,797.509,,
-26.737,797.862,,
-26.745,797.862,,
-27.150,797.862,,
-27.727,797.862,,
-28.558,798.203,,
-29.623,798.203,,
-30.894,798.203,,
-32.045,798.203,,
-32.960,798.477,,
-33.801,798.477,,
-34.628,798.477,,
-35.768,798.477,,
-36.929,798.799,,
-37.823,798.799,,
-38.353,798.799,,
-38.777,798.799,,
-39.414,799.116,,
-39.946,799.116,,
-40.156,799.116,,
-40.235,799.116,,
-40.494,799.412,,
-40.930,799.412,,
-41.350,799.412,,
-41.556,799.412,,
-41.564,799.609,,
-41.506,799.609,,
