Data recorded on Wed Jul 26 15-15-59 CAT 2017
Time: 15:16:10
Time		Millis		bpm		Period		SpO2
16,19	,	25794	,	71	,	896	,	86.80637
16,19	,	26674	,	68	,	880	,	82.116104
16,20	,	27377	,	67	,	703	,	77.91168
16,21	,	28449	,	63	,	1072	,	71.7523
16,21	,	29185	,	63	,	736	,	72.79252
16,22	,	29968	,	68	,	783	,	73.73634
16,23	,	30720	,	73	,	752	,	75.83569
16,24	,	31503	,	74	,	783	,	76.08681
16,24	,	32271	,	74	,	768	,	78.95685
16,25	,	32959	,	74	,	688	,	81.91814
16,26	,	33679	,	76	,	720	,	84.465805
16,27	,	34447	,	77	,	768	,	87.66728
16,27	,	35278	,	75	,	831	,	91.16044
16,28	,	36110	,	78	,	832	,	96.301
16,29	,	36781	,	79	,	671	,	98.13167
16,30	,	37501	,	79	,	720	,	99.13949
16,30	,	38189	,	80	,	688	,	100.17771
16,31	,	39037	,	79	,	848	,	100.1543
16,32	,	39965	,	78	,	928	,	100.38425
16,33	,	40796	,	76	,	831	,	100.61511
16,34	,	41580	,	75	,	784	,	100.33433
16,35	,	42332	,	76	,	752	,	100.96667
16,35	,	43179	,	75	,	847	,	101.142555
16,36	,	44075	,	75	,	896	,	101.18755
16,37	,	44922	,	73	,	847	,	101.37399
16,38	,	45722	,	72	,	800	,	101.167336
16,39	,	46442	,	72	,	720	,	100.97608
16,39	,	47210	,	73	,	768	,	101.068726
16,40	,	48042	,	74	,	832	,	100.73329
16,41	,	48921	,	73	,	879	,	100.99527
16,42	,	49784	,	73	,	863	,	101.09897
16,43	,	50600	,	72	,	816	,	100.305275
16,43	,	51288	,	74	,	688	,	100.42813
16,44	,	52008	,	75	,	720	,	100.58338
16,45	,	52728	,	76	,	720	,	99.16335
16,46	,	53511	,	77	,	783	,	97.61833
16,46	,	54215	,	77	,	704	,	97.27843
16,47	,	54951	,	77	,	736	,	97.3466
16,48	,	55654	,	78	,	703	,	98.1777
16,49	,	56406	,	80	,	752	,	98.32704
16,49	,	57302	,	79	,	896	,	98.135345
16,50	,	58134	,	79	,	832	,	98.26087
16,51	,	58981	,	78	,	847	,	97.79949
16,52	,	59733	,	77	,	752	,	97.846565
16,53	,	60404	,	78	,	671	,	99.047615
16,53	,	61140	,	78	,	736	,	100.4595
16,54	,	61940	,	77	,	800	,	100.173874
16,55	,	62740	,	77	,	800	,	99.75087
16,56	,	63492	,	76	,	752	,	98.395294
16,56	,	64195	,	77	,	703	,	97.801254
16,57	,	64899	,	79	,	704	,	97.823784
16,58	,	65683	,	79	,	784	,	97.72719
16,59	,	66627	,	78	,	944	,	97.81897
17,0	,	67442	,	77	,	815	,	97.87284
17,0	,	68226	,	76	,	784	,	98.22382
17,1	,	69041	,	75	,	815	,	98.451935
17,2	,	69873	,	75	,	832	,	99.01218
17,3	,	70721	,	75	,	848	,	99.007095
17,4	,	71553	,	74	,	832	,	97.32146
17,4	,	72177	,	75	,	624	,	94.9129
17,5	,	72912	,	74	,	735	,	93.935165
17,6	,	73568	,	76	,	656	,	91.644745
17,12	,	79725	,	71	,	1500	,	91.04132
17,13	,	80557	,	71	,	832	,	91.05593
17,13	,	81261	,	71	,	704	,	90.59045
17,14	,	82029	,	72	,	768	,	90.070404
17,15	,	82701	,	73	,	672	,	89.73087
17,16	,	83516	,	73	,	815	,	89.75451
17,16	,	84108	,	76	,	592	,	89.54782
17,17	,	85004	,	73	,	896	,	90.512024
17,18	,	85772	,	73	,	768	,	89.91713
