Data recorded on Wed Jul 26 15-20-27 CAT 2017
Time: 15:21:15
Time		Millis		IR PPG		Red PPG		Filtered		SSF
21,24	,	97499	,	-27559	,	-25342	,	-27.515635	,	0
21,24	,	97531	,	-27573	,	-25317	,	-26.353725	,	0
21,24	,	97547	,	-27579	,	-25326	,	-23.756044	,	1
21,24	,	97563	,	-27592	,	-25343	,	-20.853464	,	3
21,24	,	97595	,	-27592	,	-25334	,	-18.43621	,	5
21,24	,	97611	,	-27582	,	-25317	,	-16.768545	,	7
21,24	,	97643	,	-27588	,	-25338	,	-15.602622	,	8
21,24	,	97659	,	-27571	,	-25340	,	-14.489366	,	9
21,24	,	97675	,	-27579	,	-25328	,	-13.036586	,	10
21,24	,	97707	,	-27592	,	-25346	,	-11.149007	,	11
21,24	,	97723	,	-27598	,	-25387	,	-9.184191	,	12
21,24	,	97739	,	-27591	,	-25410	,	-7.603065	,	12
21,24	,	97771	,	-27595	,	-25381	,	-6.546224	,	11
21,24	,	97787	,	-27584	,	-25394	,	-5.8484917	,	10
21,24	,	97803	,	-27594	,	-25394	,	-5.2608175	,	8
21,24	,	97835	,	-27582	,	-25385	,	-4.6067715	,	7
21,24	,	97851	,	-27566	,	-25359	,	-3.691945	,	6
21,24	,	97883	,	-27558	,	-25311	,	-2.1784527	,	5
21,24	,	97899	,	-27538	,	-25308	,	0.26584506	,	5
21,24	,	97915	,	-27542	,	-25278	,	3.7407742	,	6
21,24	,	97946	,	-27535	,	-25297	,	7.956315	,	8
21,24	,	97963	,	-27534	,	-25320	,	12.306905	,	11
21,24	,	97979	,	-27547	,	-25306	,	16.094196	,	14
21,24	,	98011	,	-27549	,	-25315	,	18.624546	,	17
21,24	,	98027	,	-27554	,	-25309	,	19.388565	,	19
21,24	,	98059	,	-27556	,	-25316	,	18.269567	,	19
21,24	,	98075	,	-27558	,	-25333	,	15.53275	,	19
21,24	,	98091	,	-27566	,	-25348	,	11.664138	,	18
21,24	,	98123	,	-27569	,	-25347	,	7.1755915	,	16
21,24	,	98139	,	-27589	,	-25402	,	2.4407945	,	13
21,24	,	98155	,	-27618	,	-25432	,	-2.4945607	,	9
21,24	,	98187	,	-27631	,	-25453	,	-7.904893	,	5
21,24	,	98203	,	-27642	,	-25476	,	-13.966427	,	2
21,24	,	98219	,	-27659	,	-25505	,	-20.467205	,	0
21,24	,	98251	,	-27661	,	-25492	,	-26.919388	,	0
21,24	,	98266	,	-27681	,	-25508	,	-32.758194	,	0
21,24	,	98299	,	-27691	,	-25519	,	-37.564888	,	0
21,24	,	98315	,	-27688	,	-25534	,	-41.09811	,	0
21,24	,	98331	,	-27703	,	-25549	,	-43.149952	,	0
21,24	,	98363	,	-27707	,	-25555	,	-43.65442	,	0
21,24	,	98379	,	-27717	,	-25571	,	-42.80168	,	0
21,24	,	98395	,	-27716	,	-25577	,	-40.89096	,	0
21,24	,	98426	,	-27711	,	-25603	,	-38.12964	,	1
21,24	,	98442	,	-27725	,	-25609	,	-34.63514	,	3
21,24	,	98475	,	-27750	,	-25619	,	-30.770567	,	6
21,24	,	98491	,	-27741	,	-25600	,	-27.1997	,	9
21,25	,	98507	,	-27723	,	-25601	,	-24.244257	,	12
21,25	,	98539	,	-27716	,	-25599	,	-21.508608	,	14
21,25	,	98555	,	-27706	,	-25588	,	-18.341822	,	16
21,25	,	98571	,	-27690	,	-25574	,	-14.302301	,	19
21,25	,	98602	,	-27684	,	-25567	,	-9.227011	,	23
21,25	,	98618	,	-27688	,	-25560	,	-3.3239098	,	27
21,25	,	98651	,	-27685	,	-25569	,	2.7791247	,	30
21,25	,	98667	,	-27657	,	-25545	,	8.435015	,	33
21,25	,	98683	,	-27642	,	-25534	,	13.487385	,	35
21,25	,	98714	,	-27653	,	-25532	,	18.060167	,	37
21,25	,	98730	,	-27635	,	-25499	,	22.029955	,	39
21,25	,	98746	,	-27633	,	-25510	,	25.139362	,	40
21,25	,	98778	,	-27640	,	-25506	,	27.212944	,	40
21,25	,	98794	,	-27624	,	-25507	,	28.100891	,	38
21,25	,	98810	,	-27623	,	-25482	,	27.836264	,	33
21,25	,	98843	,	-27614	,	-25473	,	26.70439	,	28
21,25	,	98859	,	-27629	,	-25484	,	24.975979	,	22
21,25	,	98890	,	-27638	,	-25487	,	22.650179	,	17
21,25	,	98907	,	-27641	,	-25502	,	19.527119	,	12
21,25	,	98923	,	-27648	,	-25510	,	15.531643	,	8
21,25	,	98955	,	-27649	,	-25516	,	10.851594	,	5
21,25	,	98970	,	-27656	,	-25511	,	5.842642	,	2
21,25	,	98986	,	-27665	,	-25512	,	0.86345625	,	0
21,25	,	99018	,	-27672	,	-25513	,	-3.8532515	,	0
21,25	,	99035	,	-27677	,	-25505	,	-8.166765	,	0
21,25	,	99066	,	-27689	,	-25514	,	-11.97273	,	0
21,25	,	99082	,	-27677	,	-25522	,	-15.14941	,	0
21,25	,	99098	,	-27687	,	-25523	,	-17.470676	,	0
21,25	,	99130	,	-27694	,	-25531	,	-18.777672	,	0
21,25	,	99146	,	-27702	,	-25543	,	-19.204811	,	0
21,25	,	99162	,	-27709	,	-25545	,	-19.076859	,	0
21,25	,	99194	,	-27727	,	-25555	,	-18.775192	,	0
21,25	,	99210	,	-27722	,	-25535	,	-18.649479	,	0
21,25	,	99226	,	-27732	,	-25534	,	-18.822441	,	0
21,25	,	99258	,	-27715	,	-25523	,	-19.095352	,	0
21,25	,	99274	,	-27724	,	-25537	,	-19.060566	,	0
21,25	,	99306	,	-27737	,	-25538	,	-18.455746	,	0
21,25	,	99323	,	-27744	,	-25553	,	-17.454647	,	0
21,25	,	99339	,	-27744	,	-25545	,	-16.43409	,	1
21,25	,	99370	,	-27734	,	-25539	,	-15.53643	,	2
21,25	,	99386	,	-27729	,	-25536	,	-14.539896	,	2
21,25	,	99402	,	-27702	,	-25518	,	-12.975815	,	2
21,25	,	99434	,	-27723	,	-25533	,	-10.434219	,	3
21,25	,	99450	,	-27708	,	-25494	,	-6.971347	,	5
21,25	,	99482	,	-27688	,	-25453	,	-2.9336395	,	8
21,26	,	99498	,	-27660	,	-25424	,	1.6358461	,	12
21,26	,	99514	,	-27655	,	-25399	,	6.9576807	,	16
21,26	,	99546	,	-27654	,	-25399	,	12.945252	,	20
21,26	,	99562	,	-27658	,	-25382	,	18.943808	,	24
21,26	,	99578	,	-27671	,	-25414	,	23.958298	,	29
21,26	,	99610	,	-27678	,	-25388	,	27.00842	,	34
21,26	,	99626	,	-27674	,	-25397	,	27.505976	,	36
21,26	,	99642	,	-27658	,	-25386	,	25.606974	,	34
21,26	,	99674	,	-27664	,	-25396	,	22.121494	,	31
21,26	,	99690	,	-27666	,	-25350	,	17.937935	,	27
21,26	,	99722	,	-27661	,	-25379	,	13.6624	,	23
21,26	,	99738	,	-27675	,	-25386	,	9.656873	,	18
21,26	,	99754	,	-27672	,	-25411	,	6.0658245	,	13
21,26	,	99786	,	-27691	,	-25410	,	2.8370833	,	8
21,26	,	99802	,	-27689	,	-25424	,	-0.19677925	,	3
21,26	,	99818	,	-27700	,	-25425	,	-3.1818004	,	0
21,26	,	99850	,	-27695	,	-25427	,	-6.1010394	,	0
21,26	,	99866	,	-27707	,	-25430	,	-8.795086	,	0
21,26	,	99898	,	-27696	,	-25427	,	-11.050894	,	0
21,26	,	99914	,	-27706	,	-25456	,	-12.642744	,	0
21,26	,	99930	,	-27703	,	-25419	,	-13.433586	,	0
21,26	,	99962	,	-27724	,	-25432	,	-13.530829	,	0
21,26	,	99978	,	-27733	,	-25435	,	-13.349564	,	0
21,26	,	99994	,	-27719	,	-25428	,	-13.316652	,	0
21,26	,	100026	,	-27734	,	-25438	,	-13.483712	,	0
21,26	,	100042	,	-27733	,	-25429	,	-13.694132	,	0
21,26	,	100058	,	-27729	,	-25428	,	-13.81966	,	0
21,26	,	100090	,	-27730	,	-25427	,	-13.672964	,	0
21,26	,	100106	,	-27730	,	-25425	,	-13.068146	,	0
21,26	,	100138	,	-27718	,	-25420	,	-11.903885	,	0
21,26	,	100154	,	-27758	,	-25426	,	-10.288689	,	1
21,26	,	100170	,	-27727	,	-25392	,	-8.653007	,	2
21,26	,	100202	,	-27709	,	-25372	,	-7.172766	,	3
21,26	,	100218	,	-27710	,	-25365	,	-5.4120936	,	4
21,26	,	100234	,	-27709	,	-25363	,	-3.0019083	,	5
21,26	,	100266	,	-27706	,	-25369	,	-0.07279873	,	7
21,26	,	100282	,	-27697	,	-25363	,	3.0376635	,	9
21,26	,	100314	,	-27705	,	-25354	,	6.0104165	,	12
21,26	,	100330	,	-27706	,	-25358	,	8.483893	,	14
21,26	,	100346	,	-27689	,	-25332	,	10.175849	,	15
21,26	,	100378	,	-27690	,	-25304	,	11.149144	,	15
21,26	,	100394	,	-27697	,	-25326	,	11.611134	,	14
