Data recorded on Mon Jul 24 09-09-52 CAT 2017
Time: 9:9:58
Time		Millis		bpm		Period		SpO2
10,7	,	73547	,	59	,	1024	,	96.68276
10,8	,	75018	,	56	,	1471	,	95.739876
10,9	,	76026	,	57	,	1008	,	96.80355
10,10	,	77385	,	55	,	1359	,	96.730194
10,11	,	78521	,	54	,	1136	,	96.8588
10,12	,	79608	,	54	,	1087	,	96.39056
10,13	,	80600	,	54	,	992	,	95.69443
10,14	,	81608	,	54	,	1008	,	95.06761
10,15	,	82631	,	54	,	1023	,	96.03708
10,17	,	83799	,	53	,	1168	,	96.643036
10,18	,	84918	,	52	,	1119	,	97.98964
10,19	,	86486	,	52	,	1500	,	98.15935
10,21	,	88005	,	50	,	1500	,	98.75154
10,22	,	89125	,	51	,	1120	,	99.95713
10,23	,	90404	,	50	,	1279	,	99.202896
10,24	,	91412	,	51	,	1008	,	99.85617
10,25	,	92579	,	50	,	1167	,	101.099
10,26	,	93699	,	50	,	1120	,	102.106674
10,28	,	94786	,	49	,	1087	,	102.21388
10,29	,	95746	,	50	,	960	,	102.865234
10,30	,	96801	,	50	,	1055	,	103.198006
10,31	,	97745	,	53	,	944	,	103.790985
10,32	,	98817	,	55	,	1072	,	103.7771
10,33	,	99889	,	55	,	1072	,	101.93779
10,34	,	101408	,	54	,	1500	,	101.206116
10,36	,	103551	,	52	,	1500	,	99.44423
10,40	,	107661	,	50	,	1500	,	98.48608
10,41	,	108653	,	51	,	992	,	97.84056
10,42	,	109613	,	51	,	960	,	97.64254
10,43	,	110508	,	52	,	895	,	97.262886
10,44	,	111531	,	52	,	1023	,	97.153404
10,45	,	112635	,	51	,	1104	,	98.07079
10,47	,	114666	,	49	,	1500	,	98.11631
10,48	,	115658	,	50	,	992	,	98.45955
10,49	,	116633	,	52	,	975	,	99.525925
10,50	,	117689	,	54	,	1056	,	100.830444
10,51	,	118681	,	57	,	992	,	100.801346
10,52	,	119640	,	57	,	959	,	101.625755
10,53	,	120552	,	57	,	912	,	101.36814
10,54	,	121463	,	57	,	911	,	101.06688
10,55	,	122535	,	57	,	1072	,	100.90447
10,56	,	123654	,	57	,	1119	,	101.146996
10,57	,	124726	,	59	,	1072	,	101.606895
10,59	,	125766	,	59	,	1040	,	102.82208
11,0	,	126822	,	58	,	1056	,	102.41361
11,1	,	127877	,	58	,	1055	,	102.346344
11,2	,	128901	,	58	,	1024	,	102.97275
11,2	,	129716	,	59	,	815	,	101.83159
11,4	,	130788	,	58	,	1072	,	102.53925
11,5	,	131827	,	57	,	1039	,	103.032326
11,6	,	132899	,	57	,	1072	,	102.96062
