Data recorded on Mon Jul 24 09-12-50 CAT 2017
Time: 9:13:5
Time		Millis		IR PPG		Red PPG		Filtered		SSF
13,14	,	26344	,	-17446	,	-14017	,	-23.098627	,	0
13,14	,	26360	,	-17458	,	-14016	,	-21.968422	,	0
13,14	,	26376	,	-17452	,	-14019	,	-20.188	,	1
13,14	,	26407	,	-17467	,	-14026	,	-18.110468	,	2
13,14	,	26424	,	-17465	,	-14015	,	-16.071873	,	4
13,14	,	26440	,	-17475	,	-14022	,	-14.352335	,	6
13,14	,	26472	,	-17472	,	-14017	,	-13.095779	,	7
13,14	,	26488	,	-17469	,	-14025	,	-12.238131	,	8
13,14	,	26504	,	-17473	,	-14028	,	-11.543589	,	8
13,14	,	26536	,	-17476	,	-14033	,	-10.817429	,	8
13,14	,	26552	,	-17481	,	-14035	,	-10.044554	,	8
13,14	,	26584	,	-17482	,	-14026	,	-9.317682	,	7
13,14	,	26600	,	-17489	,	-14036	,	-8.737864	,	6
13,14	,	26616	,	-17488	,	-14039	,	-8.366953	,	4
13,14	,	26648	,	-17497	,	-14033	,	-8.220066	,	2
13,14	,	26663	,	-17494	,	-14031	,	-8.283696	,	1
13,14	,	26679	,	-17495	,	-14036	,	-8.482363	,	0
13,14	,	26712	,	-17503	,	-14023	,	-8.696836	,	0
13,14	,	26727	,	-17505	,	-14040	,	-8.888584	,	0
13,14	,	26759	,	-17507	,	-14039	,	-9.083969	,	0
13,14	,	26776	,	-17515	,	-14039	,	-9.297157	,	0
13,14	,	26792	,	-17517	,	-14048	,	-9.561474	,	0
13,14	,	26824	,	-17510	,	-14039	,	-9.858566	,	0
13,14	,	26840	,	-17501	,	-14045	,	-9.962345	,	0
13,14	,	26855	,	-17499	,	-14042	,	-9.516523	,	0
13,14	,	26888	,	-17484	,	-14037	,	-8.24063	,	0
13,14	,	26904	,	-17473	,	-14042	,	-5.953086	,	1
13,14	,	26920	,	-17480	,	-14032	,	-2.6526828	,	3
13,14	,	26952	,	-17474	,	-14031	,	1.2870119	,	6
13,14	,	26968	,	-17468	,	-14030	,	5.288147	,	9
13,14	,	26999	,	-17469	,	-14030	,	8.8877	,	13
13,14	,	27015	,	-17463	,	-14031	,	11.776019	,	16
13,14	,	27031	,	-17460	,	-14025	,	13.788403	,	18
13,14	,	27064	,	-17462	,	-14027	,	14.904894	,	20
13,14	,	27079	,	-17461	,	-14023	,	15.158957	,	21
13,14	,	27095	,	-17461	,	-14028	,	14.611818	,	20
13,14	,	27127	,	-17458	,	-14015	,	13.400021	,	18
13,14	,	27143	,	-17456	,	-14013	,	11.748526	,	15
13,14	,	27175	,	-17453	,	-14023	,	9.933275	,	12
13,14	,	27191	,	-17457	,	-14021	,	8.191381	,	8
13,14	,	27207	,	-17450	,	-14017	,	6.6584587	,	5
13,14	,	27240	,	-17448	,	-14021	,	5.428207	,	3
13,14	,	27255	,	-17443	,	-14019	,	4.608115	,	1
13,14	,	27271	,	-17447	,	-14020	,	4.2438726	,	0
13,14	,	27303	,	-17445	,	-14022	,	4.2361727	,	0
13,14	,	27319	,	-17448	,	-14025	,	4.383954	,	0
13,14	,	27335	,	-17450	,	-14026	,	4.4733267	,	0
13,15	,	27367	,	-17452	,	-14015	,	4.3254547	,	0
13,15	,	27383	,	-17459	,	-14017	,	3.8140597	,	0
13,15	,	27415	,	-17459	,	-14022	,	2.8696454	,	0
13,15	,	27431	,	-17455	,	-14029	,	1.5546846	,	0
13,15	,	27448	,	-17455	,	-14028	,	0.11507487	,	0
13,15	,	27479	,	-17472	,	-14029	,	-1.2382631	,	0
13,15	,	27495	,	-17469	,	-14032	,	-2.5465744	,	0
13,15	,	27511	,	-17469	,	-14034	,	-3.901872	,	0
13,15	,	27543	,	-17467	,	-14030	,	-5.192378	,	0
13,15	,	27559	,	-17470	,	-14034	,	-6.1994824	,	0
13,15	,	27591	,	-17480	,	-14041	,	-6.833809	,	0
13,15	,	27607	,	-17480	,	-14034	,	-7.215473	,	0
13,15	,	27623	,	-17495	,	-14045	,	-7.5704513	,	0
13,15	,	27655	,	-17496	,	-14045	,	-8.129486	,	0
13,15	,	27671	,	-17492	,	-14040	,	-8.980322	,	0
13,15	,	27687	,	-17489	,	-14037	,	-9.912535	,	0
13,15	,	27719	,	-17491	,	-14041	,	-10.558095	,	0
13,15	,	27735	,	-17496	,	-14048	,	-10.690578	,	0
13,15	,	27751	,	-17500	,	-14053	,	-10.348473	,	0
13,15	,	27783	,	-17507	,	-14059	,	-9.758121	,	0
13,15	,	27799	,	-17507	,	-14058	,	-9.178485	,	0
13,15	,	27831	,	-17519	,	-14077	,	-8.803736	,	0
13,15	,	27847	,	-17530	,	-14068	,	-8.821622	,	0
13,15	,	27863	,	-17517	,	-14069	,	-9.343134	,	0
13,15	,	27895	,	-17512	,	-14068	,	-10.114378	,	0
13,15	,	27911	,	-17508	,	-14066	,	-10.584744	,	0
13,15	,	27927	,	-17506	,	-14065	,	-10.31753	,	0
13,15	,	27959	,	-17517	,	-14067	,	-9.23719	,	0
13,15	,	27975	,	-17512	,	-14067	,	-7.6100264	,	1
13,15	,	28007	,	-17509	,	-14085	,	-5.7782173	,	2
13,15	,	28023	,	-17504	,	-14078	,	-3.913392	,	3
13,15	,	28039	,	-17495	,	-14076	,	-2.0102372	,	4
13,15	,	28071	,	-17500	,	-14085	,	-0.021791935	,	5
13,15	,	28087	,	-17512	,	-14063	,	1.9017048	,	6
13,15	,	28103	,	-17499	,	-14083	,	3.414707	,	7
13,15	,	28135	,	-17503	,	-14090	,	4.3236723	,	8
13,15	,	28151	,	-17518	,	-14095	,	4.601872	,	8
13,15	,	28183	,	-17518	,	-14093	,	4.1402802	,	7
13,15	,	28199	,	-17513	,	-14097	,	2.9052918	,	6
13,15	,	28215	,	-17523	,	-14098	,	1.1286647	,	5
13,15	,	28247	,	-17525	,	-14098	,	-0.9062524	,	4
13,15	,	28263	,	-17527	,	-14102	,	-3.0140972	,	3
13,15	,	28279	,	-17532	,	-14103	,	-5.0390244	,	2
13,15	,	28311	,	-17541	,	-14117	,	-6.879546	,	1
13,15	,	28327	,	-17540	,	-14098	,	-8.517925	,	0
13,16	,	28343	,	-17548	,	-14112	,	-9.939323	,	0
13,16	,	28375	,	-17547	,	-14116	,	-11.102779	,	0
13,16	,	28391	,	-17552	,	-14121	,	-11.95788	,	0
13,16	,	28423	,	-17559	,	-14122	,	-12.490089	,	0
13,16	,	28439	,	-17561	,	-14119	,	-12.773161	,	0
13,16	,	28455	,	-17569	,	-14122	,	-12.91887	,	0
13,16	,	28487	,	-17579	,	-14124	,	-13.056278	,	0
13,16	,	28503	,	-17572	,	-14127	,	-13.293998	,	0
13,16	,	28519	,	-17580	,	-14129	,	-13.584583	,	0
13,16	,	28551	,	-17576	,	-14147	,	-13.756449	,	0
13,16	,	28567	,	-17585	,	-14125	,	-13.6724	,	0
13,16	,	28599	,	-17598	,	-14143	,	-13.3752	,	0
13,16	,	28615	,	-17610	,	-14135	,	-13.163278	,	0
13,16	,	28631	,	-17613	,	-14138	,	-13.393174	,	0
13,16	,	28663	,	-17607	,	-14138	,	-14.129108	,	0
13,16	,	28679	,	-17604	,	-14140	,	-15.019799	,	0
13,16	,	28695	,	-17609	,	-14139	,	-15.562504	,	0
13,16	,	28727	,	-17616	,	-14143	,	-15.496876	,	0
13,16	,	28742	,	-17624	,	-14138	,	-14.932207	,	0
13,16	,	28759	,	-17614	,	-14148	,	-14.106967	,	0
13,16	,	28791	,	-17620	,	-14155	,	-13.106644	,	0
13,16	,	28807	,	-17625	,	-14134	,	-11.945733	,	1
13,16	,	28839	,	-17634	,	-14143	,	-10.789576	,	2
13,16	,	28855	,	-17623	,	-14143	,	-9.839377	,	3
13,16	,	28871	,	-17632	,	-14145	,	-9.102959	,	3
13,16	,	28903	,	-17634	,	-14147	,	-8.497342	,	3
13,16	,	28919	,	-17637	,	-14155	,	-8.020713	,	3
13,16	,	28935	,	-17638	,	-14148	,	-7.691189	,	3
13,16	,	28967	,	-17637	,	-14141	,	-7.4697685	,	3
13,16	,	28983	,	-17622	,	-14147	,	-7.193121	,	3
13,16	,	29015	,	-17620	,	-14135	,	-6.5383224	,	2
13,16	,	29031	,	-17607	,	-14145	,	-5.184573	,	1
13,16	,	29047	,	-17598	,	-14127	,	-2.9534366	,	1
