Data recorded on Mon Jul 24 10-59-28 CAT 2017
Time: 10:59:36
Time		Millis		bpm		Period		SpO2
59,45	,	162689	,	57	,	1008	,	99.352875
59,45	,	163745	,	57	,	1056	,	99.201614
59,46	,	164816	,	57	,	1071	,	99.24334
59,47	,	165920	,	56	,	1104	,	99.16192
59,48	,	166944	,	56	,	1024	,	98.98039
59,49	,	168015	,	57	,	1071	,	99.10042
59,51	,	169134	,	56	,	1119	,	100.20694
59,52	,	170158	,	55	,	1024	,	101.3859
59,53	,	171118	,	55	,	960	,	102.21393
59,54	,	172173	,	57	,	1055	,	102.09525
59,55	,	173341	,	56	,	1168	,	102.08243
59,56	,	174413	,	56	,	1072	,	101.89268
59,57	,	175436	,	56	,	1023	,	101.965836
59,58	,	176507	,	56	,	1071	,	102.2149
59,59	,	177627	,	56	,	1120	,	102.38109
0,0	,	178731	,	56	,	1104	,	102.527596
0,1	,	179770	,	56	,	1039	,	102.42589
0,2	,	180762	,	56	,	992	,	102.34854
0,3	,	181817	,	56	,	1055	,	102.25169
0,4	,	182905	,	55	,	1088	,	102.37423
0,5	,	183993	,	56	,	1088	,	102.561
0,6	,	184968	,	56	,	975	,	102.891716
0,7	,	185880	,	57	,	912	,	102.72392
0,8	,	186887	,	57	,	1007	,	102.17312
0,9	,	188007	,	57	,	1120	,	102.11914
0,11	,	189063	,	58	,	1056	,	101.9253
0,11	,	190022	,	58	,	959	,	102.14187
0,12	,	191014	,	58	,	992	,	102.17617
0,14	,	192085	,	58	,	1071	,	102.25783
0,15	,	193205	,	58	,	1120	,	102.19885
0,16	,	194228	,	58	,	1023	,	101.74759
0,17	,	195220	,	58	,	992	,	101.66282
0,18	,	196228	,	58	,	1008	,	101.68353
0,19	,	197315	,	57	,	1087	,	101.98619
0,20	,	198325	,	58	,	1010	,	102.20668
0,21	,	199282	,	58	,	957	,	102.29501
0,22	,	200290	,	58	,	1008	,	102.05082
0,23	,	201361	,	58	,	1071	,	101.741234
0,24	,	202417	,	58	,	1056	,	101.788284
0,25	,	203377	,	58	,	960	,	101.67748
0,26	,	204256	,	59	,	879	,	101.93244
0,27	,	205136	,	60	,	880	,	101.84799
0,28	,	206144	,	60	,	1008	,	101.560394
0,29	,	207199	,	60	,	1055	,	101.47151
0,30	,	208159	,	61	,	960	,	101.25384
0,31	,	209167	,	60	,	1008	,	101.26753
0,32	,	210238	,	60	,	1071	,	101.45587
0,33	,	211294	,	60	,	1056	,	101.653725
0,34	,	212269	,	60	,	975	,	101.72964
0,35	,	213277	,	60	,	1008	,	101.52921
0,36	,	214300	,	59	,	1023	,	101.5636
0,37	,	215356	,	58	,	1056	,	101.752686
0,38	,	216395	,	58	,	1039	,	102.20094
0,39	,	217307	,	59	,	912	,	102.206535
0,40	,	218315	,	59	,	1008	,	101.7799
0,41	,	219371	,	58	,	1056	,	101.66793
0,42	,	220410	,	58	,	1039	,	101.44922
0,43	,	221402	,	59	,	992	,	101.49093
0,44	,	222457	,	58	,	1055	,	101.27869
