Data recorded on Mon Jul 24 10-59-28 CAT 2017
Time: 10:59:36
Time		Millis		IR PPG		Red PPG		Filtered		SSF
59,45	,	163025	,	-19395	,	-17227	,	-10.318586	,	0
59,45	,	163041	,	-19398	,	-17239	,	-13.0385065	,	0
59,45	,	163073	,	-19405	,	-17242	,	-15.872404	,	0
59,45	,	163089	,	-19423	,	-17235	,	-18.60606	,	0
59,45	,	163105	,	-19421	,	-17248	,	-21.124237	,	0
59,45	,	163137	,	-19429	,	-17243	,	-23.306606	,	0
59,45	,	163153	,	-19436	,	-17249	,	-24.969898	,	0
59,45	,	163169	,	-19438	,	-17247	,	-25.991323	,	0
59,45	,	163201	,	-19449	,	-17252	,	-26.347528	,	0
59,45	,	163217	,	-19460	,	-17263	,	-26.153116	,	0
59,45	,	163233	,	-19461	,	-17265	,	-25.639465	,	0
59,45	,	163265	,	-19478	,	-17268	,	-25.025871	,	0
59,45	,	163281	,	-19480	,	-17262	,	-24.494358	,	0
59,45	,	163313	,	-19481	,	-17276	,	-24.116074	,	0
59,45	,	163329	,	-19500	,	-17275	,	-23.830902	,	0
59,45	,	163345	,	-19511	,	-17282	,	-23.685547	,	0
59,45	,	163377	,	-19508	,	-17281	,	-23.810303	,	0
59,45	,	163393	,	-19510	,	-17289	,	-24.103477	,	0
59,45	,	163409	,	-19519	,	-17279	,	-24.27116	,	0
59,45	,	163441	,	-19533	,	-17292	,	-24.172752	,	0
59,45	,	163458	,	-19541	,	-17292	,	-23.941704	,	0
59,45	,	163489	,	-19543	,	-17287	,	-23.763683	,	0
59,45	,	163505	,	-19511	,	-17282	,	-23.478752	,	0
59,45	,	163521	,	-19475	,	-17261	,	-22.264105	,	0
59,45	,	163553	,	-19435	,	-17247	,	-18.822113	,	1
59,45	,	163569	,	-19408	,	-17253	,	-12.070059	,	4
59,45	,	163585	,	-19397	,	-17233	,	-1.8290615	,	10
59,45	,	163617	,	-19385	,	-17240	,	10.943584	,	20
59,45	,	163633	,	-19375	,	-17239	,	24.557613	,	32
59,45	,	163665	,	-19376	,	-17223	,	37.198826	,	45
59,45	,	163681	,	-19364	,	-17223	,	47.34536	,	57
59,45	,	163697	,	-19345	,	-17225	,	54.14831	,	67
59,45	,	163729	,	-19337	,	-17223	,	57.596336	,	73
59,45	,	163745	,	-19334	,	-17227	,	58.166935	,	75
59,45	,	163761	,	-19341	,	-17220	,	56.34197	,	72
59,45	,	163793	,	-19338	,	-17230	,	52.457016	,	66
59,45	,	163809	,	-19338	,	-17229	,	46.87307	,	56
59,45	,	163825	,	-19332	,	-17227	,	40.143627	,	44
59,45	,	163857	,	-19335	,	-17230	,	32.94683	,	31
59,45	,	163873	,	-19328	,	-17233	,	25.910353	,	19
59,45	,	163904	,	-19333	,	-17207	,	19.514029	,	9
59,45	,	163920	,	-19336	,	-17229	,	14.019371	,	3
59,45	,	163937	,	-19340	,	-17232	,	9.447463	,	0
59,45	,	163969	,	-19346	,	-17233	,	5.667433	,	0
59,45	,	163985	,	-19353	,	-17235	,	2.4709382	,	0
59,45	,	164001	,	-19374	,	-17240	,	-0.44797373	,	0
59,46	,	164033	,	-19364	,	-17248	,	-3.4047828	,	0
59,46	,	164049	,	-19387	,	-17246	,	-6.50984	,	0
59,46	,	164081	,	-19392	,	-17254	,	-9.732516	,	0
59,46	,	164097	,	-19398	,	-17257	,	-13.02851	,	0
59,46	,	164113	,	-19402	,	-17262	,	-16.229618	,	0
59,46	,	164144	,	-19420	,	-17254	,	-19.114626	,	0
59,46	,	164160	,	-19425	,	-17269	,	-21.61287	,	0
59,46	,	164177	,	-19437	,	-17269	,	-23.766117	,	0
59,46	,	164209	,	-19441	,	-17264	,	-25.588778	,	0
59,46	,	164225	,	-19447	,	-17281	,	-27.020504	,	0
59,46	,	164241	,	-19452	,	-17279	,	-27.953773	,	0
59,46	,	164273	,	-19461	,	-17279	,	-28.320997	,	0
59,46	,	164289	,	-19464	,	-17277	,	-28.149773	,	0
59,46	,	164320	,	-19473	,	-17291	,	-27.532757	,	0
59,46	,	164336	,	-19481	,	-17289	,	-26.617214	,	0
59,46	,	164353	,	-19500	,	-17299	,	-25.651499	,	0
59,46	,	164385	,	-19506	,	-17275	,	-24.96445	,	0
59,46	,	164401	,	-19511	,	-17301	,	-24.76686	,	0
59,46	,	164417	,	-19521	,	-17303	,	-25.01044	,	0
59,46	,	164448	,	-19540	,	-17308	,	-25.574532	,	0
59,46	,	164465	,	-19524	,	-17314	,	-26.350933	,	0
59,46	,	164496	,	-19538	,	-17319	,	-27.035717	,	0
59,46	,	164512	,	-19548	,	-17314	,	-27.291641	,	0
59,46	,	164529	,	-19562	,	-17320	,	-27.122929	,	0
59,46	,	164560	,	-19570	,	-17324	,	-26.80069	,	0
59,46	,	164576	,	-19565	,	-17318	,	-26.515295	,	0
59,46	,	164593	,	-19548	,	-17327	,	-26.0736	,	0
59,46	,	164624	,	-19517	,	-17286	,	-24.785603	,	0
59,46	,	164640	,	-19442	,	-17274	,	-21.435421	,	1
59,46	,	164656	,	-19435	,	-17260	,	-14.617975	,	4
59,46	,	164688	,	-19415	,	-17263	,	-3.833727	,	10
59,46	,	164704	,	-19408	,	-17264	,	9.8948345	,	20
59,46	,	164737	,	-19406	,	-17262	,	24.592028	,	33
59,46	,	164752	,	-19409	,	-17257	,	38.069897	,	47
59,46	,	164768	,	-19408	,	-17257	,	48.457687	,	60
59,46	,	164800	,	-19397	,	-17257	,	54.65972	,	70
59,46	,	164816	,	-19386	,	-17251	,	56.585777	,	76
59,46	,	164832	,	-19392	,	-17260	,	54.909256	,	76
59,46	,	164864	,	-19392	,	-17236	,	50.505894	,	73
59,46	,	164880	,	-19394	,	-17247	,	44.168007	,	67
59,46	,	164912	,	-19399	,	-17259	,	36.631386	,	57
59,46	,	164928	,	-19392	,	-17251	,	28.609606	,	44
59,46	,	164944	,	-19395	,	-17248	,	20.800188	,	30
59,46	,	164977	,	-19379	,	-17247	,	13.864866	,	17
59,46	,	164992	,	-19393	,	-17247	,	8.319262	,	7
59,46	,	165008	,	-19382	,	-17254	,	4.3558464	,	1
59,47	,	165040	,	-19394	,	-17252	,	1.8349552	,	0
59,47	,	165056	,	-19390	,	-17263	,	0.42173386	,	0
59,47	,	165072	,	-19408	,	-17266	,	-0.3440292	,	0
59,47	,	165105	,	-19406	,	-17238	,	-0.97062385	,	0
59,47	,	165120	,	-19434	,	-17256	,	-1.93635	,	0
59,47	,	165152	,	-19440	,	-17261	,	-3.6823862	,	0
59,47	,	165168	,	-19439	,	-17263	,	-6.412775	,	0
59,47	,	165184	,	-19456	,	-17271	,	-9.900234	,	0
59,47	,	165216	,	-19460	,	-17278	,	-13.730879	,	0
59,47	,	165232	,	-19466	,	-17271	,	-17.52218	,	0
59,47	,	165248	,	-19477	,	-17270	,	-20.92512	,	0
59,47	,	165280	,	-19466	,	-17280	,	-23.625523	,	0
59,47	,	165296	,	-19478	,	-17278	,	-25.309843	,	0
59,47	,	165328	,	-19483	,	-17290	,	-25.82174	,	0
59,47	,	165344	,	-19495	,	-17272	,	-25.350918	,	0
59,47	,	165360	,	-19490	,	-17279	,	-24.266895	,	0
59,47	,	165392	,	-19500	,	-17285	,	-22.851707	,	1
59,47	,	165408	,	-19515	,	-17287	,	-21.341885	,	2
59,47	,	165424	,	-19517	,	-17289	,	-20.050722	,	3
59,47	,	165458	,	-19519	,	-17292	,	-19.187096	,	4
59,47	,	165472	,	-19523	,	-17287	,	-18.695198	,	4
59,47	,	165504	,	-19526	,	-17301	,	-18.3812	,	4
59,47	,	165520	,	-19545	,	-17299	,	-18.139309	,	4
59,47	,	165536	,	-19541	,	-17294	,	-18.034882	,	4
59,47	,	165568	,	-19553	,	-17314	,	-18.13512	,	4
59,47	,	165584	,	-19561	,	-17290	,	-18.431305	,	3
59,47	,	165600	,	-19575	,	-17304	,	-18.963188	,	2
59,47	,	165632	,	-19584	,	-17303	,	-19.829899	,	1
59,47	,	165648	,	-19575	,	-17303	,	-20.988794	,	0
59,47	,	165664	,	-19546	,	-17287	,	-21.93151	,	0
59,47	,	165696	,	-19533	,	-17280	,	-21.669716	,	0
59,47	,	165712	,	-19475	,	-17261	,	-19.083473	,	0
59,47	,	165744	,	-19458	,	-17253	,	-13.230358	,	2
59,47	,	165760	,	-19436	,	-17245	,	-3.8268433	,	7
59,47	,	165776	,	-19430	,	-17243	,	8.344931	,	16
59,47	,	165808	,	-19417	,	-17247	,	21.704319	,	28
59,47	,	165824	,	-19419	,	-17226	,	34.436142	,	41
59,47	,	165840	,	-19403	,	-17224	,	44.961823	,	53
59,47	,	165872	,	-19409	,	-17227	,	52.26249	,	63
59,47	,	165888	,	-19401	,	-17218	,	55.911526	,	70
59,47	,	165920	,	-19394	,	-17227	,	56.014202	,	73
59,47	,	165936	,	-19401	,	-17230	,	53.115677	,	71
59,47	,	165952	,	-19402	,	-17229	,	47.907604	,	66
