Data recorded on Mon Jul 24 11-23-04 CAT 2017
Time: 11:24:47
Time		Millis		bpm		Period		SpO2
24,56	,	132076	,	80	,	608	,	95.57118
24,56	,	132716	,	80	,	640	,	95.60933
24,57	,	133371	,	81	,	655	,	95.72071
24,57	,	134043	,	81	,	672	,	95.59208
24,58	,	134731	,	81	,	688	,	95.4599
24,59	,	135402	,	81	,	671	,	95.30543
24,59	,	136058	,	82	,	656	,	95.27463
25,0	,	136714	,	84	,	656	,	98.88297
25,1	,	137354	,	91	,	640	,	100.223946
25,1	,	137993	,	92	,	639	,	100.33211
25,2	,	138665	,	91	,	672	,	100.295845
25,3	,	139305	,	91	,	640	,	100.34092
25,3	,	139961	,	91	,	656	,	100.27931
25,4	,	140650	,	90	,	689	,	100.24397
25,5	,	141304	,	91	,	654	,	100.22365
25,5	,	141992	,	91	,	688	,	100.341225
25,6	,	142680	,	90	,	688	,	100.261536
25,7	,	143351	,	90	,	671	,	100.21013
25,7	,	144055	,	89	,	704	,	99.97188
25,8	,	144758	,	88	,	703	,	100.007614
25,9	,	145494	,	87	,	736	,	100.1681
25,10	,	146246	,	86	,	752	,	100.305275
25,10	,	146966	,	85	,	720	,	100.20913
25,11	,	147686	,	85	,	720	,	100.13899
25,12	,	148389	,	84	,	703	,	100.14826
25,12	,	149077	,	84	,	688	,	99.796364
25,13	,	149701	,	85	,	624	,	99.98372
25,14	,	150357	,	85	,	656	,	100.06871
25,14	,	150996	,	86	,	639	,	100.34123
25,15	,	151652	,	87	,	656	,	100.15891
25,16	,	152308	,	88	,	656	,	99.90164
25,16	,	152996	,	88	,	688	,	99.840645
25,17	,	153795	,	87	,	799	,	99.814064
25,18	,	154596	,	86	,	801	,	99.85813
25,19	,	155331	,	86	,	735	,	99.929214
25,19	,	156082	,	85	,	751	,	100.22428
25,20	,	156802	,	84	,	720	,	100.02353
25,21	,	157458	,	84	,	656	,	100.01033
25,22	,	158114	,	84	,	656	,	99.826675
25,22	,	158753	,	84	,	639	,	99.85597
25,23	,	159377	,	84	,	624	,	100.13556
25,23	,	160017	,	85	,	640	,	99.94903
25,24	,	160689	,	87	,	672	,	100.09291
25,25	,	161424	,	87	,	735	,	100.15368
25,26	,	162192	,	87	,	768	,	99.96763
25,26	,	162928	,	87	,	736	,	99.99221
25,27	,	163631	,	87	,	703	,	100.17325
25,28	,	164335	,	87	,	704	,	100.071686
25,28	,	165007	,	87	,	672	,	100.20686
25,29	,	165663	,	86	,	656	,	100.28661
25,30	,	166318	,	86	,	655	,	100.03172
25,30	,	167038	,	85	,	720	,	100.092224
25,31	,	167774	,	84	,	736	,	100.15456
25,32	,	168526	,	84	,	752	,	100.0918
25,33	,	169293	,	84	,	767	,	100.342285
25,33	,	170029	,	84	,	736	,	100.23657
25,34	,	170749	,	84	,	720	,	100.112724
25,35	,	171420	,	84	,	671	,	100.358185
25,36	,	172108	,	84	,	688	,	99.98234
25,36	,	172780	,	84	,	672	,	99.87443
25,37	,	173499	,	83	,	719	,	99.96479
25,38	,	174267	,	83	,	768	,	100.00559
25,38	,	175019	,	82	,	752	,	99.88231
25,39	,	175755	,	83	,	736	,	99.969925
25,40	,	176507	,	83	,	752	,	99.44819
25,41	,	177210	,	83	,	703	,	99.534805
25,41	,	177898	,	84	,	688	,	99.5234
25,42	,	178553	,	84	,	655	,	99.47513
25,43	,	179241	,	84	,	688	,	99.696434
25,43	,	179945	,	83	,	704	,	99.7014
25,44	,	180633	,	84	,	688	,	99.669876
25,45	,	181337	,	84	,	704	,	99.52935
25,45	,	182040	,	85	,	703	,	99.49263
25,46	,	182728	,	86	,	688	,	99.454254
25,47	,	183416	,	86	,	688	,	99.83317
25,47	,	184071	,	87	,	655	,	99.82555
25,48	,	184759	,	87	,	688	,	99.89432
25,49	,	185463	,	86	,	704	,	99.91494
25,50	,	186231	,	85	,	768	,	99.897835
25,50	,	186983	,	85	,	752	,	100.06444
25,51	,	187734	,	84	,	751	,	100.20226
25,52	,	188456	,	84	,	722	,	100.43014
25,53	,	189173	,	84	,	717	,	100.47032
25,53	,	189877	,	84	,	704	,	100.402985
25,54	,	190581	,	83	,	704	,	100.40446
25,55	,	191285	,	83	,	704	,	100.29001
25,55	,	192005	,	82	,	720	,	100.124596
