Data recorded on Mon Jul 24 11-23-04 CAT 2017
Time: 11:24:47
Time		Millis		IR PPG		Red PPG		Filtered		SSF
24,56	,	132108	,	-26207	,	-27416	,	25.297276	,	61
24,56	,	132124	,	-26225	,	-27420	,	20.785336	,	57
24,56	,	132140	,	-26221	,	-27393	,	15.105399	,	50
24,56	,	132171	,	-26231	,	-27419	,	8.879411	,	40
24,56	,	132188	,	-26236	,	-27425	,	2.6758127	,	29
24,56	,	132203	,	-26245	,	-27428	,	-3.0930915	,	18
24,56	,	132236	,	-26255	,	-27425	,	-8.208134	,	9
24,56	,	132252	,	-26257	,	-27431	,	-12.575731	,	3
24,56	,	132268	,	-26279	,	-27445	,	-16.19298	,	0
24,56	,	132300	,	-26282	,	-27452	,	-19.194378	,	0
24,56	,	132316	,	-26300	,	-27445	,	-21.787733	,	0
24,56	,	132348	,	-26300	,	-27453	,	-24.102741	,	0
24,56	,	132364	,	-26317	,	-27482	,	-26.152828	,	0
24,56	,	132380	,	-26339	,	-27455	,	-27.986319	,	0
24,56	,	132412	,	-26362	,	-27484	,	-29.871601	,	0
24,56	,	132428	,	-26367	,	-27479	,	-32.12979	,	0
24,56	,	132444	,	-26369	,	-27491	,	-34.724854	,	0
24,56	,	132475	,	-26351	,	-27477	,	-37.0605	,	0
24,56	,	132491	,	-26317	,	-27450	,	-38.02748	,	0
24,56	,	132524	,	-26306	,	-27446	,	-36.36241	,	0
24,56	,	132540	,	-26291	,	-27443	,	-31.33803	,	1
24,56	,	132556	,	-26292	,	-27427	,	-23.204323	,	6
24,56	,	132588	,	-26274	,	-27431	,	-12.99025	,	14
24,56	,	132603	,	-26271	,	-27439	,	-1.9788857	,	24
24,56	,	132619	,	-26275	,	-27413	,	8.589699	,	35
24,56	,	132651	,	-26272	,	-27422	,	17.565363	,	45
24,56	,	132667	,	-26270	,	-27419	,	24.097765	,	53
24,56	,	132686	,	-26276	,	-27425	,	27.817932	,	59
24,56	,	132716	,	-26283	,	-27430	,	28.717972	,	62
24,56	,	132731	,	-26292	,	-27428	,	26.996178	,	61
24,56	,	132764	,	-26293	,	-27425	,	23.054287	,	56
24,56	,	132779	,	-26296	,	-27425	,	17.53949	,	48
24,56	,	132795	,	-26299	,	-27430	,	11.257163	,	38
24,56	,	132827	,	-26287	,	-27430	,	5.043103	,	27
24,56	,	132843	,	-26304	,	-27427	,	-0.3736515	,	17
24,56	,	132859	,	-26314	,	-27434	,	-4.6755295	,	9
24,56	,	132892	,	-26318	,	-27440	,	-8.017641	,	3
24,56	,	132907	,	-26333	,	-27448	,	-10.710175	,	0
24,56	,	132939	,	-26351	,	-27444	,	-13.104329	,	0
24,56	,	132955	,	-26351	,	-27462	,	-15.546162	,	0
24,56	,	132971	,	-26362	,	-27459	,	-18.134947	,	0
24,56	,	133003	,	-26368	,	-27462	,	-20.711521	,	0
24,56	,	133019	,	-26390	,	-27474	,	-23.12954	,	0
24,56	,	133035	,	-26390	,	-27478	,	-25.376053	,	0
24,56	,	133067	,	-26414	,	-27495	,	-27.47674	,	0
24,56	,	133083	,	-26425	,	-27469	,	-29.490572	,	0
24,57	,	133099	,	-26415	,	-27486	,	-31.406998	,	0
24,57	,	133131	,	-26391	,	-27462	,	-32.7554	,	0
24,57	,	133147	,	-26366	,	-27454	,	-32.52201	,	0
24,57	,	133179	,	-26352	,	-27455	,	-29.671886	,	0
24,57	,	133195	,	-26337	,	-27451	,	-23.770004	,	2
24,57	,	133211	,	-26335	,	-27434	,	-15.214841	,	7
24,57	,	133243	,	-26331	,	-27430	,	-5.0868235	,	15
24,57	,	133259	,	-26307	,	-27429	,	5.321292	,	25
24,57	,	133275	,	-26323	,	-27424	,	14.933025	,	35
24,57	,	133307	,	-26299	,	-27438	,	22.92292	,	44
24,57	,	133323	,	-26311	,	-27407	,	28.749855	,	51
24,57	,	133355	,	-26325	,	-27423	,	32.08417	,	56
24,57	,	133371	,	-26321	,	-27421	,	32.66104	,	59
24,57	,	133387	,	-26315	,	-27425	,	30.592525	,	57
24,57	,	133419	,	-26323	,	-27429	,	26.523697	,	52
24,57	,	133435	,	-26335	,	-27420	,	21.204823	,	44
24,57	,	133451	,	-26328	,	-27425	,	15.219729	,	34
24,57	,	133483	,	-26345	,	-27438	,	9.074108	,	24
24,57	,	133499	,	-26341	,	-27429	,	3.190938	,	15
24,57	,	133515	,	-26341	,	-27440	,	-2.0740347	,	8
24,57	,	133547	,	-26355	,	-27426	,	-6.4140434	,	3
24,57	,	133563	,	-26357	,	-27440	,	-9.753488	,	0
24,57	,	133595	,	-26382	,	-27446	,	-12.320665	,	0
24,57	,	133611	,	-26397	,	-27454	,	-14.584	,	0
24,57	,	133627	,	-26389	,	-27459	,	-16.9644	,	0
24,57	,	133659	,	-26403	,	-27464	,	-19.453022	,	0
24,57	,	133677	,	-26412	,	-27465	,	-21.784061	,	0
24,57	,	133691	,	-26430	,	-27476	,	-23.848759	,	0
24,57	,	133723	,	-26442	,	-27486	,	-25.751919	,	0
24,57	,	133739	,	-26445	,	-27494	,	-27.608807	,	0
24,57	,	133771	,	-26460	,	-27505	,	-29.383076	,	0
24,57	,	133787	,	-26452	,	-27476	,	-30.890171	,	0
24,57	,	133803	,	-26400	,	-27461	,	-31.541445	,	0
24,57	,	133835	,	-26379	,	-27435	,	-30.103802	,	0
24,57	,	133851	,	-26367	,	-27441	,	-25.419737	,	1
24,57	,	133867	,	-26349	,	-27424	,	-17.32209	,	5
24,57	,	133899	,	-26334	,	-27432	,	-6.583618	,	13
24,57	,	133915	,	-26311	,	-27418	,	5.6358576	,	23
24,57	,	133931	,	-26322	,	-27419	,	18.056376	,	35
24,57	,	133963	,	-26304	,	-27412	,	29.31322	,	47
24,57	,	133979	,	-26313	,	-27416	,	38.205624	,	58
24,57	,	134011	,	-26322	,	-27426	,	43.89093	,	66
24,57	,	134027	,	-26317	,	-27394	,	45.8983	,	71
24,57	,	134043	,	-26316	,	-27417	,	44.335625	,	72
24,57	,	134075	,	-26314	,	-27414	,	39.927032	,	68
24,57	,	134091	,	-26313	,	-27403	,	33.692097	,	60
24,58	,	134107	,	-26327	,	-27413	,	26.58322	,	50
24,58	,	134139	,	-26310	,	-27417	,	19.33643	,	38
24,58	,	134155	,	-26327	,	-27412	,	12.557844	,	26
24,58	,	134187	,	-26329	,	-27423	,	6.6373205	,	15
24,58	,	134203	,	-26326	,	-27414	,	1.6903877	,	7
24,58	,	134219	,	-26336	,	-27422	,	-2.2506094	,	2
24,58	,	134251	,	-26337	,	-27422	,	-5.2257357	,	0
24,58	,	134267	,	-26337	,	-27427	,	-7.3573484	,	0
24,58	,	134283	,	-26367	,	-27428	,	-8.865549	,	0
24,58	,	134315	,	-26376	,	-27438	,	-10.2467375	,	0
24,58	,	134331	,	-26385	,	-27442	,	-12.070679	,	0
24,58	,	134363	,	-26396	,	-27450	,	-14.565701	,	0
24,58	,	134379	,	-26416	,	-27459	,	-17.66619	,	0
24,58	,	134395	,	-26421	,	-27460	,	-21.228594	,	0
24,58	,	134427	,	-26426	,	-27475	,	-24.971682	,	0
24,58	,	134443	,	-26444	,	-27475	,	-28.479956	,	0
24,58	,	134459	,	-26449	,	-27493	,	-31.44354	,	0
24,58	,	134491	,	-26439	,	-27453	,	-33.62095	,	0
24,58	,	134507	,	-26386	,	-27431	,	-34.36062	,	0
24,58	,	134523	,	-26356	,	-27416	,	-32.396	,	0
24,58	,	134555	,	-26335	,	-27412	,	-26.555931	,	1
24,58	,	134571	,	-26317	,	-27402	,	-16.676542	,	6
24,58	,	134603	,	-26308	,	-27394	,	-3.7269974	,	15
24,58	,	134619	,	-26295	,	-27399	,	10.636218	,	27
24,58	,	134635	,	-26295	,	-27387	,	24.574125	,	41
24,58	,	134667	,	-26296	,	-27388	,	36.41433	,	54
24,58	,	134682	,	-26292	,	-27383	,	44.90113	,	65
24,58	,	134699	,	-26300	,	-27408	,	49.388863	,	73
24,58	,	134731	,	-26295	,	-27366	,	49.843765	,	77
24,58	,	134747	,	-26309	,	-27383	,	46.710953	,	76
24,58	,	134778	,	-26291	,	-27390	,	40.80253	,	71
24,58	,	134795	,	-26291	,	-27383	,	33.26159	,	62
24,58	,	134811	,	-26303	,	-27392	,	25.27948	,	50
24,58	,	134843	,	-26298	,	-27387	,	17.673826	,	36
24,58	,	134859	,	-26303	,	-27385	,	10.905401	,	23
24,58	,	134875	,	-26313	,	-27383	,	5.205015	,	12
24,58	,	134907	,	-26311	,	-27384	,	0.5623102	,	4
24,58	,	134923	,	-26323	,	-27395	,	-3.1518354	,	0
24,58	,	134938	,	-26328	,	-27393	,	-6.110178	,	0
24,58	,	134971	,	-26322	,	-27401	,	-8.464498	,	0
24,58	,	134987	,	-26362	,	-27405	,	-10.378354	,	0
24,58	,	135019	,	-26364	,	-27416	,	-12.277787	,	0
24,58	,	135035	,	-26363	,	-27415	,	-14.578032	,	0
24,58	,	135050	,	-26378	,	-27422	,	-17.224907	,	0
24,58	,	135082	,	-26396	,	-27429	,	-19.986996	,	0
24,59	,	135098	,	-26392	,	-27439	,	-22.748505	,	0
24,59	,	135115	,	-26404	,	-27442	,	-25.312675	,	0
24,59	,	135147	,	-26410	,	-27443	,	-27.39698	,	0
24,59	,	135163	,	-26401	,	-27445	,	-28.751385	,	0
24,59	,	135195	,	-26356	,	-27393	,	-28.865562	,	0
24,59	,	135210	,	-26312	,	-27373	,	-26.645977	,	0
24,59	,	135227	,	-26296	,	-27370	,	-20.893412	,	2
24,59	,	135258	,	-26269	,	-27366	,	-11.251412	,	7
24,59	,	135275	,	-26265	,	-27363	,	1.4802761	,	16
24,59	,	135291	,	-26257	,	-27358	,	15.671563	,	28
24,59	,	135322	,	-26247	,	-27350	,	29.389887	,	42
24,59	,	135338	,	-26234	,	-27350	,	41.02186	,	55
24,59	,	135354	,	-26247	,	-27345	,	49.520676	,	66
24,59	,	135386	,	-26238	,	-27359	,	54.26596	,	74
24,59	,	135402	,	-26250	,	-27373	,	55.06226	,	78
24,59	,	135435	,	-26250	,	-27327	,	52.169582	,	76
24,59	,	135451	,	-26244	,	-27334	,	46.260674	,	71
24,59	,	135467	,	-26242	,	-27336	,	38.40374	,	62
