Data recorded on Mon Jul 24 11-23-04 CAT 2017
Time: 11:24:47
Time		Millis		objTemp		dieTemp		sensorVoltage
24,56	,	130137	,	1.62	,	-0.03	,	-1.0
24,58	,	134152	,	-10.59	,	-0.03	,	-385.0
25,2	,	138151	,	1.62	,	-0.03	,	-1.0
25,6	,	142165	,	1.62	,	-0.03	,	-1.0
25,10	,	146179	,	1.62	,	-0.03	,	-1.0
25,14	,	150194	,	1.62	,	-0.03	,	-1.0
25,18	,	154208	,	33.95	,	-1.88	,	-238.0
25,22	,	158223	,	1.62	,	-0.03	,	-1.0
25,26	,	162237	,	1.62	,	-0.03	,	-1.0
25,30	,	166251	,	-2.65	,	-0.03	,	-1.0
25,34	,	170266	,	1.62	,	-0.03	,	-1.0
25,38	,	174280	,	-2.25	,	-1.41	,	-180.0
25,42	,	178295	,	1.62	,	-0.03	,	-1.0
25,46	,	182309	,	1.62	,	-0.03	,	-1.0
25,50	,	186323	,	-1.77	,	-1.25	,	-158.0
25,54	,	190338	,	1.62	,	-0.03	,	-1.0
