Data recorded on Mon Jul 24 11-59-52 CAT 2017
Time: 12:0:10
Time		Millis		IR PPG		Red PPG		Filtered		SSF
0,19	,	46792	,	-17634	,	-16264	,	4.6327696	,	1
0,19	,	46824	,	-17642	,	-16259	,	4.0964947	,	0
0,19	,	46840	,	-17636	,	-16251	,	3.537538	,	0
0,19	,	46856	,	-17636	,	-16266	,	2.8771572	,	0
0,19	,	46888	,	-17642	,	-16266	,	2.154748	,	0
0,19	,	46904	,	-17646	,	-16266	,	1.3655887	,	0
0,19	,	46936	,	-17647	,	-16270	,	0.43988442	,	0
0,19	,	46952	,	-17652	,	-16266	,	-0.65276766	,	0
0,19	,	46968	,	-17655	,	-16265	,	-1.8932004	,	0
0,19	,	47000	,	-17658	,	-16269	,	-3.236771	,	0
0,19	,	47016	,	-17669	,	-16268	,	-4.6457324	,	0
0,19	,	47032	,	-17657	,	-16273	,	-6.0698833	,	0
0,19	,	47064	,	-17661	,	-16271	,	-7.3193593	,	0
0,19	,	47080	,	-17668	,	-16285	,	-8.170543	,	0
0,19	,	47112	,	-17663	,	-16268	,	-8.581141	,	0
0,19	,	47128	,	-17676	,	-16276	,	-8.64334	,	0
0,19	,	47144	,	-17674	,	-16284	,	-8.517929	,	0
0,19	,	47176	,	-17676	,	-16282	,	-8.361376	,	0
0,19	,	47192	,	-17684	,	-16287	,	-8.244817	,	0
0,19	,	47208	,	-17687	,	-16280	,	-8.236686	,	0
0,19	,	47239	,	-17694	,	-16288	,	-8.430902	,	0
0,19	,	47255	,	-17680	,	-16288	,	-8.798603	,	0
0,19	,	47272	,	-17682	,	-16276	,	-9.07614	,	0
0,19	,	47304	,	-17668	,	-16279	,	-8.8784485	,	0
0,19	,	47320	,	-17666	,	-16288	,	-7.8890486	,	0
0,19	,	47352	,	-17660	,	-16278	,	-5.9826984	,	0
0,19	,	47367	,	-17652	,	-16277	,	-3.2520218	,	1
0,19	,	47384	,	-17653	,	-16278	,	0.059396505	,	3
0,19	,	47416	,	-17641	,	-16266	,	3.6217012	,	6
0,19	,	47432	,	-17633	,	-16272	,	7.1572437	,	9
0,19	,	47448	,	-17642	,	-16271	,	10.453372	,	12
0,19	,	47480	,	-17643	,	-16261	,	13.156991	,	15
0,19	,	47495	,	-17645	,	-16272	,	14.830279	,	17
0,19	,	47527	,	-17649	,	-16268	,	15.213286	,	18
0,19	,	47544	,	-17644	,	-16278	,	14.326029	,	18
0,19	,	47560	,	-17639	,	-16274	,	12.473902	,	17
0,19	,	47592	,	-17642	,	-16269	,	10.13447	,	15
0,19	,	47607	,	-17632	,	-16274	,	7.765789	,	12
0,19	,	47623	,	-17643	,	-16270	,	5.7011476	,	9
0,19	,	47655	,	-17640	,	-16275	,	4.0534925	,	6
0,19	,	47671	,	-17639	,	-16269	,	2.7586865	,	3
0,19	,	47687	,	-17646	,	-16269	,	1.7335138	,	1
0,19	,	47720	,	-17650	,	-16281	,	0.85787296	,	0
0,19	,	47736	,	-17642	,	-16271	,	0.0059491396	,	0
0,19	,	47767	,	-17649	,	-16281	,	-0.8153775	,	0
0,19	,	47783	,	-17654	,	-16288	,	-1.5630879	,	0
0,19	,	47799	,	-17654	,	-16278	,	-2.287289	,	0
0,20	,	47831	,	-17655	,	-16280	,	-3.031262	,	0
0,20	,	47847	,	-17660	,	-16287	,	-3.769342	,	0
0,20	,	47864	,	-17663	,	-16280	,	-4.486325	,	0
0,20	,	47895	,	-17657	,	-16289	,	-5.160847	,	0
0,20	,	47911	,	-17661	,	-16289	,	-5.6841245	,	0
0,20	,	47944	,	-17664	,	-16295	,	-5.950682	,	0
0,20	,	47960	,	-17662	,	-16290	,	-5.9611583	,	0
0,20	,	47975	,	-17673	,	-16289	,	-5.8001986	,	0
0,20	,	48007	,	-17682	,	-16296	,	-5.6733527	,	0
0,20	,	48023	,	-17684	,	-16301	,	-5.861253	,	0
0,20	,	48039	,	-17689	,	-16290	,	-6.5128603	,	0
0,20	,	48071	,	-17687	,	-16296	,	-7.551413	,	0
0,20	,	48087	,	-17690	,	-16290	,	-8.736371	,	0
0,20	,	48103	,	-17693	,	-16297	,	-9.802677	,	0
0,20	,	48136	,	-17700	,	-16293	,	-10.606968	,	0
0,20	,	48151	,	-17698	,	-16298	,	-11.131957	,	0
0,20	,	48183	,	-17709	,	-16309	,	-11.41453	,	0
0,20	,	48199	,	-17708	,	-16301	,	-11.538206	,	0
0,20	,	48215	,	-17691	,	-16295	,	-11.488933	,	0
0,20	,	48247	,	-17683	,	-16292	,	-10.9548645	,	0
0,20	,	48263	,	-17671	,	-16286	,	-9.487222	,	0
0,20	,	48279	,	-17664	,	-16296	,	-6.8227415	,	1
0,20	,	48311	,	-17666	,	-16295	,	-3.0598564	,	3
0,20	,	48327	,	-17661	,	-16282	,	1.3289151	,	6
0,20	,	48359	,	-17659	,	-16283	,	5.718734	,	10
0,20	,	48375	,	-17656	,	-16280	,	9.587686	,	14
0,20	,	48391	,	-17654	,	-16280	,	12.595296	,	17
0,20	,	48423	,	-17650	,	-16281	,	14.589645	,	20
