Data recorded on Mon Jul 24 12-23-40 CAT 2017
Time: 12:23:56
Time		Millis		IR PPG		Red PPG		Filtered		SSF
24,5	,	35112	,	-24082	,	-22815	,	0.31225002	,	0
24,5	,	35144	,	-24093	,	-22816	,	-0.6053363	,	0
24,5	,	35160	,	-24087	,	-22814	,	-1.205879	,	0
24,5	,	35192	,	-24113	,	-22816	,	-1.6666088	,	0
24,5	,	35208	,	-24106	,	-22819	,	-2.3355095	,	0
24,5	,	35225	,	-24104	,	-22821	,	-3.412311	,	0
24,5	,	35256	,	-24114	,	-22825	,	-4.7533245	,	0
24,5	,	35272	,	-24107	,	-22825	,	-6.1107903	,	0
24,5	,	35288	,	-24116	,	-22830	,	-7.285635	,	0
24,5	,	35320	,	-24115	,	-22819	,	-8.149196	,	0
24,5	,	35336	,	-24123	,	-22825	,	-8.697698	,	0
24,5	,	35368	,	-24122	,	-22826	,	-9.008306	,	0
24,5	,	35384	,	-24131	,	-22826	,	-9.17692	,	0
24,5	,	35400	,	-24143	,	-22834	,	-9.36343	,	0
24,5	,	35432	,	-24148	,	-22840	,	-9.813301	,	0
24,5	,	35448	,	-24145	,	-22835	,	-10.6531315	,	0
24,5	,	35464	,	-24141	,	-22839	,	-11.682721	,	0
24,5	,	35496	,	-24126	,	-22838	,	-12.410299	,	0
24,5	,	35512	,	-24133	,	-22847	,	-12.313044	,	0
24,5	,	35544	,	-24117	,	-22822	,	-11.126047	,	0
24,5	,	35560	,	-24107	,	-22827	,	-8.804031	,	1
24,5	,	35576	,	-24107	,	-22815	,	-5.4141593	,	3
24,5	,	35608	,	-24105	,	-22821	,	-1.2753267	,	6
24,5	,	35624	,	-24106	,	-22825	,	3.0373883	,	10
24,5	,	35640	,	-24107	,	-22826	,	6.90186	,	14
24,5	,	35672	,	-24104	,	-22825	,	9.84147	,	17
24,5	,	35688	,	-24091	,	-22825	,	11.702473	,	19
24,5	,	35704	,	-24109	,	-22821	,	12.602417	,	20
24,5	,	35736	,	-24106	,	-22826	,	12.606836	,	20
24,5	,	35752	,	-24108	,	-22837	,	11.698225	,	19
24,5	,	35784	,	-24091	,	-22806	,	10.08634	,	17
24,5	,	35800	,	-24107	,	-22818	,	8.209393	,	14
24,5	,	35816	,	-24098	,	-22818	,	6.391985	,	10
24,5	,	35848	,	-24108	,	-22809	,	4.7302604	,	6
24,5	,	35864	,	-24110	,	-22822	,	3.1940355	,	3
24,5	,	35880	,	-24108	,	-22816	,	1.7148366	,	1
24,5	,	35912	,	-24107	,	-22825	,	0.3205309	,	0
24,5	,	35928	,	-24107	,	-22821	,	-0.8523457	,	0
24,5	,	35960	,	-24114	,	-22818	,	-1.7209855	,	0
24,5	,	35976	,	-24114	,	-22814	,	-2.3493247	,	0
24,5	,	35992	,	-24119	,	-22829	,	-2.87263	,	0
24,5	,	36024	,	-24111	,	-22818	,	-3.357988	,	0
24,5	,	36040	,	-24124	,	-22826	,	-3.7874103	,	0
24,5	,	36056	,	-24128	,	-22829	,	-4.2083344	,	0
24,5	,	36088	,	-24125	,	-22835	,	-4.737611	,	0
24,5	,	36104	,	-24139	,	-22838	,	-5.4197235	,	0
24,5	,	36120	,	-24131	,	-22840	,	-6.235944	,	0
24,6	,	36152	,	-24147	,	-22837	,	-7.1464167	,	0
24,6	,	36168	,	-24139	,	-22832	,	-8.0998955	,	0
24,6	,	36200	,	-24147	,	-22843	,	-9.009101	,	0
24,6	,	36216	,	-24147	,	-22848	,	-9.749789	,	0
24,6	,	36232	,	-24148	,	-22837	,	-10.232096	,	0
24,6	,	36264	,	-24159	,	-22851	,	-10.442671	,	0
24,6	,	36280	,	-24164	,	-22849	,	-10.506727	,	0
24,6	,	36296	,	-24161	,	-22846	,	-10.60187	,	0
24,6	,	36328	,	-24155	,	-22836	,	-10.706753	,	0
24,6	,	36344	,	-24145	,	-22839	,	-10.533639	,	0
24,6	,	36376	,	-24133	,	-22831	,	-9.665455	,	0
24,6	,	36392	,	-24129	,	-22828	,	-7.7646284	,	0
24,6	,	36408	,	-24125	,	-22828	,	-4.788088	,	1
24,6	,	36440	,	-24106	,	-22830	,	-0.9551153	,	3
24,6	,	36456	,	-24122	,	-22835	,	3.387917	,	6
24,6	,	36472	,	-24112	,	-22803	,	7.6981544	,	10
24,6	,	36504	,	-24111	,	-22823	,	11.3731985	,	14
24,6	,	36520	,	-24102	,	-22819	,	14.086058	,	17
24,6	,	36535	,	-24111	,	-22823	,	15.768	,	19
24,6	,	36568	,	-24111	,	-22822	,	16.375093	,	20
24,6	,	36584	,	-24107	,	-22820	,	15.8908825	,	20
24,6	,	36616	,	-24104	,	-22816	,	14.503213	,	19
24,6	,	36632	,	-24093	,	-22819	,	12.62549	,	17
24,6	,	36648	,	-24101	,	-22818	,	10.710773	,	14
24,6	,	36680	,	-24098	,	-22816	,	9.012653	,	10
24,6	,	36696	,	-24106	,	-22832	,	7.5323863	,	6
24,6	,	36712	,	-24091	,	-22805	,	6.211353	,	3
24,6	,	36743	,	-24105	,	-22823	,	5.067007	,	1
24,6	,	36759	,	-24103	,	-22816	,	4.0808682	,	0
24,6	,	36792	,	-24107	,	-22824	,	3.1344464	,	0
24,6	,	36808	,	-24109	,	-22820	,	2.12426	,	0
24,6	,	36824	,	-24123	,	-22827	,	0.95132625	,	0
24,6	,	36856	,	-24113	,	-22837	,	-0.48510993	,	0
24,6	,	36872	,	-24127	,	-22826	,	-2.1496642	,	0
24,6	,	36888	,	-24121	,	-22825	,	-3.8929057	,	0
24,6	,	36920	,	-24128	,	-22839	,	-5.5545344	,	0
24,6	,	36935	,	-24133	,	-22832	,	-7.0115457	,	0
24,6	,	36952	,	-24146	,	-22835	,	-8.283141	,	0
24,6	,	36983	,	-24144	,	-22832	,	-9.506306	,	0
24,6	,	36999	,	-24149	,	-22843	,	-10.7361355	,	0
24,6	,	37032	,	-24144	,	-22848	,	-11.845597	,	0
24,6	,	37048	,	-24151	,	-22837	,	-12.616432	,	0
24,6	,	37064	,	-24156	,	-22846	,	-12.93536	,	0
24,6	,	37096	,	-24155	,	-22850	,	-12.861042	,	0
24,6	,	37111	,	-24164	,	-22848	,	-12.514139	,	0
24,6	,	37127	,	-24160	,	-22843	,	-12.013258	,	0
24,7	,	37159	,	-24172	,	-22866	,	-11.470424	,	0
24,7	,	37176	,	-24188	,	-22831	,	-11.0812845	,	0
24,7	,	37208	,	-24177	,	-22844	,	-11.095255	,	0
24,7	,	37223	,	-24162	,	-22844	,	-11.407963	,	0
24,7	,	37239	,	-24142	,	-22837	,	-11.361216	,	0
24,7	,	37271	,	-24132	,	-22830	,	-10.126331	,	0
24,7	,	37288	,	-24129	,	-22830	,	-7.251767	,	1
24,7	,	37304	,	-24134	,	-22821	,	-2.9591684	,	3
24,7	,	37335	,	-24111	,	-22822	,	2.0867176	,	7
24,7	,	37352	,	-24115	,	-22830	,	7.2703037	,	12
24,7	,	37368	,	-24108	,	-22827	,	12.12412	,	17
