Data recorded on Mon Jul 24 13-21-55 CAT 2017
Time: 13:22:1
Time		Millis		IR PPG		Red PPG		Filtered		SSF
22,10	,	19270	,	-24095	,	-21610	,	1.2724588	,	0
22,10	,	19303	,	-24113	,	-21641	,	-2.25797	,	0
22,10	,	19319	,	-24130	,	-21652	,	-6.2804294	,	0
22,10	,	19335	,	-24143	,	-21648	,	-10.854002	,	0
22,10	,	19371	,	-24125	,	-21656	,	-15.77555	,	0
22,10	,	19382	,	-24127	,	-21639	,	-20.31912	,	0
22,10	,	19414	,	-24122	,	-21646	,	-23.563303	,	0
22,10	,	19430	,	-24118	,	-21640	,	-24.900373	,	0
22,10	,	19446	,	-24100	,	-21630	,	-24.090088	,	0
22,10	,	19479	,	-24098	,	-21638	,	-21.118183	,	0
22,10	,	19495	,	-24097	,	-21653	,	-16.285036	,	2
22,10	,	19510	,	-24108	,	-21624	,	-10.345571	,	6
22,10	,	19542	,	-24105	,	-21642	,	-4.340575	,	11
22,10	,	19558	,	-24105	,	-21642	,	0.821249	,	17
22,10	,	19590	,	-24111	,	-21651	,	4.607548	,	22
22,10	,	19606	,	-24116	,	-21652	,	6.787211	,	25
22,10	,	19622	,	-24121	,	-21655	,	7.325096	,	27
22,10	,	19654	,	-24122	,	-21651	,	6.384756	,	27
22,10	,	19671	,	-24118	,	-21652	,	4.3592906	,	27
22,10	,	19687	,	-24115	,	-21651	,	1.8339968	,	25
22,10	,	19719	,	-24113	,	-21652	,	-0.5783007	,	21
22,10	,	19734	,	-24121	,	-21668	,	-2.4574103	,	16
22,10	,	19750	,	-24120	,	-21637	,	-3.6930306	,	10
22,10	,	19782	,	-24137	,	-21647	,	-4.4555106	,	5
22,10	,	19798	,	-24142	,	-21651	,	-5.114711	,	2
22,10	,	19830	,	-24138	,	-21653	,	-5.994298	,	0
22,10	,	19846	,	-24145	,	-21653	,	-7.116207	,	0
22,10	,	19862	,	-24144	,	-21655	,	-8.304111	,	0
22,10	,	19894	,	-24144	,	-21661	,	-9.356001	,	0
22,10	,	19910	,	-24153	,	-21669	,	-10.1098175	,	0
22,10	,	19926	,	-24150	,	-21675	,	-10.528635	,	0
22,10	,	19958	,	-24154	,	-21669	,	-10.649114	,	0
22,10	,	19974	,	-24147	,	-21682	,	-10.461301	,	0
22,10	,	20006	,	-24141	,	-21642	,	-9.865529	,	0
22,10	,	20022	,	-24114	,	-21649	,	-8.600676	,	0
22,10	,	20038	,	-24110	,	-21651	,	-6.2648892	,	1
22,10	,	20070	,	-24111	,	-21644	,	-2.684927	,	3
22,10	,	20086	,	-24106	,	-21639	,	1.7799015	,	6
22,10	,	20102	,	-24111	,	-21646	,	6.4315147	,	10
22,10	,	20134	,	-24109	,	-21641	,	10.54158	,	14
22,10	,	20150	,	-24108	,	-21645	,	13.548324	,	18
22,10	,	20166	,	-24108	,	-21645	,	15.191828	,	21
22,10	,	20198	,	-24113	,	-21641	,	15.4713745	,	22
22,10	,	20214	,	-24114	,	-21661	,	14.5168915	,	22
22,10	,	20246	,	-24109	,	-21623	,	12.581265	,	21
22,10	,	20262	,	-24115	,	-21643	,	10.04718	,	19
22,10	,	20278	,	-24112	,	-21642	,	7.298085	,	16
22,11	,	20310	,	-24120	,	-21640	,	4.6042604	,	12
22,11	,	20326	,	-24126	,	-21643	,	2.0794845	,	8
22,11	,	20342	,	-24117	,	-21647	,	-0.24278188	,	4
22,11	,	20374	,	-24122	,	-21651	,	-2.2383146	,	1
22,11	,	20390	,	-24126	,	-21650	,	-3.7654867	,	0
22,11	,	20422	,	-24123	,	-21652	,	-4.8123403	,	0
22,11	,	20438	,	-24134	,	-21658	,	-5.453948	,	0
22,11	,	20454	,	-24132	,	-21662	,	-5.83121	,	0
22,11	,	20486	,	-24140	,	-21644	,	-6.114911	,	0
22,11	,	20502	,	-24156	,	-21648	,	-6.501507	,	0
22,11	,	20518	,	-24160	,	-21654	,	-7.2639656	,	0
22,11	,	20550	,	-24154	,	-21659	,	-8.528515	,	0
22,11	,	20566	,	-24163	,	-21662	,	-10.078136	,	0
22,11	,	20582	,	-24159	,	-21664	,	-11.557545	,	0
22,11	,	20614	,	-24145	,	-21659	,	-12.593796	,	0
22,11	,	20630	,	-24128	,	-21653	,	-12.675919	,	0
22,11	,	20662	,	-24130	,	-21653	,	-11.318738	,	0
22,11	,	20678	,	-24119	,	-21657	,	-8.428883	,	1
22,11	,	20694	,	-24129	,	-21670	,	-4.3916287	,	3
22,11	,	20726	,	-24121	,	-21643	,	0.099820614	,	7
22,11	,	20742	,	-24117	,	-21655	,	4.358917	,	11
22,11	,	20758	,	-24137	,	-21653	,	7.8570747	,	15
22,11	,	20790	,	-24131	,	-21654	,	10.113147	,	18
22,11	,	20806	,	-24146	,	-21666	,	10.786805	,	20
22,11	,	20838	,	-24136	,	-21664	,	9.873125	,	20
22,11	,	20854	,	-24144	,	-21669	,	7.7096596	,	20
22,11	,	20870	,	-24148	,	-21665	,	4.7900095	,	19
22,11	,	20902	,	-24139	,	-21658	,	1.5886383	,	17
22,11	,	20918	,	-24136	,	-21659	,	-1.3808441	,	13
22,11	,	20934	,	-24141	,	-21680	,	-3.6402605	,	9
22,11	,	20966	,	-24148	,	-21662	,	-5.026675	,	5
22,11	,	20982	,	-24157	,	-21667	,	-5.754417	,	2
22,11	,	20998	,	-24159	,	-21674	,	-6.205694	,	0
22,11	,	21030	,	-24171	,	-21675	,	-6.7165666	,	0
22,11	,	21046	,	-24173	,	-21678	,	-7.509658	,	0
22,11	,	21078	,	-24165	,	-21670	,	-8.59343	,	0
22,11	,	21094	,	-24177	,	-21676	,	-9.72638	,	0
22,11	,	21110	,	-24174	,	-21674	,	-10.662103	,	0
22,11	,	21142	,	-24175	,	-21673	,	-11.270386	,	0
22,11	,	21157	,	-24178	,	-21680	,	-11.45984	,	0
22,11	,	21174	,	-24199	,	-21690	,	-11.313541	,	0
22,11	,	21206	,	-24198	,	-21680	,	-11.183956	,	0
22,11	,	21222	,	-24187	,	-21679	,	-11.313857	,	0
22,11	,	21254	,	-24183	,	-21678	,	-11.479738	,	0
22,11	,	21270	,	-24176	,	-21677	,	-11.206147	,	0
