Data recorded on Mon Jul 24 08-32-35 CAT 2017
Time: 8:32:42
Time		Millis		IR PPG		Red PPG		Filtered		SSF
32,51	,	30468	,	-15096	,	-12203	,	-10.29298	,	0
32,51	,	30484	,	-15105	,	-12204	,	-10.9480295	,	0
32,51	,	30500	,	-15112	,	-12215	,	-11.86628	,	0
32,51	,	30532	,	-15120	,	-12216	,	-13.122197	,	0
32,51	,	30548	,	-15134	,	-12228	,	-14.704384	,	0
32,51	,	30564	,	-15148	,	-12218	,	-16.626987	,	0
32,51	,	30596	,	-15156	,	-12232	,	-18.924229	,	0
32,51	,	30612	,	-15169	,	-12231	,	-21.533928	,	0
32,51	,	30628	,	-15185	,	-12234	,	-24.324291	,	0
32,51	,	30660	,	-15186	,	-12233	,	-27.151714	,	0
32,51	,	30676	,	-15197	,	-12240	,	-29.773022	,	0
32,51	,	30708	,	-15210	,	-12247	,	-31.916868	,	0
32,51	,	30724	,	-15221	,	-12253	,	-33.488953	,	0
32,51	,	30740	,	-15219	,	-12252	,	-34.497604	,	0
32,51	,	30772	,	-15210	,	-12251	,	-34.780727	,	0
32,51	,	30788	,	-15168	,	-12239	,	-33.770798	,	0
32,51	,	30804	,	-15126	,	-12218	,	-30.413832	,	1
32,51	,	30836	,	-15094	,	-12206	,	-23.574142	,	4
32,51	,	30852	,	-15076	,	-12195	,	-12.824387	,	10
32,51	,	30884	,	-15061	,	-12189	,	1.1186752	,	20
32,51	,	30900	,	-15058	,	-12192	,	16.60421	,	33
32,51	,	30916	,	-15060	,	-12190	,	31.539127	,	48
32,51	,	30948	,	-15056	,	-12196	,	43.926327	,	62
32,51	,	30964	,	-15050	,	-12197	,	52.398853	,	74
32,51	,	30980	,	-15054	,	-12192	,	56.451233	,	82
32,51	,	31012	,	-15056	,	-12187	,	56.245766	,	85
32,51	,	31028	,	-15069	,	-12200	,	52.31363	,	82
32,51	,	31060	,	-15073	,	-12196	,	45.376144	,	76
32,51	,	31076	,	-15070	,	-12196	,	36.347492	,	66
32,51	,	31092	,	-15079	,	-12199	,	26.327301	,	53
32,51	,	31124	,	-15081	,	-12191	,	16.356567	,	38
32,51	,	31139	,	-15081	,	-12192	,	7.2358685	,	24
32,51	,	31155	,	-15078	,	-12201	,	-0.41887093	,	12
32,51	,	31188	,	-15074	,	-12205	,	-6.1446004	,	4
32,51	,	31204	,	-15087	,	-12203	,	-9.773802	,	0
32,51	,	31220	,	-15096	,	-12206	,	-11.6061125	,	0
32,51	,	31252	,	-15098	,	-12209	,	-12.264623	,	0
32,51	,	31268	,	-15105	,	-12214	,	-12.333023	,	0
32,51	,	31300	,	-15125	,	-12223	,	-12.284393	,	0
32,51	,	31316	,	-15131	,	-12220	,	-12.591812	,	0
32,51	,	31332	,	-15147	,	-12231	,	-13.620579	,	0
32,51	,	31364	,	-15158	,	-12233	,	-15.501886	,	0
32,51	,	31380	,	-15173	,	-12237	,	-18.181755	,	0
32,51	,	31396	,	-15181	,	-12242	,	-21.47507	,	0
32,51	,	31428	,	-15186	,	-12240	,	-25.044954	,	0
32,51	,	31444	,	-15197	,	-12253	,	-28.438747	,	0
32,52	,	31476	,	-15207	,	-12247	,	-31.270838	,	0
32,52	,	31492	,	-15206	,	-12259	,	-33.301254	,	0
32,52	,	31508	,	-15219	,	-12258	,	-34.37082	,	0
32,52	,	31539	,	-15228	,	-12261	,	-34.48029	,	0
32,52	,	31556	,	-15237	,	-12259	,	-33.85097	,	0
32,52	,	31572	,	-15249	,	-12265	,	-32.805847	,	0
32,52	,	31604	,	-15251	,	-12278	,	-31.629614	,	1
32,52	,	31620	,	-15213	,	-12252	,	-30.246014	,	2
32,52	,	31636	,	-15155	,	-12242	,	-27.730473	,	3
32,52	,	31667	,	-15127	,	-12225	,	-22.509583	,	5
32,52	,	31683	,	-15111	,	-12219	,	-13.525414	,	10
32,52	,	31715	,	-15102	,	-12216	,	-1.1291838	,	18
32,52	,	31732	,	-15097	,	-12216	,	13.113925	,	30
32,52	,	31748	,	-15097	,	-12210	,	27.138586	,	44
32,52	,	31780	,	-15094	,	-12216	,	39.016235	,	58
32,52	,	31796	,	-15087	,	-12209	,	47.416565	,	68
32,52	,	31812	,	-15097	,	-12217	,	51.760796	,	75
32,52	,	31844	,	-15104	,	-12216	,	52.014305	,	78
32,52	,	31860	,	-15120	,	-12223	,	48.449303	,	76
32,52	,	31891	,	-15111	,	-12222	,	41.65923	,	71
32,52	,	31907	,	-15114	,	-12219	,	32.684578	,	63
32,52	,	31923	,	-15114	,	-12215	,	22.851696	,	51
32,52	,	31956	,	-15106	,	-12216	,	13.415623	,	37
32,52	,	31971	,	-15113	,	-12220	,	5.346161	,	23
