Data recorded on Tue Jul 25 10-32-48 CAT 2017
Time: 10:32:57
Time		Millis		IR PPG		Red PPG		Filtered		SSF
33,6	,	25706	,	-23150	,	-20811	,	18.366499	,	9
33,6	,	25722	,	-23150	,	-20811	,	15.3063345	,	4
33,6	,	25754	,	-23139	,	-20809	,	12.098717	,	1
33,6	,	25770	,	-23148	,	-20815	,	9.035506	,	0
33,6	,	25786	,	-23151	,	-20821	,	6.3246627	,	0
33,6	,	25818	,	-23148	,	-20812	,	3.9843898	,	0
33,6	,	25834	,	-23150	,	-20814	,	2.0115647	,	0
33,6	,	25866	,	-23162	,	-20822	,	0.3796792	,	0
33,6	,	25882	,	-23170	,	-20821	,	-1.1090064	,	0
33,6	,	25898	,	-23166	,	-20823	,	-2.697228	,	0
33,6	,	25930	,	-23174	,	-20820	,	-4.425669	,	0
33,6	,	25946	,	-23182	,	-20832	,	-6.2036343	,	0
33,6	,	25962	,	-23177	,	-20832	,	-7.9496636	,	0
33,6	,	25994	,	-23188	,	-20821	,	-9.546416	,	0
33,6	,	26010	,	-23199	,	-20839	,	-10.938863	,	0
33,6	,	26041	,	-23213	,	-20830	,	-12.285236	,	0
33,6	,	26058	,	-23210	,	-20829	,	-13.788277	,	0
33,6	,	26074	,	-23222	,	-20818	,	-15.448479	,	0
33,6	,	26106	,	-23219	,	-20838	,	-17.088768	,	0
33,6	,	26122	,	-23231	,	-20836	,	-18.500578	,	0
33,6	,	26138	,	-23229	,	-20852	,	-19.526058	,	0
33,6	,	26170	,	-23249	,	-20848	,	-20.136436	,	0
33,6	,	26186	,	-23251	,	-20847	,	-20.48425	,	0
33,6	,	26202	,	-23259	,	-20848	,	-20.770123	,	0
33,6	,	26233	,	-23262	,	-20851	,	-21.060112	,	0
33,6	,	26249	,	-23256	,	-20868	,	-21.239285	,	0
33,6	,	26282	,	-23251	,	-20852	,	-21.009382	,	0
33,6	,	26298	,	-23240	,	-20842	,	-19.974277	,	0
33,6	,	26314	,	-23227	,	-20838	,	-17.784199	,	1
33,6	,	26346	,	-23216	,	-20840	,	-14.223097	,	3
33,6	,	26362	,	-23223	,	-20842	,	-9.381676	,	6
33,6	,	26378	,	-23200	,	-20839	,	-3.7161007	,	10
33,6	,	26410	,	-23197	,	-20830	,	2.2629018	,	15
33,6	,	26426	,	-23201	,	-20825	,	8.107876	,	20
33,6	,	26457	,	-23187	,	-20824	,	13.312221	,	25
33,6	,	26474	,	-23189	,	-20826	,	17.470072	,	30
33,6	,	26489	,	-23183	,	-20832	,	20.388243	,	34
33,6	,	26521	,	-23176	,	-20809	,	22.036764	,	35
33,6	,	26538	,	-23174	,	-20822	,	22.562546	,	34
33,6	,	26553	,	-23173	,	-20816	,	22.192825	,	31
33,6	,	26586	,	-23161	,	-20808	,	21.162132	,	27
33,6	,	26602	,	-23165	,	-20805	,	19.742874	,	22
33,6	,	26633	,	-23168	,	-20813	,	18.11477	,	17
33,6	,	26649	,	-23171	,	-20816	,	16.256685	,	12
33,6	,	26665	,	-23168	,	-20810	,	14.10367	,	7
33,6	,	26698	,	-23164	,	-20818	,	11.731572	,	3
33,7	,	26713	,	-23171	,	-20818	,	9.329029	,	1
33,7	,	26729	,	-23178	,	-20827	,	7.0047617	,	0
33,7	,	26761	,	-23181	,	-20808	,	4.7076035	,	0
33,7	,	26777	,	-23183	,	-20814	,	2.3670983	,	0
33,7	,	26793	,	-23185	,	-20824	,	0.023002863	,	0
33,7	,	26825	,	-23197	,	-20825	,	-2.240542	,	0
33,7	,	26841	,	-23202	,	-20814	,	-4.436534	,	0
33,7	,	26873	,	-23201	,	-20823	,	-6.6091847	,	0
33,7	,	26889	,	-23214	,	-20823	,	-8.7062435	,	0
33,7	,	26905	,	-23211	,	-20818	,	-10.636875	,	0
33,7	,	26938	,	-23220	,	-20832	,	-12.315167	,	0
33,7	,	26954	,	-23214	,	-20820	,	-13.625283	,	0
33,7	,	26970	,	-23231	,	-20841	,	-14.477339	,	0
33,7	,	27002	,	-23231	,	-20831	,	-14.931803	,	0
33,7	,	27017	,	-23241	,	-20833	,	-15.17127	,	0
33,7	,	27049	,	-23239	,	-20837	,	-15.334995	,	0
33,7	,	27065	,	-23247	,	-20834	,	-15.452618	,	0
33,7	,	27081	,	-23240	,	-20835	,	-15.455851	,	0
33,7	,	27114	,	-23260	,	-20839	,	-15.2716055	,	0
33,7	,	27130	,	-23268	,	-20853	,	-15.03054	,	0
33,7	,	27145	,	-23288	,	-20849	,	-15.099246	,	0
33,7	,	27177	,	-23282	,	-20849	,	-15.786465	,	0
33,7	,	27193	,	-23292	,	-20847	,	-17.051708	,	0
33,7	,	27209	,	-23285	,	-20852	,	-18.528278	,	0
33,7	,	27241	,	-23283	,	-20838	,	-19.701658	,	0
33,7	,	27257	,	-23254	,	-20840	,	-19.949247	,	0
33,7	,	27289	,	-23237	,	-20830	,	-18.540298	,	0
33,7	,	27305	,	-23237	,	-20825	,	-14.965255	,	1
33,7	,	27321	,	-23230	,	-20832	,	-9.386773	,	4
33,7	,	27353	,	-23211	,	-20820	,	-2.5010252	,	9
33,7	,	27369	,	-23221	,	-20820	,	4.882043	,	15
33,7	,	27385	,	-23206	,	-20816	,	11.932259	,	22
33,7	,	27417	,	-23203	,	-20814	,	17.938725	,	29
33,7	,	27433	,	-23181	,	-20812	,	22.580666	,	35
33,7	,	27465	,	-23177	,	-20821	,	25.949057	,	39
33,7	,	27481	,	-23166	,	-20787	,	28.302294	,	42
33,7	,	27497	,	-23166	,	-20790	,	29.816992	,	43
33,7	,	27529	,	-23159	,	-20777	,	30.535706	,	41
33,7	,	27545	,	-23167	,	-20795	,	30.403389	,	36
33,7	,	27561	,	-23154	,	-20791	,	29.347744	,	30
33,7	,	27593	,	-23151	,	-20779	,	27.469816	,	23
33,7	,	27609	,	-23144	,	-20771	,	25.093258	,	16
33,7	,	27625	,	-23148	,	-20775	,	22.5546	,	10
33,7	,	27657	,	-23154	,	-20785	,	19.984222	,	6
33,7	,	27673	,	-23157	,	-20777	,	17.29397	,	3
33,8	,	27705	,	-23162	,	-20801	,	14.351394	,	1
33,8	,	27721	,	-23174	,	-20768	,	11.070049	,	0
33,8	,	27737	,	-23166	,	-20779	,	7.447796	,	0
33,8	,	27769	,	-23173	,	-20779	,	3.6871104	,	0
33,8	,	27785	,	-23178	,	-20769	,	0.09796286	,	0
33,8	,	27801	,	-23175	,	-20769	,	-3.0922117	,	0
33,8	,	27833	,	-23187	,	-20774	,	-5.7471733	,	0
33,8	,	27849	,	-23181	,	-20770	,	-7.8126774	,	0
33,8	,	27881	,	-23182	,	-20771	,	-9.247951	,	0
33,8	,	27897	,	-23186	,	-20763	,	-9.998028	,	0
33,8	,	27913	,	-23180	,	-20776	,	-10.083837	,	0
33,8	,	27945	,	-23189	,	-20785	,	-9.60332	,	0
33,8	,	27961	,	-23183	,	-20755	,	-8.7129545	,	0
33,8	,	27977	,	-23208	,	-20767	,	-7.6848083	,	0
33,8	,	28009	,	-23200	,	-20771	,	-6.910188	,	1
33,8	,	28025	,	-23214	,	-20767	,	-6.6991944	,	1
33,8	,	28057	,	-23216	,	-20776	,	-7.1422977	,	1
33,8	,	28073	,	-23210	,	-20774	,	-8.122459	,	1
33,8	,	28089	,	-23209	,	-20772	,	-9.274744	,	1
33,8	,	28121	,	-23207	,	-20773	,	-10.124452	,	1
33,8	,	28137	,	-23186	,	-20764	,	-10.246413	,	1
33,8	,	28153	,	-23170	,	-20766	,	-9.18153	,	1
33,8	,	28185	,	-23171	,	-20777	,	-6.5785403	,	2
33,8	,	28201	,	-23158	,	-20751	,	-2.5289283	,	3
33,8	,	28217	,	-23140	,	-20742	,	2.558196	,	7
33,8	,	28249	,	-23142	,	-20746	,	8.243675	,	12
33,8	,	28265	,	-23117	,	-20743	,	14.07028	,	17
33,8	,	28297	,	-23111	,	-20728	,	19.653448	,	22
33,8	,	28313	,	-23114	,	-20742	,	24.672495	,	27
33,8	,	28329	,	-23116	,	-20731	,	28.645374	,	32
33,8	,	28361	,	-23116	,	-20727	,	31.021297	,	35
33,8	,	28377	,	-23112	,	-20728	,	31.505814	,	36
33,8	,	28393	,	-23102	,	-20730	,	30.235754	,	34
33,8	,	28425	,	-23112	,	-20733	,	27.66283	,	30
33,8	,	28441	,	-23109	,	-20712	,	24.231129	,	25
33,8	,	28473	,	-23095	,	-20712	,	20.343872	,	20
33,8	,	28489	,	-23090	,	-20716	,	16.562193	,	15
33,8	,	28505	,	-23090	,	-20709	,	13.440253	,	10
33,8	,	28537	,	-23087	,	-20702	,	11.213912	,	5
33,8	,	28553	,	-23084	,	-20708	,	9.826237	,	2
33,8	,	28569	,	-23086	,	-20701	,	9.08507	,	0
33,8	,	28601	,	-23086	,	-20702	,	8.716687	,	0
33,8	,	28616	,	-23090	,	-20713	,	8.415628	,	0
33,8	,	28633	,	-23090	,	-20707	,	7.9331546	,	0
33,8	,	28664	,	-23083	,	-20719	,	7.1801043	,	0
33,8	,	28681	,	-23091	,	-20702	,	6.2297993	,	0
33,9	,	28713	,	-23102	,	-20707	,	5.102132	,	0
33,9	,	28729	,	-23106	,	-20708	,	3.6383305	,	0
33,9	,	28745	,	-23098	,	-20706	,	1.7516379	,	0
33,9	,	28777	,	-23113	,	-20702	,	-0.39427495	,	0
33,9	,	28793	,	-23118	,	-20712	,	-2.627905	,	0
33,9	,	28809	,	-23117	,	-20715	,	-4.8963523	,	0
33,9	,	28841	,	-23115	,	-20717	,	-7.0540686	,	0
33,9	,	28857	,	-23111	,	-20714	,	-8.794355	,	0
33,9	,	28889	,	-23116	,	-20723	,	-9.830074	,	0
33,9	,	28905	,	-23134	,	-20732	,	-10.157662	,	0
33,9	,	28921	,	-23128	,	-20730	,	-10.104509	,	0
33,9	,	28953	,	-23109	,	-20725	,	-9.874962	,	0
33,9	,	28968	,	-23109	,	-20728	,	-9.234123	,	0
33,9	,	28985	,	-23094	,	-20721	,	-7.816859	,	0
33,9	,	29017	,	-23080	,	-20721	,	-5.387642	,	1
33,9	,	29033	,	-23071	,	-20705	,	-1.839242	,	3
33,9	,	29049	,	-23064	,	-20702	,	2.709241	,	6
33,9	,	29081	,	-23061	,	-20706	,	7.844275	,	10
33,9	,	29097	,	-23054	,	-20700	,	12.976074	,	15
33,9	,	29128	,	-23049	,	-20693	,	17.543316	,	20
33,9	,	29145	,	-23047	,	-20693	,	21.139511	,	24
33,9	,	29161	,	-23045	,	-20694	,	23.51243	,	27
33,9	,	29193	,	-23045	,	-20683	,	24.545315	,	29
33,9	,	29208	,	-23029	,	-20691	,	24.328814	,	29
33,9	,	29224	,	-23019	,	-20686	,	23.26744	,	27
33,9	,	29257	,	-23016	,	-20688	,	21.933609	,	24
33,9	,	29273	,	-23024	,	-20683	,	20.67126	,	20
33,9	,	29304	,	-23022	,	-20681	,	19.419256	,	15
33,9	,	29320	,	-23017	,	-20680	,	17.975374	,	10
33,9	,	29336	,	-23012	,	-20686	,	16.314857	,	6
