Data recorded on Mon Jul 24 11-28-05 CAT 2017
Time: 11:28:23
Time		Millis		IR PPG		Red PPG		Filtered		SSF
28,32	,	33133	,	-28789	,	-27258	,	45.795944	,	67
28,32	,	33165	,	-28775	,	-27266	,	42.598732	,	65
28,32	,	33181	,	-28769	,	-27275	,	37.37119	,	60
28,32	,	33197	,	-28773	,	-27244	,	31.182135	,	52
28,32	,	33229	,	-28783	,	-27261	,	24.850048	,	41
28,32	,	33245	,	-28777	,	-27258	,	18.777021	,	29
28,32	,	33261	,	-28793	,	-27246	,	13.143946	,	18
28,32	,	33293	,	-28783	,	-27262	,	8.041708	,	9
28,32	,	33309	,	-28794	,	-27253	,	3.563301	,	3
28,32	,	33341	,	-28792	,	-27273	,	-0.18556213	,	0
28,32	,	33357	,	-28799	,	-27271	,	-3.1726832	,	0
28,32	,	33373	,	-28809	,	-27270	,	-5.4883385	,	0
28,32	,	33405	,	-28810	,	-27280	,	-7.336208	,	0
28,32	,	33421	,	-28821	,	-27302	,	-8.9262495	,	0
28,32	,	33437	,	-28838	,	-27267	,	-10.472126	,	0
28,32	,	33469	,	-28842	,	-27291	,	-12.232511	,	0
28,32	,	33485	,	-28861	,	-27295	,	-14.385691	,	0
28,32	,	33501	,	-28855	,	-27289	,	-16.914753	,	0
28,32	,	33533	,	-28803	,	-27271	,	-19.25974	,	0
28,32	,	33549	,	-28783	,	-27256	,	-20.04919	,	0
28,32	,	33581	,	-28767	,	-27244	,	-17.865652	,	0
28,32	,	33597	,	-28745	,	-27243	,	-12.209042	,	2
28,32	,	33613	,	-28743	,	-27230	,	-3.5765686	,	7
28,32	,	33645	,	-28725	,	-27236	,	6.8681374	,	15
28,32	,	33661	,	-28711	,	-27228	,	17.752085	,	25
28,32	,	33677	,	-28707	,	-27230	,	27.891062	,	35
28,32	,	33709	,	-28721	,	-27229	,	36.24046	,	45
28,32	,	33725	,	-28727	,	-27228	,	41.77259	,	53
28,32	,	33757	,	-28705	,	-27233	,	43.87024	,	58
28,32	,	33773	,	-28713	,	-27225	,	42.763145	,	60
28,32	,	33789	,	-28717	,	-27231	,	39.18747	,	58
28,32	,	33821	,	-28720	,	-27224	,	33.84526	,	53
28,32	,	33837	,	-28705	,	-27222	,	27.453129	,	45
28,32	,	33853	,	-28709	,	-27232	,	20.878359	,	35
28,32	,	33885	,	-28716	,	-27243	,	14.847657	,	25
28,32	,	33901	,	-28717	,	-27219	,	9.67086	,	15
28,32	,	33932	,	-28716	,	-27242	,	5.3927135	,	7
28,32	,	33949	,	-28732	,	-27244	,	1.9530025	,	2
28,32	,	33964	,	-28736	,	-27249	,	-0.87794733	,	0
28,32	,	33996	,	-28741	,	-27252	,	-3.4052153	,	0
28,32	,	34013	,	-28747	,	-27258	,	-5.8071575	,	0
28,32	,	34029	,	-28758	,	-27271	,	-8.151207	,	0
28,32	,	34061	,	-28797	,	-27274	,	-10.648801	,	0
28,32	,	34077	,	-28785	,	-27282	,	-13.685377	,	0
28,32	,	34093	,	-28790	,	-27266	,	-17.286222	,	0
28,32	,	34124	,	-28799	,	-27300	,	-20.930267	,	0
28,33	,	34140	,	-28788	,	-27265	,	-23.982533	,	0
28,33	,	34172	,	-28745	,	-27258	,	-25.66761	,	0
28,33	,	34189	,	-28709	,	-27244	,	-24.79821	,	0
28,33	,	34205	,	-28681	,	-27236	,	-20.204878	,	0
28,33	,	34237	,	-28678	,	-27225	,	-11.5888605	,	4
28,33	,	34253	,	-28675	,	-27224	,	0.061551094	,	12
28,33	,	34269	,	-28662	,	-27220	,	12.898727	,	23
28,33	,	34301	,	-28652	,	-27220	,	25.083355	,	35
28,33	,	34316	,	-28652	,	-27220	,	35.264854	,	47
28,33	,	34348	,	-28644	,	-27214	,	42.58941	,	57
28,33	,	34369	,	-28659	,	-27216	,	46.60677	,	64
28,33	,	34381	,	-28646	,	-27216	,	47.210983	,	68
28,33	,	34412	,	-28640	,	-27212	,	44.782516	,	68
28,33	,	34428	,	-28648	,	-27219	,	40.156113	,	64
28,33	,	34445	,	-28641	,	-27219	,	34.20935	,	56
28,33	,	34477	,	-28651	,	-27214	,	27.654713	,	45
28,33	,	34492	,	-28660	,	-27224	,	20.99307	,	33
28,33	,	34508	,	-28646	,	-27218	,	14.555807	,	21
28,33	,	34540	,	-28663	,	-27218	,	8.686993	,	11
28,33	,	34557	,	-28661	,	-27233	,	3.6444368	,	4
28,33	,	34588	,	-28662	,	-27245	,	-0.49360228	,	0
28,33	,	34605	,	-28669	,	-27219	,	-3.7113247	,	0
28,33	,	34620	,	-28680	,	-27250	,	-6.121198	,	0
28,33	,	34652	,	-28694	,	-27248	,	-8.054192	,	0
28,33	,	34668	,	-28717	,	-27262	,	-10.002578	,	0
28,33	,	34685	,	-28719	,	-27258	,	-12.434574	,	0
28,33	,	34717	,	-28730	,	-27271	,	-15.495085	,	0
28,33	,	34732	,	-28731	,	-27264	,	-18.92251	,	0
28,33	,	34764	,	-28750	,	-27269	,	-22.302681	,	0
28,33	,	34780	,	-28718	,	-27266	,	-25.172611	,	0
28,33	,	34796	,	-28685	,	-27249	,	-26.68217	,	0
28,33	,	34828	,	-28651	,	-27248	,	-25.53382	,	0
28,33	,	34844	,	-28627	,	-27206	,	-20.644714	,	1
28,33	,	34860	,	-28604	,	-27219	,	-11.789733	,	5
28,33	,	34892	,	-28598	,	-27213	,	0.25251102	,	13
28,33	,	34908	,	-28593	,	-27217	,	13.889842	,	25
28,33	,	34924	,	-28580	,	-27206	,	27.21359	,	38
28,33	,	34956	,	-28582	,	-27212	,	38.578835	,	51
28,33	,	34972	,	-28579	,	-27210	,	46.84019	,	62
28,33	,	35004	,	-28589	,	-27208	,	51.324768	,	70
28,33	,	35020	,	-28587	,	-27215	,	51.831512	,	74
28,33	,	35036	,	-28592	,	-27213	,	48.67743	,	73
28,33	,	35068	,	-28579	,	-27213	,	42.694996	,	69
28,33	,	35084	,	-28587	,	-27209	,	35.044067	,	61
28,33	,	35100	,	-28588	,	-27211	,	26.830408	,	49
28,34	,	35132	,	-28593	,	-27212	,	18.847366	,	36
28,34	,	35148	,	-28595	,	-27216	,	11.599167	,	23
28,34	,	35180	,	-28607	,	-27222	,	5.3406487	,	12
28,34	,	35196	,	-28614	,	-27215	,	0.05973816	,	4
28,34	,	35212	,	-28613	,	-27231	,	-4.377008	,	0
28,34	,	35244	,	-28613	,	-27241	,	-7.982503	,	0
28,34	,	35260	,	-28622	,	-27225	,	-10.670979	,	0
28,34	,	35276	,	-28630	,	-27245	,	-12.493853	,	0
28,34	,	35308	,	-28649	,	-27232	,	-13.752917	,	0
28,34	,	35324	,	-28654	,	-27250	,	-14.895954	,	0
28,34	,	35340	,	-28678	,	-27258	,	-16.334831	,	0
28,34	,	35372	,	-28687	,	-27260	,	-18.36924	,	0
28,34	,	35388	,	-28690	,	-27280	,	-21.064106	,	0
28,34	,	35420	,	-28677	,	-27259	,	-24.01371	,	0
28,34	,	35436	,	-28635	,	-27247	,	-26.196365	,	0
28,34	,	35452	,	-28614	,	-27235	,	-26.15388	,	0
28,34	,	35484	,	-28611	,	-27227	,	-22.780968	,	0
28,34	,	35500	,	-28585	,	-27218	,	-16.01944	,	3
28,34	,	35516	,	-28580	,	-27239	,	-6.6524105	,	9
28,34	,	35548	,	-28577	,	-27199	,	4.103428	,	18
28,34	,	35564	,	-28555	,	-27210	,	14.877213	,	28
28,34	,	35596	,	-28563	,	-27207	,	24.508432	,	38
28,34	,	35612	,	-28558	,	-27217	,	32.11202	,	47
28,34	,	35628	,	-28567	,	-27219	,	37.006638	,	54
28,34	,	35660	,	-28573	,	-27230	,	38.79788	,	58
28,34	,	35676	,	-28578	,	-27227	,	37.448803	,	59
28,34	,	35692	,	-28569	,	-27229	,	33.377968	,	56
28,34	,	35724	,	-28585	,	-27225	,	27.401926	,	50
28,34	,	35740	,	-28575	,	-27230	,	20.430883	,	41
28,34	,	35756	,	-28565	,	-27241	,	13.383589	,	31
28,34	,	35788	,	-28574	,	-27213	,	7.156831	,	21
28,34	,	35804	,	-28590	,	-27229	,	2.2163334	,	12
28,34	,	35836	,	-28599	,	-27230	,	-1.621151	,	5
28,34	,	35852	,	-28605	,	-27239	,	-4.818876	,	1
28,34	,	35870	,	-28614	,	-27238	,	-7.7216535	,	0
28,34	,	35900	,	-28622	,	-27241	,	-10.495902	,	0
28,34	,	35916	,	-28638	,	-27261	,	-13.237697	,	0
28,34	,	35932	,	-28653	,	-27276	,	-16.07509	,	0
28,34	,	35964	,	-28658	,	-27268	,	-19.1144	,	0
28,34	,	35980	,	-28669	,	-27281	,	-22.277737	,	0
28,34	,	36012	,	-28677	,	-27278	,	-25.328964	,	0
28,34	,	36028	,	-28696	,	-27293	,	-28.071358	,	0
28,34	,	36044	,	-28696	,	-27296	,	-30.41633	,	0
28,34	,	36076	,	-28666	,	-27268	,	-32.074806	,	0
28,34	,	36092	,	-28646	,	-27263	,	-32.23299	,	0
28,34	,	36108	,	-28624	,	-27260	,	-29.877132	,	0
28,35	,	36140	,	-28633	,	-27256	,	-24.554937	,	2
28,35	,	36156	,	-28612	,	-27252	,	-16.737875	,	7
28,35	,	36172	,	-28601	,	-27251	,	-7.4071608	,	14
28,35	,	36204	,	-28593	,	-27248	,	2.463974	,	23
28,35	,	36220	,	-28593	,	-27258	,	11.942678	,	32
28,35	,	36252	,	-28592	,	-27230	,	20.097523	,	41
28,35	,	36268	,	-28603	,	-27260	,	26.110495	,	49
28,35	,	36284	,	-28617	,	-27254	,	29.330988	,	55
28,35	,	36316	,	-28614	,	-27248	,	29.415745	,	58
28,35	,	36332	,	-28618	,	-27248	,	26.588861	,	56
28,35	,	36348	,	-28612	,	-27252	,	21.634884	,	51
28,35	,	36380	,	-28613	,	-27255	,	15.612166	,	44
28,35	,	36396	,	-28628	,	-27262	,	9.470584	,	35
28,35	,	36428	,	-28617	,	-27261	,	3.805666	,	26
28,35	,	36444	,	-28627	,	-27274	,	-1.017528	,	17
28,35	,	36460	,	-28649	,	-27290	,	-4.8738365	,	9
28,35	,	36492	,	-28654	,	-27261	,	-8.04634	,	3
28,35	,	36508	,	-28675	,	-27287	,	-11.004669	,	0
28,35	,	36524	,	-28684	,	-27303	,	-14.11953	,	0
28,35	,	36556	,	-28705	,	-27304	,	-17.608854	,	0
28,35	,	36572	,	-28711	,	-27308	,	-21.513025	,	0
28,35	,	36588	,	-28721	,	-27316	,	-25.637238	,	0
28,35	,	36620	,	-28723	,	-27322	,	-29.555695	,	0
28,35	,	36636	,	-28741	,	-27329	,	-32.809475	,	0
28,35	,	36668	,	-28757	,	-27330	,	-35.20849	,	0
28,35	,	36684	,	-28767	,	-27335	,	-36.88349	,	0
28,35	,	36700	,	-28787	,	-27348	,	-38.07753	,	0
28,35	,	36732	,	-28800	,	-27356	,	-39.036415	,	0
28,35	,	36748	,	-28807	,	-27361	,	-39.933296	,	0
28,35	,	36764	,	-28776	,	-27351	,	-40.548748	,	0
28,35	,	36796	,	-28767	,	-27334	,	-40.063446	,	0
28,35	,	36812	,	-28762	,	-27334	,	-37.557102	,	0
28,35	,	36844	,	-28756	,	-27339	,	-32.713474	,	2
28,35	,	36860	,	-28737	,	-27335	,	-25.826899	,	6
28,35	,	36876	,	-28718	,	-27333	,	-17.369146	,	12
28,35	,	36907	,	-28738	,	-27325	,	-7.961669	,	20
28,35	,	36923	,	-28731	,	-27338	,	1.352479	,	29
28,35	,	36940	,	-28728	,	-27313	,	9.404817	,	38
28,35	,	36971	,	-28742	,	-27337	,	15.396333	,	46
28,35	,	36988	,	-28744	,	-27338	,	18.872635	,	51
28,35	,	37020	,	-28761	,	-27326	,	19.622171	,	54
28,35	,	37036	,	-28766	,	-27338	,	17.71275	,	52
28,35	,	37052	,	-28757	,	-27344	,	13.609132	,	48
28,35	,	37084	,	-28761	,	-27343	,	8.236995	,	42
28,35	,	37100	,	-28774	,	-27345	,	2.5909643	,	34
28,35	,	37115	,	-28789	,	-27347	,	-2.7706728	,	25
28,36	,	37147	,	-28781	,	-27361	,	-7.6575756	,	16
28,36	,	37164	,	-28802	,	-27373	,	-11.919552	,	8
28,36	,	37180	,	-28800	,	-27335	,	-15.455923	,	3
28,36	,	37211	,	-28813	,	-27375	,	-18.27281	,	0
28,36	,	37227	,	-28824	,	-27386	,	-20.444088	,	0
28,36	,	37259	,	-28849	,	-27380	,	-22.219484	,	0
28,36	,	37275	,	-28864	,	-27386	,	-24.044218	,	0
28,36	,	37291	,	-28870	,	-27391	,	-26.272457	,	0
