Data recorded on Mon Jul 24 12-02-54 CAT 2017
Time: 12:3:1
Time		Millis		IR PPG		Red PPG		Filtered		SSF
3,10	,	17281	,	-20014	,	-16451	,	1.3208764	,	0
3,10	,	17296	,	-20003	,	-16458	,	0.9705966	,	0
3,10	,	17328	,	-20005	,	-16450	,	0.4305545	,	0
3,10	,	17344	,	-20018	,	-16459	,	-0.22789884	,	0
3,10	,	17360	,	-20020	,	-16464	,	-1.0483906	,	0
3,10	,	17393	,	-20011	,	-16462	,	-2.1002736	,	0
3,10	,	17409	,	-20020	,	-16460	,	-3.249257	,	0
3,10	,	17424	,	-20016	,	-16458	,	-4.285194	,	0
3,10	,	17456	,	-20028	,	-16458	,	-5.109778	,	0
3,10	,	17473	,	-20023	,	-16463	,	-5.7504234	,	0
3,10	,	17504	,	-20023	,	-16466	,	-6.233269	,	0
3,10	,	17520	,	-20027	,	-16466	,	-6.5096445	,	0
3,10	,	17536	,	-20026	,	-16474	,	-6.5544596	,	0
3,10	,	17569	,	-20037	,	-16459	,	-6.439189	,	0
3,10	,	17584	,	-20028	,	-16467	,	-6.282632	,	0
3,10	,	17600	,	-20032	,	-16462	,	-6.1157103	,	0
3,10	,	17632	,	-20018	,	-16475	,	-5.8084164	,	0
3,10	,	17648	,	-20000	,	-16454	,	-5.04994	,	0
3,10	,	17664	,	-19995	,	-16450	,	-3.4189541	,	0
3,10	,	17696	,	-19992	,	-16445	,	-0.71295524	,	1
3,10	,	17712	,	-19996	,	-16455	,	2.799744	,	3
3,10	,	17744	,	-19993	,	-16445	,	6.504842	,	6
3,10	,	17760	,	-19991	,	-16448	,	9.772198	,	9
3,10	,	17776	,	-19980	,	-16438	,	12.242337	,	12
3,10	,	17809	,	-19978	,	-16445	,	13.891912	,	14
3,10	,	17824	,	-19967	,	-16445	,	14.89547	,	15
3,10	,	17840	,	-19982	,	-16449	,	15.403129	,	16
3,10	,	17872	,	-19969	,	-16454	,	15.407755	,	16
3,10	,	17888	,	-19971	,	-16447	,	14.88688	,	15
3,10	,	17920	,	-19976	,	-16440	,	13.905472	,	13
3,10	,	17936	,	-19963	,	-16443	,	12.557837	,	10
3,10	,	17952	,	-19963	,	-16442	,	11.047942	,	7
3,10	,	17984	,	-19966	,	-16438	,	9.629023	,	4
3,10	,	18000	,	-19948	,	-16439	,	8.467691	,	2
3,10	,	18016	,	-19958	,	-16437	,	7.705789	,	1
3,10	,	18048	,	-19957	,	-16435	,	7.347413	,	0
3,10	,	18064	,	-19957	,	-16426	,	7.1690855	,	0
3,10	,	18080	,	-19966	,	-16439	,	6.8918843	,	0
3,10	,	18112	,	-19961	,	-16430	,	6.2993402	,	0
3,10	,	18128	,	-19962	,	-16433	,	5.3360224	,	0
3,10	,	18160	,	-19968	,	-16435	,	4.1074915	,	0
3,10	,	18176	,	-19974	,	-16426	,	2.6862588	,	0
3,10	,	18192	,	-19960	,	-16441	,	1.1288123	,	0
3,10	,	18224	,	-19975	,	-16437	,	-0.38866627	,	0
3,10	,	18240	,	-19965	,	-16431	,	-1.6948091	,	0
3,10	,	18256	,	-19978	,	-16436	,	-2.7406135	,	0
3,11	,	18288	,	-19968	,	-16437	,	-3.5390038	,	0
3,11	,	18304	,	-19965	,	-16439	,	-4.043078	,	0
3,11	,	18336	,	-19967	,	-16452	,	-4.1270523	,	0
3,11	,	18352	,	-19972	,	-16440	,	-3.7804332	,	0
3,11	,	18368	,	-19981	,	-16435	,	-3.2274714	,	0
3,11	,	18400	,	-19981	,	-16444	,	-2.802979	,	0
3,11	,	18416	,	-19986	,	-16449	,	-2.7475288	,	0
3,11	,	18432	,	-19988	,	-16434	,	-3.1238866	,	0
3,11	,	18464	,	-19988	,	-16440	,	-3.8548326	,	0
3,11	,	18480	,	-19984	,	-16445	,	-4.7361317	,	0
3,11	,	18496	,	-19986	,	-16442	,	-5.4876585	,	0
3,11	,	18528	,	-19985	,	-16446	,	-5.8918567	,	0
3,11	,	18544	,	-19986	,	-16451	,	-5.8700733	,	0
3,11	,	18576	,	-19986	,	-16440	,	-5.458364	,	0
3,11	,	18592	,	-19972	,	-16435	,	-4.6970234	,	0
3,11	,	18608	,	-19957	,	-16436	,	-3.4486578	,	0
3,11	,	18640	,	-19954	,	-16426	,	-1.4458241	,	1
3,11	,	18656	,	-19945	,	-16418	,	1.4063575	,	3
3,11	,	18672	,	-19937	,	-16420	,	4.934184	,	5
3,11	,	18704	,	-19936	,	-16421	,	8.804902	,	8
3,11	,	18720	,	-19940	,	-16426	,	12.539205	,	11
3,11	,	18752	,	-19936	,	-16430	,	15.576111	,	14
3,11	,	18768	,	-19929	,	-16414	,	17.534382	,	17
3,11	,	18784	,	-19926	,	-16418	,	18.378937	,	18
3,11	,	18816	,	-19931	,	-16405	,	18.266447	,	18
3,11	,	18832	,	-19920	,	-16411	,	17.371214	,	17
3,11	,	18848	,	-19928	,	-16416	,	15.901835	,	15
3,11	,	18880	,	-19920	,	-16409	,	14.081899	,	13
3,11	,	18896	,	-19920	,	-16414	,	12.124835	,	10
3,11	,	18912	,	-19921	,	-16414	,	10.229173	,	7
3,11	,	18944	,	-19917	,	-16424	,	8.515854	,	4
3,11	,	18960	,	-19924	,	-16405	,	7.0209637	,	1
3,11	,	18992	,	-19919	,	-16409	,	5.716946	,	0
3,11	,	19008	,	-19914	,	-16425	,	4.596754	,	0
3,11	,	19024	,	-19924	,	-16410	,	3.7040284	,	0
3,11	,	19056	,	-19916	,	-16408	,	3.0144403	,	0
3,11	,	19072	,	-19918	,	-16399	,	2.4680963	,	0
3,11	,	19088	,	-19922	,	-16400	,	2.0313966	,	0
3,11	,	19120	,	-19929	,	-16402	,	1.5949434	,	0
3,11	,	19136	,	-19930	,	-16412	,	0.9762465	,	0
3,11	,	19168	,	-19918	,	-16414	,	0.13219672	,	0
