Data recorded on Mon Jul 24 12-26-59 CAT 2017
Time: 12:27:9
Time		Millis		IR PPG		Red PPG		Filtered		SSF
27,18	,	22833	,	-23802	,	-22514	,	-4.8399367	,	0
27,18	,	22865	,	-23809	,	-22529	,	-6.548878	,	0
27,18	,	22881	,	-23793	,	-22529	,	-8.289345	,	0
27,18	,	22913	,	-23811	,	-22535	,	-9.836547	,	0
27,18	,	22929	,	-23794	,	-22517	,	-10.9128475	,	0
27,18	,	22945	,	-23812	,	-22527	,	-11.374886	,	0
27,18	,	22977	,	-23809	,	-22526	,	-11.268059	,	0
27,18	,	22993	,	-23812	,	-22526	,	-10.781496	,	0
27,18	,	23009	,	-23815	,	-22529	,	-10.086584	,	0
27,18	,	23041	,	-23820	,	-22541	,	-9.327335	,	0
27,18	,	23057	,	-23813	,	-22534	,	-8.611336	,	0
27,18	,	23073	,	-23798	,	-22531	,	-7.8315816	,	0
27,18	,	23105	,	-23799	,	-22530	,	-6.669482	,	0
27,18	,	23121	,	-23777	,	-22534	,	-4.8209996	,	1
27,18	,	23153	,	-23782	,	-22508	,	-2.1374824	,	2
27,18	,	23169	,	-23780	,	-22518	,	1.236136	,	4
27,18	,	23185	,	-23769	,	-22519	,	4.875429	,	7
27,18	,	23217	,	-23767	,	-22508	,	8.380569	,	10
27,18	,	23233	,	-23772	,	-22517	,	11.445396	,	13
27,18	,	23249	,	-23780	,	-22510	,	13.693916	,	16
27,18	,	23281	,	-23784	,	-22515	,	14.720706	,	18
27,18	,	23297	,	-23775	,	-22519	,	14.350244	,	19
27,18	,	23329	,	-23777	,	-22511	,	12.808695	,	18
27,18	,	23345	,	-23780	,	-22514	,	10.542883	,	17
27,18	,	23361	,	-23790	,	-22529	,	7.8976674	,	15
27,18	,	23393	,	-23775	,	-22491	,	5.0990334	,	12
27,18	,	23409	,	-23766	,	-22506	,	2.5204039	,	9
27,18	,	23425	,	-23766	,	-22506	,	0.6757965	,	6
27,18	,	23457	,	-23768	,	-22504	,	-0.15575027	,	3
27,18	,	23473	,	-23771	,	-22511	,	-0.10881746	,	1
27,18	,	23505	,	-23771	,	-22515	,	0.44558513	,	0
27,18	,	23521	,	-23770	,	-22503	,	1.1448002	,	0
27,18	,	23537	,	-23772	,	-22514	,	1.75183	,	0
27,18	,	23569	,	-23793	,	-22515	,	2.038933	,	0
27,18	,	23585	,	-23788	,	-22519	,	1.6891987	,	0
27,18	,	23601	,	-23778	,	-22521	,	0.60156596	,	0
27,18	,	23633	,	-23775	,	-22515	,	-0.85449284	,	0
27,18	,	23649	,	-23796	,	-22518	,	-2.2320328	,	0
27,18	,	23665	,	-23792	,	-22518	,	-3.4544528	,	0
27,18	,	23697	,	-23793	,	-22520	,	-4.6197805	,	0
27,18	,	23713	,	-23802	,	-22523	,	-5.717028	,	0
27,18	,	23745	,	-23796	,	-22520	,	-6.6919217	,	0
27,18	,	23761	,	-23797	,	-22514	,	-7.4515476	,	0
27,18	,	23777	,	-23801	,	-22529	,	-7.86732	,	0
27,18	,	23809	,	-23801	,	-22533	,	-7.9104843	,	0
27,18	,	23825	,	-23803	,	-22533	,	-7.652179	,	0
27,18	,	23841	,	-23813	,	-22519	,	-7.2283583	,	0
27,19	,	23873	,	-23814	,	-22533	,	-6.853322	,	0
27,19	,	23889	,	-23814	,	-22539	,	-6.694786	,	0
27,19	,	23921	,	-23794	,	-22527	,	-6.6501026	,	0
